order_id,customer_id,order_date,order_status,total_amount,subtotal_amount,tax_amount,shipping_amount,discount_amount,payment_method,currency,channel,device_type,shipping_method,is_first_order,promo_code,store_location,utm_source,utm_campaign,created_at,updated_at
26,121,2024-10-02 10:31:37,delivered,59.7,53.73,4.78,8.59,0,gift_card,USD,web,mobile,standard,True,,,,,2024-10-02 10:31:37,2024-12-04 17:57:35
27,3412,2023-11-30 12:31:25,delivered,57.7,51.93,4.62,9.9,0,credit_card,USD,store,tablet,overnight,False,,,,campaign_Tlz,2023-11-30 12:31:25,2024-03-04 16:36:32
28,876,2025-05-21 22:36:00,delivered,66.26,59.63,5.3,2.21,0,paypal,USD,mobile,mobile,pickup,True,,,,campaign_Mfn,2025-05-21 22:36:00,2025-06-24 21:29:49
29,318,2025-03-05 14:28:28,returned,60.99,54.89,4.88,12.97,10.81,bnpl,USD,store,tablet,pickup,False,,,,,2025-03-05 14:28:28,2025-05-12 07:14:28
30,701,2025-03-25 06:41:30,delivered,85.17,76.65,6.81,13.37,0,paypal,USD,phone,mobile,standard,False,PROMOzzUK,,email,,2025-03-25 06:41:30,2025-07-09 06:34:46
31,4892,2024-04-18 05:22:37,cancelled,45.11,40.6,3.61,11.91,4.24,paypal,USD,phone,desktop,express,False,,East Nicholas,email,,2024-04-18 05:22:37,2024-11-18 18:01:02
32,2440,2024-09-01 15:10:07,delivered,51.77,46.59,4.14,14.16,0,gift_card,USD,phone,mobile,overnight,False,,,google,campaign_PEg,2024-09-01 15:10:07,2025-04-16 03:13:02
33,2905,2025-08-27 18:53:00,delivered,70.48,63.43,5.64,10.25,0,credit_card,USD,phone,desktop,standard,True,PROMONJNy,,email,campaign_ffF,2025-08-27 18:53:00,2025-09-09 05:18:28
34,4916,2024-10-03 18:15:26,delivered,66.9,60.21,5.35,8.03,0,credit_card,USD,web,desktop,overnight,False,,,instagram,,2024-10-03 18:15:26,2025-09-01 19:52:16
35,3180,2025-05-18 21:18:38,delivered,75.3,67.77,6.02,7.72,6.21,bnpl,USD,web,mobile,pickup,False,,,email,campaign_qzz,2025-05-18 21:18:38,2025-07-25 19:50:13
36,3649,2025-02-20 18:59:31,delivered,68.02,61.22,5.44,4.56,0,credit_card,USD,mobile,tablet,express,False,PROMOZCgv,,,campaign_KyD,2025-02-20 18:59:31,2025-08-19 05:09:30
37,1689,2024-03-28 22:29:18,delivered,58.12,52.31,4.65,6.37,9.81,bnpl,USD,web,desktop,overnight,False,,,,campaign_pzO,2024-03-28 22:29:18,2025-09-05 17:46:40
38,2295,2024-01-27 06:32:17,delivered,53.67,48.3,4.29,8.28,0,credit_card,USD,web,desktop,overnight,False,,Victoriahaven,direct,,2024-01-27 06:32:17,2025-01-03 19:17:52
39,3202,2023-12-12 03:24:10,delivered,53.23,47.91,4.26,14.63,4.97,paypal,USD,web,desktop,standard,True,,,,campaign_joc,2023-12-12 03:24:10,2024-12-17 13:14:19
40,3995,2024-11-15 23:27:53,delivered,62.3,56.07,4.98,11.88,0,paypal,USD,web,desktop,standard,False,,,,campaign_JPM,2024-11-15 23:27:53,2025-09-01 13:32:51
41,4660,2023-10-24 12:45:27,delivered,83.38,75.04,6.67,7.76,14.81,gift_card,USD,mobile,tablet,standard,False,,,google,,2023-10-24 12:45:27,2024-12-20 22:25:56
42,308,2025-07-06 09:37:30,delivered,49.81,44.83,3.98,3.88,0,credit_card,USD,web,mobile,pickup,False,,,email,,2025-07-06 09:37:30,2025-07-09 03:38:25
43,3071,2024-11-15 17:49:06,delivered,61.66,55.5,4.93,6.34,4.87,credit_card,USD,web,desktop,express,False,,,,,2024-11-15 17:49:06,2024-11-20 23:06:09
44,4592,2025-09-14 15:51:35,delivered,38.6,34.74,3.09,5.99,1.63,credit_card,USD,store,tablet,overnight,False,PROMOAAfJ,,,campaign_JoB,2025-09-14 15:51:35,2025-09-18 22:05:39
45,3236,2023-12-18 11:51:32,delivered,32.23,29.0,2.58,5.28,0,credit_card,USD,web,mobile,express,True,,,,,2023-12-18 11:51:32,2024-11-08 11:41:57
46,1419,2025-02-03 21:06:40,delivered,72.28,65.05,5.78,7.78,0,gift_card,USD,store,mobile,express,False,,,google,campaign_PbR,2025-02-03 21:06:40,2025-08-21 12:10:31
47,1913,2024-05-13 19:22:04,delivered,79.06,71.16,6.33,5.65,11.18,bnpl,USD,mobile,tablet,pickup,False,,,instagram,,2024-05-13 19:22:04,2024-09-15 20:08:29
48,328,2024-05-14 05:54:38,delivered,64.91,58.42,5.19,6.19,0,credit_card,USD,store,tablet,express,False,PROMORiJM,,,,2024-05-14 05:54:38,2024-10-23 04:14:06
49,3053,2024-07-21 18:25:16,delivered,86.17,77.55,6.89,11.18,0,credit_card,USD,mobile,tablet,standard,True,,,instagram,,2024-07-21 18:25:16,2025-06-04 14:31:14
50,3786,2025-07-15 01:28:54,delivered,59.08,53.17,4.73,7.38,0,paypal,USD,web,mobile,pickup,False,,,,campaign_oCT,2025-07-15 01:28:54,2025-08-26 03:59:16
51,4529,2024-12-08 14:51:34,delivered,46.17,41.55,3.69,1.29,0.82,credit_card,USD,web,tablet,overnight,False,,,,,2024-12-08 14:51:34,2025-02-12 12:08:34
52,981,2025-08-16 15:46:56,delivered,59.63,53.67,4.77,0.59,0,credit_card,USD,phone,desktop,express,False,,,google,campaign_RAQ,2025-08-16 15:46:56,2025-09-21 19:11:08
53,3895,2024-09-18 11:01:52,delivered,75.8,68.22,6.06,7.19,0,credit_card,USD,web,desktop,express,False,,,instagram,,2024-09-18 11:01:52,2025-06-29 09:01:12
54,2251,2025-09-02 01:37:30,delivered,52.58,47.32,4.21,5.2,9.84,credit_card,USD,store,desktop,pickup,False,,,email,,2025-09-02 01:37:30,2025-09-20 01:35:52
55,1022,2024-03-16 07:59:50,returned,66.57,59.91,5.33,3.1,3.36,credit_card,USD,mobile,mobile,pickup,False,,,facebook,,2024-03-16 07:59:50,2025-02-22 00:13:47
56,3707,2024-10-20 07:29:39,delivered,59.98,53.98,4.8,11.12,0,credit_card,USD,store,tablet,express,False,,,,campaign_tfM,2024-10-20 07:29:39,2025-02-22 21:22:25
57,681,2025-07-23 15:00:05,cancelled,69.15,62.23,5.53,14.3,3.06,credit_card,USD,web,tablet,pickup,False,PROMOifDc,,email,campaign_mxP,2025-07-23 15:00:05,2025-08-18 14:10:44
58,4088,2025-02-09 16:03:48,delivered,57.83,52.05,4.63,2.6,0,credit_card,USD,mobile,tablet,standard,False,PROMOpweD,,,campaign_nhG,2025-02-09 16:03:48,2025-03-23 20:58:48
59,3787,2025-03-15 21:00:29,cancelled,51.01,45.9,4.08,12.11,1.88,paypal,USD,store,tablet,overnight,False,,,,,2025-03-15 21:00:29,2025-09-11 12:59:44
60,4830,2023-11-28 15:49:41,delivered,66.46,59.81,5.32,14.18,0,credit_card,USD,store,mobile,standard,False,,,email,,2023-11-28 15:49:41,2024-12-01 04:43:05
61,4524,2024-07-08 05:48:24,delivered,71.88,64.69,5.75,8.45,0,credit_card,USD,phone,desktop,express,False,,Lake Monicaport,instagram,campaign_FVq,2024-07-08 05:48:24,2025-05-17 12:08:57
62,16,2024-09-19 01:59:05,delivered,63.78,57.4,5.1,2.13,0,credit_card,USD,store,desktop,pickup,False,,,direct,campaign_uiF,2024-09-19 01:59:05,2025-01-12 11:46:38
63,3078,2024-01-18 15:47:38,delivered,41.02,36.92,3.28,5.39,0,credit_card,USD,phone,mobile,express,True,,,,,2024-01-18 15:47:38,2024-04-12 02:14:31
64,1571,2025-03-05 12:33:33,delivered,88.29,79.46,7.06,8.49,13.43,credit_card,USD,web,desktop,overnight,True,,,instagram,,2025-03-05 12:33:33,2025-06-28 02:57:12
65,1773,2024-08-07 05:42:43,delivered,62.78,56.5,5.02,4.27,10.18,bnpl,USD,mobile,tablet,overnight,True,,,instagram,,2024-08-07 05:42:43,2024-12-07 16:49:15
66,3822,2024-07-26 06:21:10,delivered,69.48,62.53,5.56,8.71,10.56,credit_card,USD,web,mobile,pickup,False,,,facebook,,2024-07-26 06:21:10,2025-02-03 07:46:15
67,20,2024-03-09 15:22:29,delivered,69.74,62.77,5.58,7.07,0,credit_card,USD,mobile,tablet,overnight,True,,,,campaign_oCd,2024-03-09 15:22:29,2025-07-31 22:58:05
68,1725,2024-07-11 19:10:02,delivered,34.39,30.95,2.75,6.44,0,credit_card,USD,mobile,tablet,standard,False,,,,campaign_StO,2024-07-11 19:10:02,2024-09-29 12:43:05
69,3009,2025-06-05 16:58:21,delivered,51.21,46.09,4.1,11.7,0,paypal,USD,store,mobile,overnight,False,,,direct,,2025-06-05 16:58:21,2025-08-18 08:53:52
70,2181,2024-06-06 03:14:28,delivered,67.64,60.87,5.41,3.79,0,credit_card,USD,mobile,desktop,pickup,True,,,email,,2024-06-06 03:14:28,2024-06-19 21:28:12
71,2475,2024-11-14 16:55:05,cancelled,51.16,46.04,4.09,5.36,0,credit_card,USD,phone,mobile,express,False,PROMOwAMX,,instagram,,2024-11-14 16:55:05,2025-01-22 00:24:37
72,913,2024-12-01 16:34:34,delivered,63.51,57.16,5.08,0.8,0,credit_card,USD,web,desktop,express,False,PROMOjeMM,,email,,2024-12-01 16:34:34,2025-03-01 16:42:48
73,1853,2024-02-26 03:40:46,returned,55.71,50.14,4.46,1.51,0,gift_card,USD,phone,desktop,express,True,,,instagram,campaign_ZuV,2024-02-26 03:40:46,2024-10-04 15:23:59
74,1606,2024-11-08 18:28:12,delivered,62.42,56.18,4.99,11.07,0,credit_card,USD,web,tablet,standard,True,,,,,2024-11-08 18:28:12,2025-06-08 05:21:02
75,414,2024-12-14 15:26:46,delivered,47.42,42.68,3.79,5.77,0,bnpl,USD,web,mobile,express,False,,,google,,2024-12-14 15:26:46,2025-01-11 00:03:06
76,3038,2025-06-15 03:25:57,returned,77.69,69.92,6.22,0.99,0,bnpl,USD,mobile,mobile,standard,True,PROMOtYEg,,,campaign_rMp,2025-06-15 03:25:57,2025-08-29 01:40:40
77,2470,2023-12-25 05:54:51,delivered,47.02,42.32,3.76,8.1,0,credit_card,USD,web,mobile,overnight,False,,,instagram,campaign_iQj,2023-12-25 05:54:51,2024-09-28 00:07:37
78,1098,2024-06-27 02:24:11,delivered,48.48,43.63,3.88,11.64,0,credit_card,USD,web,tablet,express,False,,,,campaign_chJ,2024-06-27 02:24:11,2024-09-24 01:24:22
79,4237,2025-07-31 18:45:55,delivered,80.19,72.17,6.42,1.73,0,bnpl,USD,web,tablet,standard,False,,,,,2025-07-31 18:45:55,2025-08-21 08:47:44
80,4930,2025-06-12 07:30:10,delivered,69.28,62.35,5.54,11.78,0,credit_card,USD,store,mobile,standard,False,,,,campaign_JbK,2025-06-12 07:30:10,2025-08-03 05:04:30
81,4900,2025-09-18 12:33:51,delivered,62.5,56.25,5.0,7.7,0,credit_card,USD,mobile,mobile,overnight,False,,,email,campaign_EWH,2025-09-18 12:33:51,2025-09-24 03:20:52
82,2984,2025-08-03 11:39:24,delivered,81.91,73.72,6.55,2.98,2.37,paypal,USD,mobile,desktop,express,True,,,google,,2025-08-03 11:39:24,2025-08-07 14:29:17
83,4304,2024-11-29 20:17:29,delivered,106.45,95.8,8.52,11.65,0,credit_card,USD,web,tablet,standard,False,,,,,2024-11-29 20:17:29,2025-07-25 01:17:05
84,1144,2024-05-25 17:29:19,delivered,60.43,54.39,4.83,0.17,0,bnpl,USD,store,desktop,overnight,False,PROMOITuv,,direct,,2024-05-25 17:29:19,2025-05-22 09:44:20
85,3355,2025-09-04 05:38:06,delivered,61.95,55.76,4.96,9.28,0,credit_card,USD,phone,mobile,pickup,True,,,direct,,2025-09-04 05:38:06,2025-09-10 07:50:45
86,1546,2023-10-26 16:39:56,delivered,37.44,33.69,3.0,6.04,0,credit_card,USD,mobile,desktop,pickup,False,,,direct,,2023-10-26 16:39:56,2024-06-30 01:38:44
87,4610,2024-06-06 22:38:34,delivered,66.66,59.99,5.33,13.58,0,credit_card,USD,mobile,desktop,standard,False,,,,campaign_bPP,2024-06-06 22:38:34,2025-09-21 19:09:45
88,2377,2024-01-20 03:11:31,delivered,78.32,70.49,6.27,9.63,13.91,paypal,USD,phone,desktop,express,False,,,,,2024-01-20 03:11:31,2024-08-20 11:31:52
89,3328,2025-04-27 05:20:00,delivered,73.47,66.13,5.88,11.33,0,credit_card,USD,store,desktop,pickup,False,,,email,,2025-04-27 05:20:00,2025-06-15 12:28:01
90,2214,2023-11-02 09:14:06,delivered,57.55,51.79,4.6,7.32,0,bnpl,USD,store,desktop,express,False,PROMOFeOU,,google,,2023-11-02 09:14:06,2025-04-05 06:00:34
91,1296,2024-07-09 18:37:45,delivered,61.73,55.55,4.94,5.69,0,credit_card,USD,web,tablet,standard,False,,,,campaign_syz,2024-07-09 18:37:45,2025-07-11 17:00:31
92,3768,2025-06-04 00:59:24,delivered,40.32,36.29,3.23,10.37,0,credit_card,USD,mobile,tablet,overnight,False,,South Kayla,facebook,,2025-06-04 00:59:24,2025-07-30 23:42:53
93,483,2025-03-11 06:30:01,cancelled,65.71,59.13,5.26,11.57,0,bnpl,USD,store,desktop,pickup,False,,Jennifershire,,,2025-03-11 06:30:01,2025-09-03 19:22:53
94,812,2024-06-06 05:56:39,delivered,83.03,74.72,6.64,13.07,5.17,paypal,USD,web,mobile,standard,False,PROMOqhrM,Port Gina,facebook,,2024-06-06 05:56:39,2024-09-04 20:29:46
95,2664,2024-02-05 09:03:24,delivered,27.56,24.8,2.2,9.0,0,bnpl,USD,store,mobile,overnight,True,,,,,2024-02-05 09:03:24,2024-03-01 13:03:46
96,1072,2024-08-08 18:37:23,delivered,73.82,66.43,5.91,7.9,0,credit_card,USD,mobile,tablet,express,False,,Flemingtown,google,campaign_zKw,2024-08-08 18:37:23,2024-09-27 09:30:09
97,2177,2024-05-26 23:24:46,delivered,42.5,38.25,3.4,6.52,0,credit_card,USD,phone,mobile,express,False,PROMOALvT,Emilystad,instagram,campaign_qwh,2024-05-26 23:24:46,2025-02-14 06:03:16
98,1232,2023-12-04 09:04:05,delivered,29.77,26.8,2.38,13.31,1.88,credit_card,USD,mobile,desktop,standard,True,,,instagram,,2023-12-04 09:04:05,2024-08-27 21:30:26
99,1301,2024-08-26 20:35:10,cancelled,79.41,71.47,6.35,5.13,0,gift_card,USD,phone,mobile,express,False,,,facebook,campaign_FWu,2024-08-26 20:35:10,2024-12-10 08:23:46
100,3081,2024-01-01 14:15:59,delivered,36.46,32.82,2.92,14.35,0,credit_card,USD,mobile,tablet,express,False,,,google,campaign_nIO,2024-01-01 14:15:59,2025-02-27 15:40:47
101,4297,2025-01-09 03:14:15,delivered,46.38,41.74,3.71,4.91,0,credit_card,USD,store,desktop,overnight,False,,,,,2025-01-09 03:14:15,2025-04-17 06:25:27
102,4889,2023-12-11 18:08:17,delivered,53.67,48.3,4.29,13.96,0,bnpl,USD,store,tablet,overnight,False,,,email,,2023-12-11 18:08:17,2025-08-30 12:24:25
103,4794,2023-11-10 01:27:25,delivered,87.83,79.04,7.03,9.41,0,paypal,USD,phone,mobile,standard,False,,,email,campaign_yOq,2023-11-10 01:27:25,2024-02-12 07:09:32
104,3672,2023-10-01 00:53:43,cancelled,65.67,59.11,5.25,6.39,12.25,gift_card,USD,phone,tablet,standard,True,,,facebook,campaign_dYS,2023-10-01 00:53:43,2025-01-23 16:06:59
105,2395,2023-09-30 17:51:55,delivered,69.19,62.27,5.54,2.19,4.5,credit_card,USD,phone,tablet,express,False,,,email,,2023-09-30 17:51:55,2024-03-03 03:13:13
106,377,2025-04-05 13:54:59,delivered,58.76,52.88,4.7,6.72,0,paypal,USD,web,mobile,standard,False,PROMOZGgZ,,instagram,,2025-04-05 13:54:59,2025-09-22 00:43:04
107,2756,2025-01-19 14:37:09,delivered,56.39,50.75,4.51,2.01,0,credit_card,USD,store,desktop,overnight,True,,,,campaign_LdK,2025-01-19 14:37:09,2025-05-28 00:17:20
108,3590,2024-10-21 19:29:39,delivered,71.52,64.37,5.72,10.2,0,credit_card,USD,store,tablet,standard,False,,,,campaign_xGZ,2024-10-21 19:29:39,2025-01-23 04:22:33
109,1465,2024-09-01 21:01:16,delivered,80.12,72.11,6.41,12.25,6.62,credit_card,USD,web,mobile,overnight,True,,,email,,2024-09-01 21:01:16,2024-09-05 18:31:09
110,3401,2025-01-25 18:39:04,delivered,61.39,55.25,4.91,5.32,0,credit_card,USD,web,mobile,express,False,PROMOpstH,,instagram,campaign_XAz,2025-01-25 18:39:04,2025-04-30 10:29:48
111,1610,2023-11-30 22:08:52,delivered,47.56,42.81,3.81,5.22,0,credit_card,USD,web,mobile,pickup,True,,,direct,campaign_nZT,2023-11-30 22:08:52,2024-12-03 23:58:03
112,4227,2025-07-30 09:45:12,delivered,60.32,54.29,4.83,0.2,0,credit_card,USD,phone,tablet,overnight,True,PROMOCORN,,direct,campaign_Zmr,2025-07-30 09:45:12,2025-09-22 14:19:18
113,4545,2024-08-14 01:06:36,delivered,54.02,48.62,4.32,4.25,9.82,bnpl,USD,mobile,mobile,standard,False,,,google,campaign_BBV,2024-08-14 01:06:36,2025-01-13 18:26:46
114,4397,2025-06-19 11:08:05,delivered,61.16,55.04,4.89,13.31,0,credit_card,USD,store,mobile,overnight,False,,,,,2025-06-19 11:08:05,2025-09-04 22:39:20
115,4058,2025-07-10 10:02:38,delivered,85.61,77.05,6.85,11.07,14.78,bnpl,USD,mobile,tablet,overnight,False,PROMOWzEn,,,,2025-07-10 10:02:38,2025-09-07 03:38:44
116,2407,2024-05-19 17:19:03,returned,73.75,66.38,5.9,5.66,0,bnpl,USD,mobile,desktop,express,False,,,,,2024-05-19 17:19:03,2024-08-28 13:49:07
117,1919,2025-02-14 08:32:14,delivered,68.21,61.39,5.46,1.82,0,paypal,USD,mobile,mobile,pickup,False,PROMOtMZH,,instagram,,2025-02-14 08:32:14,2025-07-07 18:17:29
118,2022,2023-11-18 11:05:28,delivered,70.88,63.8,5.67,4.56,2.56,paypal,USD,phone,desktop,pickup,False,,,,,2023-11-18 11:05:28,2024-12-15 17:34:56
119,676,2024-10-09 08:35:12,cancelled,43.78,39.4,3.5,4.21,0,credit_card,USD,store,tablet,express,True,PROMOFIEy,,,campaign_gqI,2024-10-09 08:35:12,2025-08-01 09:05:18
120,4840,2025-03-09 03:31:55,delivered,37.47,33.72,3.0,6.08,0,gift_card,USD,web,tablet,standard,False,,,,,2025-03-09 03:31:55,2025-04-05 02:51:40
121,2250,2024-09-05 15:06:41,delivered,51.84,46.66,4.15,8.97,9.87,credit_card,USD,store,tablet,express,False,,,email,,2024-09-05 15:06:41,2024-12-30 21:15:59
122,3533,2025-05-01 08:10:01,delivered,72.39,65.15,5.79,13.61,0,credit_card,USD,store,mobile,express,False,,East Courtneyburgh,facebook,,2025-05-01 08:10:01,2025-05-31 07:58:26
123,1218,2024-04-21 19:21:55,delivered,82.42,74.18,6.59,9.42,14.77,credit_card,USD,phone,mobile,express,False,,,,,2024-04-21 19:21:55,2024-05-16 06:13:01
124,4665,2025-08-26 14:28:48,delivered,39.61,35.65,3.17,13.4,0,paypal,USD,mobile,tablet,express,False,,,email,,2025-08-26 14:28:48,2025-09-11 22:03:12
125,1854,2025-04-06 05:01:52,delivered,70.24,63.21,5.62,13.89,0,bnpl,USD,mobile,mobile,pickup,False,,,facebook,campaign_IdF,2025-04-06 05:01:52,2025-06-13 09:50:36
126,2321,2024-05-17 00:18:55,delivered,64.35,57.91,5.15,2.11,0,paypal,USD,store,mobile,pickup,False,,,,campaign_gOC,2024-05-17 00:18:55,2024-08-16 16:39:21
127,2048,2024-01-23 20:21:17,delivered,57.88,52.09,4.63,9.4,0,credit_card,USD,store,desktop,express,False,,Ambermouth,instagram,,2024-01-23 20:21:17,2024-07-04 22:48:15
128,4975,2024-01-04 08:43:42,delivered,47.15,42.44,3.77,10.95,4.31,bnpl,USD,mobile,tablet,pickup,False,,,,,2024-01-04 08:43:42,2025-03-24 13:14:42
129,4668,2025-04-08 16:01:36,delivered,68.48,61.63,5.48,13.98,0,credit_card,USD,web,mobile,standard,True,,,instagram,campaign_Uro,2025-04-08 16:01:36,2025-07-07 06:34:21
130,1684,2024-05-29 16:46:03,returned,82.71,74.44,6.62,14.34,5.54,credit_card,USD,mobile,tablet,express,False,,West Thomasport,,campaign_bvt,2024-05-29 16:46:03,2024-08-29 05:51:49
131,3393,2024-11-15 23:49:12,delivered,47.57,42.82,3.81,10.29,6.21,credit_card,USD,store,desktop,express,False,,,,,2024-11-15 23:49:12,2025-01-11 11:56:32
132,2342,2024-12-26 01:59:21,delivered,48.67,43.81,3.89,7.4,0,bnpl,USD,web,mobile,standard,True,,,,,2024-12-26 01:59:21,2025-02-05 20:25:22
133,4076,2024-11-09 20:28:43,delivered,75.05,67.54,6.0,4.95,0,credit_card,USD,web,tablet,standard,False,,,,,2024-11-09 20:28:43,2025-03-12 00:03:45
134,4632,2025-09-03 03:53:53,returned,78.98,71.08,6.32,9.54,0,bnpl,USD,phone,mobile,overnight,True,,Katherinemouth,direct,campaign_KsG,2025-09-03 03:53:53,2025-09-19 07:33:40
135,4862,2024-01-20 05:39:02,delivered,48.29,43.46,3.86,13.44,0,credit_card,USD,store,tablet,express,False,,,,campaign_QRe,2024-01-20 05:39:02,2024-09-01 20:32:14
136,1565,2025-06-24 21:46:40,delivered,52.68,47.41,4.21,1.55,0.75,gift_card,USD,mobile,desktop,express,False,,,,,2025-06-24 21:46:40,2025-09-12 01:36:56
137,771,2024-02-23 23:55:09,cancelled,51.59,46.44,4.13,7.49,0,credit_card,USD,store,mobile,express,False,,Kellyhaven,,campaign_TdQ,2024-02-23 23:55:09,2025-05-19 03:21:53
138,943,2025-05-02 00:45:18,returned,57.37,51.63,4.59,13.55,0,paypal,USD,store,tablet,standard,True,,,direct,campaign_ZaP,2025-05-02 00:45:18,2025-09-13 03:36:14
139,1593,2024-03-22 11:36:28,delivered,59.78,53.8,4.78,3.15,0,credit_card,USD,mobile,desktop,pickup,False,PROMOyXsk,,facebook,campaign_ofK,2024-03-22 11:36:28,2025-07-18 10:14:23
140,3185,2025-08-22 13:12:31,returned,51.28,46.15,4.1,9.94,2.99,bnpl,USD,mobile,tablet,express,False,PROMOjnaq,,email,campaign_BgE,2025-08-22 13:12:31,2025-08-25 13:31:39
141,893,2024-11-20 02:38:32,delivered,45.41,40.87,3.63,13.26,0,paypal,USD,mobile,desktop,pickup,False,PROMOqeJw,,google,campaign_QJQ,2024-11-20 02:38:32,2025-05-21 17:52:33
142,4058,2025-02-09 16:35:48,delivered,66.99,60.29,5.36,7.4,0,bnpl,USD,store,desktop,standard,False,PROMOpQAk,,,,2025-02-09 16:35:48,2025-08-29 20:46:44
