order_item_id,order_id,product_id,sku,size,color,quantity,unit_price,total_price,final_price,discount_applied,gift_wrap,personalization
47,19,P000611,SKU000611V2731,XS,Beige,1,17.63,17.63,17.63,0,False,
48,19,P000696,SKU000696V3117,S,Blue,1,17.63,17.63,17.63,0,False,
49,20,P000501,SKU000501V2236,XXL,Red,1,40.04,40.04,40.04,0,False,Beautiful government.
50,20,P000596,SKU000596V2665,XXL,Green,1,40.04,40.04,40.04,0,False,
51,21,P000168,SKU000168V751,XS,Brown,1,39.88,39.88,39.88,0,False,
52,22,P000077,SKU000077V351,L,White,1,41.46,41.46,41.46,0,True,
53,22,P000618,SKU000618V2763,L,Blue,1,41.46,41.46,41.46,0,False,
54,23,P000543,SKU000543V2431,XL,Green,1,64.23,64.23,64.23,0,True,
55,24,P000053,SKU000053V244,L,Blue,1,41.85,41.85,41.85,0,False,
56,24,P000388,SKU000388V1751,XL,Pink,2,20.93,41.86,41.86,0,False,
57,25,P000052,SKU000052V239,M,Green,1,11.63,11.63,11.63,0,False,
58,25,P000495,SKU000495V2209,S,Blue,1,11.63,11.63,11.63,0,False,
59,25,P000691,SKU000691V3091,XXL,Pink,2,5.82,11.64,11.64,0,False,
60,25,P000202,SKU000202V894,M,Beige,1,11.63,11.63,11.63,0,False,
61,26,P000705,SKU000705V3150,M,Beige,1,14.93,14.93,14.93,0.1,False,
62,26,P000189,SKU000189V834,M,Navy,1,14.93,14.93,14.93,1.09,False,
63,26,P000406,SKU000406V1832,XXL,Navy,1,14.93,14.93,14.93,0,False,
64,26,P000238,SKU000238V1072,L,Green,2,7.46,14.92,14.92,0,False,
65,27,P000253,SKU000253V1138,XXL,Red,1,57.7,57.7,57.7,0,False,
66,28,P000001,SKU000001V005,M,Beige,1,16.57,16.57,16.57,0,False,
67,28,P000012,SKU000012V052,L,Green,1,16.57,16.57,16.57,0.67,False,
68,28,P000374,SKU000374V1680,M,Blue,2,8.28,16.56,16.56,0,False,
69,28,P000034,SKU000034V162,L,Red,1,16.57,16.57,16.57,0,False,
70,29,P000181,SKU000181V803,L,Brown,2,15.25,30.5,30.5,0,False,
71,29,P000030,SKU000030V145,S,Brown,2,15.25,30.5,30.5,0.57,False,
72,30,P000124,SKU000124V551,XL,Navy,1,21.29,21.29,21.29,0,False,
73,30,P000523,SKU000523V2338,XS,Pink,1,21.29,21.29,21.29,0,False,
74,30,P000006,SKU000006V026,S,Brown,1,21.29,21.29,21.29,0,True,
75,30,P000373,SKU000373V1675,XS,Gray,1,21.29,21.29,21.29,0,False,
76,31,P000342,SKU000342V1535,XL,Black,1,22.55,22.55,22.55,0.21,False,
77,31,P000288,SKU000288V1295,XXL,Navy,1,22.55,22.55,22.55,1.27,False,
78,32,P000018,SKU000018V083,L,Green,1,25.89,25.89,25.89,0,False,
79,32,P000047,SKU000047V215,L,Red,1,25.89,25.89,25.89,0,False,
80,33,P000665,SKU000665V2969,L,Brown,1,70.48,70.48,70.48,0,False,
81,34,P000457,SKU000457V2048,S,White,1,33.45,33.45,33.45,0,False,
82,34,P000508,SKU000508V2270,M,Red,1,33.45,33.45,33.45,0,False,
83,35,P000676,SKU000676V3018,XS,White,1,18.82,18.82,18.82,0,False,
84,35,P000053,SKU000053V245,L,Green,1,18.82,18.82,18.82,0,False,
85,35,P000386,SKU000386V1741,XXL,Navy,1,18.82,18.82,18.82,0,False,
86,35,P000181,SKU000181V805,L,White,1,18.82,18.82,18.82,0,False,
87,36,P000409,SKU000409V1848,XL,Red,1,17.0,17.0,17.0,0,False,
88,36,P000284,SKU000284V1279,XXL,Navy,1,17.0,17.0,17.0,0,False,
89,36,P000697,SKU000697V3120,L,Black,1,17.0,17.0,17.0,0,False,
90,36,P000610,SKU000610V2724,M,Beige,1,17.0,17.0,17.0,0,False,
91,37,P000416,SKU000416V1877,M,Red,2,9.69,19.38,19.38,0,False,
92,37,P000308,SKU000308V1386,XL,Gray,1,19.37,19.37,19.37,0,False,
93,37,P000552,SKU000552V2468,XL,Black,1,19.37,19.37,19.37,0,False,
94,38,P000001,SKU000001V002,M,Beige,2,26.84,53.68,53.68,0,False,
95,39,P000400,SKU000400V1801,S,Black,1,53.23,53.23,53.23,3.58,False,
96,40,P000670,SKU000670V2990,S,Black,1,31.15,31.15,31.15,0,False,
97,40,P000398,SKU000398V1797,L,Pink,1,31.15,31.15,31.15,1.93,False,
98,41,P000222,SKU000222V985,XL,Red,1,41.69,41.69,41.69,0,True,
99,41,P000563,SKU000563V2519,S,Beige,1,41.69,41.69,41.69,0,False,
100,42,P000616,SKU000616V2755,L,Pink,1,49.81,49.81,49.81,4.57,False,
101,43,P000640,SKU000640V2863,M,Blue,1,20.55,20.55,20.55,0,False,
102,43,P000570,SKU000570V2543,L,Pink,1,20.55,20.55,20.55,0,False,
103,43,P000533,SKU000533V2383,S,Brown,1,20.55,20.55,20.55,1.89,False,
104,44,P000410,SKU000410V1852,M,Blue,1,12.87,12.87,12.87,0,False,
105,44,P000476,SKU000476V2119,XS,Gray,1,12.87,12.87,12.87,1.04,False,
106,44,P000581,SKU000581V2591,XS,Beige,1,12.87,12.87,12.87,0,False,
107,45,P000108,SKU000108V494,L,Brown,1,32.23,32.23,32.23,0,False,
108,46,P000132,SKU000132V588,XL,Gray,1,18.07,18.07,18.07,1.22,False,
109,46,P000408,SKU000408V1841,S,White,1,18.07,18.07,18.07,0,False,
110,46,P000558,SKU000558V2493,S,White,1,18.07,18.07,18.07,0,False,
111,46,P000476,SKU000476V2119,XS,Gray,1,18.07,18.07,18.07,0,False,
112,47,P000208,SKU000208V923,S,Red,1,19.77,19.77,19.77,0,False,
113,47,P000036,SKU000036V170,XS,Brown,2,9.88,19.76,19.76,0,False,
114,47,P000400,SKU000400V1806,L,Gray,1,19.77,19.77,19.77,0,False,
115,47,P000187,SKU000187V829,XXL,Blue,1,19.77,19.77,19.77,0,False,
116,48,P000680,SKU000680V3039,L,Beige,1,16.23,16.23,16.23,0,False,
117,48,P000678,SKU000678V3032,XL,Gray,1,16.23,16.23,16.23,0,False,
118,48,P000099,SKU000099V451,M,Green,1,16.23,16.23,16.23,0,False,
119,48,P000390,SKU000390V1761,XS,Brown,1,16.23,16.23,16.23,0,False,
120,49,P000502,SKU000502V2240,XL,White,1,43.09,43.09,43.09,1.55,False,
121,49,P000420,SKU000420V1895,XL,Black,1,43.09,43.09,43.09,2.72,False,
122,50,P000080,SKU000080V366,L,Brown,1,59.08,59.08,59.08,0,False,
123,51,P000010,SKU000010V041,L,Green,1,15.39,15.39,15.39,0,False,
124,51,P000556,SKU000556V2485,M,Gray,1,15.39,15.39,15.39,0,True,
125,51,P000613,SKU000613V2742,XXL,Green,1,15.39,15.39,15.39,0,False,
126,52,P000590,SKU000590V2636,S,Gray,1,59.63,59.63,59.63,0,False,
127,53,P000283,SKU000283V1273,L,Gray,1,37.9,37.9,37.9,0,False,
128,53,P000060,SKU000060V277,L,Gray,1,37.9,37.9,37.9,0.74,False,Coach however PM.
129,54,P000611,SKU000611V2730,M,Pink,2,26.29,52.58,52.58,0,False,
130,55,P000086,SKU000086V391,M,Gray,1,66.57,66.57,66.57,0,False,
131,56,P000082,SKU000082V378,S,Brown,1,29.99,29.99,29.99,2.5,False,
132,56,P000328,SKU000328V1470,XXL,Red,1,29.99,29.99,29.99,0,False,
133,57,P000601,SKU000601V2685,M,Pink,1,69.15,69.15,69.15,0,False,
134,58,P000276,SKU000276V1240,M,White,1,28.91,28.91,28.91,0,False,Special community.
135,58,P000265,SKU000265V1187,L,Black,1,28.91,28.91,28.91,0,True,
136,59,P000506,SKU000506V2256,L,Black,1,25.5,25.5,25.5,1.76,False,
137,59,P000521,SKU000521V2328,XS,White,1,25.5,25.5,25.5,0,False,
138,60,P000388,SKU000388V1751,XL,Pink,1,33.23,33.23,33.23,0,False,
139,60,P000106,SKU000106V486,XXL,Pink,1,33.23,33.23,33.23,0,False,
140,61,P000087,SKU000087V398,L,White,1,23.96,23.96,23.96,0,False,
141,61,P000506,SKU000506V2259,L,Blue,1,23.96,23.96,23.96,0,True,
142,61,P000227,SKU000227V1017,XL,Black,1,23.96,23.96,23.96,0,False,
143,62,P000202,SKU000202V896,L,White,1,63.78,63.78,63.78,0,False,
144,63,P000322,SKU000322V1445,XXL,Blue,1,10.26,10.26,10.26,0,False,
145,63,P000654,SKU000654V2923,XS,White,1,10.26,10.26,10.26,0,False,
146,63,P000026,SKU000026V125,M,Beige,1,10.26,10.26,10.26,0,False,
147,63,P000455,SKU000455V2044,S,Navy,1,10.26,10.26,10.26,0,False,
148,64,P000149,SKU000149V660,XS,Black,1,22.07,22.07,22.07,0,True,
149,64,P000176,SKU000176V781,M,Brown,1,22.07,22.07,22.07,0.05,False,
150,64,P000070,SKU000070V319,XS,Pink,1,22.07,22.07,22.07,0,False,
151,64,P000406,SKU000406V1833,S,Gray,1,22.07,22.07,22.07,0,False,
152,65,P000391,SKU000391V1764,XXL,Green,1,15.7,15.7,15.7,0,False,
153,65,P000586,SKU000586V2617,XXL,Pink,1,15.7,15.7,15.7,0,False,
154,65,P000678,SKU000678V3027,L,Beige,1,15.7,15.7,15.7,0,False,
155,65,P000605,SKU000605V2700,XXL,Beige,1,15.7,15.7,15.7,0.17,False,
156,66,P000077,SKU000077V351,L,White,1,23.16,23.16,23.16,0.04,False,
157,66,P000139,SKU000139V617,XS,Blue,1,23.16,23.16,23.16,0,False,
158,66,P000644,SKU000644V2883,L,Navy,1,23.16,23.16,23.16,0,False,
159,67,P000090,SKU000090V410,L,Red,1,17.43,17.43,17.43,0,False,
160,67,P000124,SKU000124V551,XL,Navy,1,17.43,17.43,17.43,0,False,
161,67,P000018,SKU000018V083,L,Green,1,17.43,17.43,17.43,0,False,
162,67,P000404,SKU000404V1823,M,Gray,1,17.43,17.43,17.43,0,False,
163,68,P000614,SKU000614V2747,XXL,Red,2,17.2,34.4,34.4,0,False,
164,69,P000157,SKU000157V693,S,Red,1,17.07,17.07,17.07,0,False,
165,69,P000270,SKU000270V1212,XXL,Green,1,17.07,17.07,17.07,0,False,
166,69,P000322,SKU000322V1445,XXL,Blue,1,17.07,17.07,17.07,0,False,
167,70,P000595,SKU000595V2659,S,White,1,16.91,16.91,16.91,0,False,
168,70,P000107,SKU000107V487,L,Pink,1,16.91,16.91,16.91,0,False,
169,70,P000436,SKU000436V1965,M,White,1,16.91,16.91,16.91,0.01,False,
170,70,P000677,SKU000677V3023,M,Navy,1,16.91,16.91,16.91,0,False,
171,71,P000439,SKU000439V1977,S,Green,1,17.05,17.05,17.05,0,False,
172,71,P000544,SKU000544V2433,XL,Gray,1,17.05,17.05,17.05,0,False,
173,71,P000195,SKU000195V858,XXL,Beige,1,17.05,17.05,17.05,0,False,
174,72,P000076,SKU000076V346,M,Navy,1,15.88,15.88,15.88,0,False,
175,72,P000311,SKU000311V1400,XXL,Red,1,15.88,15.88,15.88,0,False,
176,72,P000507,SKU000507V2262,XXL,Beige,1,15.88,15.88,15.88,0,False,
177,72,P000128,SKU000128V575,S,Navy,1,15.88,15.88,15.88,0.76,False,
178,73,P000076,SKU000076V349,M,Gray,1,18.57,18.57,18.57,0,False,
179,73,P000654,SKU000654V2924,S,White,1,18.57,18.57,18.57,0,False,
180,73,P000196,SKU000196V863,XS,Green,1,18.57,18.57,18.57,0,False,
181,74,P000032,SKU000032V150,XS,White,1,15.61,15.61,15.61,0,False,
182,74,P000158,SKU000158V697,XXL,Black,1,15.61,15.61,15.61,0,False,
183,74,P000351,SKU000351V1583,M,White,1,15.61,15.61,15.61,0,False,
184,74,P000043,SKU000043V200,S,Pink,1,15.61,15.61,15.61,0,False,
185,75,P000288,SKU000288V1295,XXL,Navy,1,11.86,11.86,11.86,0,False,
186,75,P000527,SKU000527V2351,S,Navy,1,11.86,11.86,11.86,0,False,
187,75,P000269,SKU000269V1208,XL,Red,1,11.86,11.86,11.86,0,True,
188,75,P000115,SKU000115V521,M,Blue,1,11.86,11.86,11.86,0.77,False,
189,76,P000240,SKU000240V1080,L,White,1,77.69,77.69,77.69,0,False,
190,77,P000461,SKU000461V2066,M,Beige,1,15.67,15.67,15.67,0,False,
191,77,P000231,SKU000231V1034,XS,Red,1,15.67,15.67,15.67,0,False,
192,77,P000027,SKU000027V131,XL,Black,1,15.67,15.67,15.67,0,True,
193,78,P000005,SKU000005V021,XXL,Red,1,12.12,12.12,12.12,0,False,
194,78,P000017,SKU000017V082,S,White,1,12.12,12.12,12.12,0,False,
195,78,P000157,SKU000157V692,XS,Green,1,12.12,12.12,12.12,0,False,
196,78,P000537,SKU000537V2398,XL,Navy,1,12.12,12.12,12.12,0,False,
197,79,P000588,SKU000588V2625,M,Navy,1,80.19,80.19,80.19,3.69,False,
198,80,P000672,SKU000672V2998,L,Beige,1,69.28,69.28,69.28,0,False,
199,81,P000547,SKU000547V2444,XL,Brown,1,20.83,20.83,20.83,1.18,False,
200,81,P000483,SKU000483V2152,XL,Red,1,20.83,20.83,20.83,0,False,
201,81,P000339,SKU000339V1523,S,Beige,1,20.83,20.83,20.83,0,False,
202,82,P000502,SKU000502V2240,XL,White,1,27.3,27.3,27.3,0,False,
203,82,P000543,SKU000543V2430,L,Navy,1,27.3,27.3,27.3,0,False,
204,82,P000196,SKU000196V865,XL,Red,2,13.65,27.3,27.3,0,False,
205,83,P000298,SKU000298V1339,XL,Black,1,35.48,35.48,35.48,2.82,False,
206,83,P000529,SKU000529V2366,XS,Red,1,35.48,35.48,35.48,2.62,False,
207,83,P000065,SKU000065V299,S,Black,1,35.48,35.48,35.48,0,False,
208,84,P000144,SKU000144V635,XL,Black,1,15.11,15.11,15.11,0,False,
209,84,P000274,SKU000274V1230,L,Navy,1,15.11,15.11,15.11,0.75,False,
210,84,P000586,SKU000586V2615,XXL,Black,1,15.11,15.11,15.11,0,False,
211,84,P000097,SKU000097V443,S,Brown,1,15.11,15.11,15.11,0,False,
212,85,P000222,SKU000222V986,M,Beige,1,61.95,61.95,61.95,0,False,
213,86,P000682,SKU000682V3049,M,Green,1,37.44,37.44,37.44,1.27,False,
214,87,P000012,SKU000012V051,M,Navy,1,66.66,66.66,66.66,3.2,False,
215,88,P000283,SKU000283V1272,M,Blue,1,19.58,19.58,19.58,0,False,
216,88,P000305,SKU000305V1374,L,Navy,1,19.58,19.58,19.58,0,False,
217,88,P000690,SKU000690V3086,XL,Black,2,9.79,19.58,19.58,0,False,
218,88,P000687,SKU000687V3071,L,Blue,2,9.79,19.58,19.58,0,False,
219,89,P000556,SKU000556V2485,M,Gray,1,36.73,36.73,36.73,2.22,False,
220,89,P000011,SKU000011V049,L,White,1,36.73,36.73,36.73,0,False,
221,90,P000165,SKU000165V734,S,Brown,1,19.18,19.18,19.18,0,False,
222,90,P000162,SKU000162V717,XXL,Gray,1,19.18,19.18,19.18,1.17,False,
223,90,P000433,SKU000433V1954,XXL,Red,2,9.59,19.18,19.18,0,False,
224,91,P000348,SKU000348V1567,XXL,Blue,1,30.86,30.86,30.86,1.41,False,
225,91,P000509,SKU000509V2274,S,Blue,1,30.86,30.86,30.86,0,True,
226,92,P000071,SKU000071V328,XS,White,1,10.08,10.08,10.08,0,False,
227,92,P000416,SKU000416V1876,XL,Gray,1,10.08,10.08,10.08,0,False,
228,92,P000239,SKU000239V1076,XS,Beige,1,10.08,10.08,10.08,0.74,False,
229,92,P000481,SKU000481V2144,XL,Green,1,10.08,10.08,10.08,0,False,
230,93,P000405,SKU000405V1826,L,Red,1,16.43,16.43,16.43,0,False,
231,93,P000284,SKU000284V1275,M,Beige,1,16.43,16.43,16.43,0,False,
232,93,P000019,SKU000019V089,S,Gray,1,16.43,16.43,16.43,0,False,
233,93,P000369,SKU000369V1659,M,Black,1,16.43,16.43,16.43,0,False,
234,94,P000100,SKU000100V455,XL,Brown,1,41.52,41.52,41.52,0,False,
235,94,P000640,SKU000640V2863,M,Blue,1,41.52,41.52,41.52,0,True,
236,95,P000068,SKU000068V314,XS,Gray,1,6.89,6.89,6.89,0,False,
237,95,P000024,SKU000024V118,S,Black,1,6.89,6.89,6.89,0,False,
238,95,P000546,SKU000546V2439,M,Green,1,6.89,6.89,6.89,0,False,
239,95,P000089,SKU000089V409,XS,Green,1,6.89,6.89,6.89,0,False,
240,96,P000136,SKU000136V604,L,Beige,1,18.45,18.45,18.45,0,False,
241,96,P000300,SKU000300V1350,XS,Pink,1,18.45,18.45,18.45,0.13,False,
242,96,P000207,SKU000207V919,XXL,White,1,18.45,18.45,18.45,0,False,
243,96,P000644,SKU000644V2882,XS,Blue,1,18.45,18.45,18.45,0,False,
244,97,P000507,SKU000507V2264,XL,Beige,1,42.5,42.5,42.5,0,False,
245,98,P000567,SKU000567V2535,XL,Red,1,9.92,9.92,9.92,0,False,
246,98,P000626,SKU000626V2798,XXL,Blue,1,9.92,9.92,9.92,0,True,
247,98,P000691,SKU000691V3091,XXL,Pink,1,9.92,9.92,9.92,0,False,
248,99,P000405,SKU000405V1826,L,Red,1,39.7,39.7,39.7,0,True,
249,99,P000166,SKU000166V738,L,Blue,1,39.7,39.7,39.7,0,False,High fire.
250,100,P000561,SKU000561V2507,L,Green,1,18.23,18.23,18.23,0,False,
251,100,P000224,SKU000224V1000,S,Beige,1,18.23,18.23,18.23,0,False,
252,101,P000363,SKU000363V1632,XXL,Black,1,15.46,15.46,15.46,0,False,
253,101,P000449,SKU000449V2016,S,Gray,1,15.46,15.46,15.46,0,False,
254,101,P000171,SKU000171V759,M,Beige,1,15.46,15.46,15.46,0,False,
255,102,P000674,SKU000674V3010,S,White,1,17.89,17.89,17.89,0.97,False,
256,102,P000174,SKU000174V770,XS,Red,1,17.89,17.89,17.89,0,False,
257,102,P000317,SKU000317V1423,XXL,Red,1,17.89,17.89,17.89,0,False,Foot place method.
258,103,P000265,SKU000265V1188,M,Beige,1,87.83,87.83,87.83,0,False,
259,104,P000445,SKU000445V2000,XXL,Red,1,32.84,32.84,32.84,0,False,
260,104,P000279,SKU000279V1252,XL,Red,1,32.84,32.84,32.84,0,False,
261,105,P000552,SKU000552V2469,M,Beige,1,17.3,17.3,17.3,0,False,
262,105,P000240,SKU000240V1080,L,White,1,17.3,17.3,17.3,0,False,
263,105,P000241,SKU000241V1085,XL,White,1,17.3,17.3,17.3,0,False,
264,105,P000020,SKU000020V094,S,Beige,1,17.3,17.3,17.3,0,False,
265,106,P000538,SKU000538V2406,S,White,1,29.38,29.38,29.38,0.56,False,
266,106,P000145,SKU000145V638,L,Blue,1,29.38,29.38,29.38,0,False,
267,107,P000679,SKU000679V3035,XL,Navy,1,28.2,28.2,28.2,0,False,
268,107,P000179,SKU000179V795,XXL,Pink,1,28.2,28.2,28.2,0,False,
269,108,P000156,SKU000156V689,L,Gray,1,23.84,23.84,23.84,0.05,False,
270,108,P000637,SKU000637V2846,L,Gray,1,23.84,23.84,23.84,0,False,
271,108,P000032,SKU000032V152,XS,Pink,1,23.84,23.84,23.84,0,False,
272,109,P000305,SKU000305V1374,L,Navy,1,20.03,20.03,20.03,0,False,
273,109,P000525,SKU000525V2344,S,Beige,1,20.03,20.03,20.03,0,False,
274,109,P000363,SKU000363V1634,L,Gray,1,20.03,20.03,20.03,0,False,
275,109,P000047,SKU000047V218,XXL,Red,1,20.03,20.03,20.03,1.0,False,
276,110,P000260,SKU000260V1165,S,Beige,1,61.39,61.39,61.39,0,False,
277,111,P000316,SKU000316V1420,M,Black,1,11.89,11.89,11.89,0,False,
278,111,P000691,SKU000691V3091,XXL,Pink,1,11.89,11.89,11.89,0,False,
279,111,P000060,SKU000060V276,M,Green,1,11.89,11.89,11.89,0,False,
280,111,P000609,SKU000609V2722,L,Pink,1,11.89,11.89,11.89,0.28,False,
281,112,P000590,SKU000590V2635,XL,Beige,1,20.11,20.11,20.11,0,False,
282,112,P000428,SKU000428V1935,S,Green,1,20.11,20.11,20.11,0,False,
283,112,P000062,SKU000062V289,M,Red,1,20.11,20.11,20.11,0.18,False,
284,113,P000570,SKU000570V2543,L,Pink,1,27.01,27.01,27.01,1.26,False,
285,113,P000104,SKU000104V477,XS,White,1,27.01,27.01,27.01,1.25,False,
286,114,P000629,SKU000629V2814,M,Pink,1,61.16,61.16,61.16,0,False,
287,115,P000332,SKU000332V1493,S,Pink,1,42.8,42.8,42.8,0,False,
288,115,P000122,SKU000122V545,L,Brown,1,42.8,42.8,42.8,0,False,
289,116,P000176,SKU000176V782,XS,Black,1,18.44,18.44,18.44,0,False,
290,116,P000204,SKU000204V905,XL,Green,1,18.44,18.44,18.44,0,False,
291,116,P000539,SKU000539V2411,S,Blue,1,18.44,18.44,18.44,1.12,False,
292,116,P000623,SKU000623V2785,XS,Gray,1,18.44,18.44,18.44,0,False,
293,117,P000469,SKU000469V2094,XS,White,1,17.05,17.05,17.05,0,False,
294,117,P000308,SKU000308V1387,S,Gray,2,8.53,17.06,17.06,0,False,
295,117,P000252,SKU000252V1135,XS,Pink,1,17.05,17.05,17.05,0,True,
296,117,P000340,SKU000340V1526,XS,Green,1,17.05,17.05,17.05,0,False,
297,118,P000616,SKU000616V2755,L,Pink,1,23.63,23.63,23.63,0.56,False,
298,118,P000347,SKU000347V1561,M,Beige,1,23.63,23.63,23.63,0,False,
299,118,P000384,SKU000384V1727,L,Beige,1,23.63,23.63,23.63,0,False,
300,119,P000360,SKU000360V1621,XL,Navy,2,10.95,21.9,21.9,0,False,
301,119,P000421,SKU000421V1899,XS,Green,1,21.89,21.89,21.89,0,False,Subject they.
302,120,P000700,SKU000700V3131,L,Gray,1,9.37,9.37,9.37,0,False,
303,120,P000616,SKU000616V2755,L,Pink,1,9.37,9.37,9.37,0,False,
304,120,P000109,SKU000109V498,L,White,1,9.37,9.37,9.37,0,False,
305,120,P000273,SKU000273V1225,XXL,Beige,1,9.37,9.37,9.37,0.43,False,
306,121,P000361,SKU000361V1624,XXL,Blue,1,17.28,17.28,17.28,0,False,
307,121,P000115,SKU000115V522,XXL,Gray,1,17.28,17.28,17.28,0,False,
308,121,P000498,SKU000498V2220,XL,White,1,17.28,17.28,17.28,0,False,
309,122,P000611,SKU000611V2732,XXL,Brown,1,24.13,24.13,24.13,0,False,
310,122,P000051,SKU000051V236,XXL,Brown,1,24.13,24.13,24.13,0,False,
311,122,P000285,SKU000285V1281,S,Pink,1,24.13,24.13,24.13,0,False,
312,123,P000351,SKU000351V1583,M,White,1,20.61,20.61,20.61,0,True,
313,123,P000177,SKU000177V786,M,Gray,1,20.61,20.61,20.61,0,False,
314,123,P000129,SKU000129V576,XXL,Red,1,20.61,20.61,20.61,0,False,
315,123,P000602,SKU000602V2690,XS,Navy,1,20.61,20.61,20.61,0,True,
316,124,P000698,SKU000698V3125,XXL,Pink,1,19.8,19.8,19.8,0,False,
317,124,P000269,SKU000269V1206,XXL,Blue,1,19.8,19.8,19.8,0,False,
318,125,P000232,SKU000232V1038,L,Blue,2,8.78,17.56,17.56,0,False,
319,125,P000587,SKU000587V2622,XS,Black,1,17.56,17.56,17.56,0,False,
320,125,P000401,SKU000401V1809,L,Pink,1,17.56,17.56,17.56,0,False,
321,125,P000530,SKU000530V2372,XL,Brown,1,17.56,17.56,17.56,1.65,False,
322,126,P000619,SKU000619V2771,XXL,Blue,1,32.17,32.17,32.17,0,False,
323,126,P000373,SKU000373V1674,XS,Blue,1,32.17,32.17,32.17,0,False,
324,127,P000047,SKU000047V214,M,Brown,2,7.24,14.48,14.48,0,False,
325,127,P000149,SKU000149V657,XS,Blue,1,14.47,14.47,14.47,0,False,
326,127,P000345,SKU000345V1553,XXL,Black,1,14.47,14.47,14.47,0,False,
327,127,P000233,SKU000233V1040,M,Black,1,14.47,14.47,14.47,0,False,
328,128,P000169,SKU000169V752,M,Red,1,47.15,47.15,47.15,0,False,
