customer_id,tier_level,points_balance,points_lifetime,tier_start_date,next_tier_threshold,birthday_month,anniversary_date,preferred_categories,communication_preferences,vip_status,last_tier_review
37,bronze,3523,2360,2024-04-17,1000,4,2022-09-08,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-19
38,bronze,2030,6499,2024-02-04,1000,7,2024-11-08,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-22
39,bronze,2892,14851,2024-07-14,1000,8,2023-12-30,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-30
40,platinum,491,53,2024-03-13,10000,11,2022-02-04,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-02
41,bronze,3158,12329,2024-01-30,1000,11,2024-02-22,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-30
42,bronze,285,6374,2024-02-14,1000,12,2022-08-27,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",t,2024-03-26
43,bronze,2248,11572,2024-04-29,1000,7,2023-02-15,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-23
44,bronze,1050,2240,2024-04-01,1000,10,2024-04-30,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",t,2024-03-24
45,silver,1151,2620,2024-10-15,2000,7,2022-09-23,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-25
46,bronze,4155,5159,2024-06-02,1000,12,2024-09-11,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-29
47,bronze,3071,14863,2024-02-04,1000,6,2022-10-04,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-05
48,bronze,4297,13945,2024-08-09,1000,8,2024-07-27,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-23
49,bronze,3274,12191,2024-08-02,1000,2,2022-12-11,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-28
50,gold,17,14672,2024-07-18,5000,8,2023-01-02,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-21
51,bronze,1528,2164,2024-01-13,1000,3,2023-03-01,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-19
52,bronze,775,1948,2024-05-25,1000,5,2022-02-17,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-04
53,bronze,1549,4877,2024-05-21,1000,4,2022-07-09,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-06
54,bronze,3905,7981,2024-04-02,1000,10,2024-02-18,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-09
55,silver,899,13336,2024-09-03,2000,4,2022-08-07,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-04
56,bronze,52,686,2024-09-27,1000,7,2024-03-28,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-22
57,bronze,3698,9817,2024-01-08,1000,8,2023-03-29,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-07
58,bronze,3977,12729,2024-01-17,1000,10,2024-05-25,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-09
59,bronze,4433,7033,2024-02-17,1000,6,2022-11-17,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",t,2024-03-01
60,platinum,485,11824,2024-10-26,10000,13,2023-10-07,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-04
61,bronze,632,9589,2024-02-24,1000,11,2024-03-02,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-05
62,bronze,3961,384,2024-03-15,1000,5,2022-10-21,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-12
63,bronze,1501,9515,2024-06-04,1000,2,2024-10-07,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",t,2024-03-08
64,bronze,4862,438,2024-04-16,1000,7,2022-07-11,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-12
65,silver,4132,5833,2024-06-25,2000,10,2024-07-11,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-04
66,bronze,3557,7652,2024-09-16,1000,3,2024-01-29,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-22
67,bronze,3525,11122,2024-04-23,1000,7,2024-03-15,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-23
68,bronze,892,3598,2024-10-23,1000,13,2023-11-08,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-18
69,bronze,300,3911,2024-09-04,1000,6,2024-04-17,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-05
70,gold,3654,13442,2024-05-12,5000,9,2024-07-23,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-19
71,bronze,1251,9229,2024-02-15,1000,9,2023-01-13,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-11
72,bronze,4570,2490,2024-10-13,1000,4,2024-09-28,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-29
73,bronze,64,13815,2024-01-10,1000,10,2024-08-21,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-27
74,bronze,4920,14373,2024-07-06,1000,7,2022-06-15,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",t,2024-01-10
75,silver,3428,699,2024-07-30,2000,2,2022-02-20,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-11
76,bronze,4317,14381,2024-06-18,1000,4,2024-09-08,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-22
77,bronze,450,1882,2024-10-12,1000,12,2022-09-21,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-25
78,bronze,946,2016,2024-09-30,1000,11,2023-04-18,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-27
79,bronze,1390,2265,2024-03-11,1000,3,2023-08-13,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-26
80,platinum,3069,4714,2024-04-14,10000,9,2022-01-10,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-08
81,bronze,4068,7794,2024-06-06,1000,5,2023-06-10,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-24
82,bronze,4592,7613,2024-01-29,1000,9,2023-06-15,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-31
83,bronze,2870,1621,2024-03-30,1000,10,2024-12-11,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-04
84,bronze,4424,11913,2024-10-14,1000,5,2024-10-08,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-09
85,silver,1410,10534,2024-08-19,2000,10,2023-02-13,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-14
86,bronze,963,12806,2024-01-07,1000,9,2023-02-28,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",t,2024-03-28
87,bronze,1439,4760,2024-08-26,1000,9,2023-03-26,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-29
88,bronze,4972,11642,2024-08-03,1000,11,2024-07-07,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-10
89,bronze,1279,5406,2024-10-20,1000,6,2022-06-23,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-01
90,gold,757,3370,2024-01-09,5000,2,2024-10-18,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-25
91,bronze,3589,5537,2024-03-10,1000,8,2023-09-22,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-01
92,bronze,2503,2645,2024-07-02,1000,9,2022-08-16,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-23
93,bronze,4377,3199,2024-03-17,1000,11,2024-03-10,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-15
94,bronze,1234,4936,2024-07-23,1000,7,2024-09-16,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-17
95,silver,2035,4123,2024-07-13,2000,13,2022-08-29,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-31
96,bronze,4588,14109,2024-10-03,1000,11,2023-10-04,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-13
97,bronze,1251,14601,2024-07-29,1000,7,2023-05-22,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",t,2024-01-12
98,bronze,1690,12694,2024-08-11,1000,7,2022-08-19,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-10
99,bronze,4826,5330,2024-01-15,1000,2,2022-03-27,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-08
100,platinum,4141,7376,2024-07-12,10000,2,2022-04-07,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-02
101,bronze,3066,13646,2024-08-29,1000,13,2023-07-24,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-21
102,bronze,755,6092,2024-03-09,1000,8,2024-12-02,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-14
103,bronze,804,9587,2024-07-08,1000,7,2023-12-20,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-29
104,bronze,773,2267,2024-03-25,1000,6,2024-09-03,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-28
105,silver,2276,6372,2024-05-07,2000,1,2022-11-04,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-25
106,bronze,2500,2583,2024-03-14,1000,1,2023-06-18,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-10
107,bronze,4325,11889,2024-01-06,1000,2,2022-01-19,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-30
108,bronze,560,13277,2024-06-10,1000,11,2022-05-29,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-27
109,bronze,4201,14022,2024-07-19,1000,5,2022-09-28,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-13
110,gold,213,11849,2024-07-12,5000,4,2022-07-08,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-17
111,bronze,481,6778,2024-08-01,1000,12,2022-08-18,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-01
112,bronze,1712,8632,2024-07-30,1000,12,2024-06-03,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-02
113,bronze,2858,7738,2024-02-19,1000,2,2024-03-06,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-31
114,bronze,4316,11459,2024-02-11,1000,9,2023-08-10,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-18
115,silver,4519,12007,2024-05-31,2000,4,2024-12-12,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-12
116,bronze,2965,2875,2024-09-05,1000,2,2022-10-10,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-06
117,bronze,3873,160,2024-01-25,1000,12,2024-03-14,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-15
118,bronze,1236,8305,2024-08-22,1000,2,2022-02-20,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-26
119,bronze,3022,4692,2024-07-16,1000,6,2022-03-13,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-04
120,platinum,3108,7339,2024-03-31,10000,12,2023-08-24,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-04
121,bronze,3712,14165,2024-07-22,1000,11,2023-05-02,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-01
122,bronze,300,2573,2024-09-01,1000,4,2023-06-20,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-05
123,bronze,216,6387,2024-04-07,1000,2,2022-12-19,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-16
124,bronze,1923,6568,2024-02-21,1000,6,2022-07-02,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-10
125,silver,2597,9780,2024-06-08,2000,7,2023-04-06,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-11
126,bronze,4074,4106,2024-04-22,1000,9,2024-03-26,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-14
127,bronze,57,8594,2024-01-29,1000,10,2024-02-15,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-13
128,bronze,2965,10658,2024-01-25,1000,8,2023-05-18,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-11
129,bronze,4158,7110,2024-08-09,1000,8,2024-11-27,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",t,2024-03-01
130,gold,2662,4239,2024-02-24,5000,5,2022-03-01,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-05
131,bronze,1236,12506,2024-09-05,1000,13,2023-08-21,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-26
132,bronze,1913,11950,2024-05-11,1000,10,2023-06-20,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-24
133,bronze,4328,8610,2024-10-13,1000,9,2024-02-03,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-07
134,bronze,2700,12676,2024-08-12,1000,8,2023-08-01,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-19
135,silver,2953,3236,2024-01-04,2000,12,2022-05-31,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-14
136,bronze,3424,8755,2024-07-28,1000,11,2023-09-01,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-23
137,bronze,243,2653,2024-04-16,1000,11,2023-09-04,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-28
138,bronze,2810,6726,2024-01-23,1000,13,2023-03-17,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-12
139,bronze,4459,5734,2024-04-15,1000,5,2022-06-10,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-12
140,platinum,2108,6828,2024-06-03,10000,3,2024-10-19,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-05
141,bronze,4501,11790,2024-03-04,1000,12,2024-07-21,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-04
142,bronze,3860,11803,2024-08-26,1000,10,2022-08-01,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",t,2024-03-09
143,bronze,1073,13171,2024-01-27,1000,12,2023-07-30,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-16
144,bronze,2464,2133,2024-09-16,1000,2,2022-01-02,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-11
145,silver,2437,5880,2024-08-13,2000,3,2023-01-01,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-21
146,bronze,2638,4175,2024-10-13,1000,4,2024-03-29,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-09
147,bronze,2423,10311,2024-08-27,1000,10,2024-03-17,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-16
148,bronze,2762,4087,2024-09-25,1000,8,2022-10-12,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-14
149,bronze,4287,13071,2024-07-16,1000,10,2023-10-19,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-01
150,gold,2770,10367,2024-06-12,5000,9,2023-09-17,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-01
151,bronze,4063,6605,2024-01-08,1000,12,2022-07-22,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-31
152,bronze,1246,9142,2024-05-29,1000,6,2022-03-22,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-20
153,bronze,2453,14249,2024-02-19,1000,6,2024-06-18,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-27
154,bronze,735,5167,2024-07-07,1000,4,2022-08-27,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-26
155,silver,314,2196,2024-07-14,2000,8,2024-01-02,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-06
156,bronze,3314,4847,2024-05-24,1000,4,2023-06-05,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-26
157,bronze,2506,13527,2024-07-31,1000,13,2022-10-29,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-19
158,bronze,17,8704,2024-01-14,1000,4,2023-03-26,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-21
159,bronze,3662,3958,2024-04-30,1000,7,2022-09-10,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-12
160,platinum,2151,8131,2024-04-23,10000,6,2024-09-09,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-16
161,bronze,4001,3298,2024-07-06,1000,13,2022-10-22,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",t,2024-01-26
162,bronze,51,7840,2024-07-29,1000,5,2023-04-06,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-24
163,bronze,2684,3539,2024-08-06,1000,12,2023-05-23,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-30
164,bronze,4610,13467,2024-01-03,1000,1,2024-10-30,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-25
165,silver,2255,6644,2024-01-30,2000,6,2024-06-05,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-02
166,bronze,3231,8809,2024-01-23,1000,5,2022-05-03,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-04
167,bronze,3668,6261,2024-07-02,1000,2,2023-03-15,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-28
168,bronze,3066,9613,2024-01-25,1000,10,2022-07-26,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-27
169,bronze,750,97,2024-01-14,1000,2,2023-03-23,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-29
170,gold,3249,3252,2024-03-21,5000,7,2024-01-19,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-12
171,bronze,1750,1063,2024-04-12,1000,7,2024-05-14,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-10
172,bronze,1915,11074,2024-05-18,1000,6,2024-03-16,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-04
173,bronze,2484,13050,2024-09-03,1000,9,2022-03-11,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-05
174,bronze,4243,3390,2024-01-12,1000,6,2023-12-30,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-16
175,silver,3956,8336,2024-08-02,2000,9,2023-12-13,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",t,2024-03-21
176,bronze,158,2491,2024-01-23,1000,12,2022-12-18,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",t,2024-02-08
177,bronze,4030,11460,2024-08-29,1000,10,2023-01-29,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-21
178,bronze,884,1337,2024-03-15,1000,9,2023-03-06,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-03
179,bronze,2545,6062,2024-09-15,1000,7,2022-08-30,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",t,2024-03-22
180,platinum,319,4492,2024-07-24,10000,6,2022-12-08,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-18
181,bronze,3282,12639,2024-06-01,1000,5,2023-11-16,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",t,2024-01-30
182,bronze,1201,326,2024-02-03,1000,7,2024-09-13,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-01-14
183,bronze,2766,3685,2024-04-25,1000,2,2023-04-29,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-10
184,bronze,2944,6365,2024-08-14,1000,7,2023-12-23,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",t,2024-02-29
185,silver,994,11225,2024-04-16,2000,12,2024-08-28,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-15
186,bronze,889,4924,2024-08-10,1000,7,2022-02-09,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-02-21
187,bronze,2787,12273,2024-04-18,1000,13,2023-11-15,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",f,2024-03-15
188,bronze,2658,13980,2024-08-30,1000,5,2022-05-11,"casual,formal,sports","{""email"": true, ""sms"": false, ""phone"": false}",t,2024-03-22
