mention_id,customer_id,platform,post_url,username,post_date,post_type,post_text,hashtags,mentions,engagement_count,follower_count,sentiment_score,brand_mentioned,products_tagged,influence_score,ugc_usage_rights,campaign_tagged
SM37D4IVSO,507,Instagram,https://instagram.com/p/75UUZPEAL2W,fashionista_maya,2024-02-01 02:21:21,Reel,Just got my hands on the latest clothing from Classic Craft 2! Absolutely obsessed 😍 #styleinspo #style #trendy #styling,#styleinspo #style #trendy #styling,@classiccraft2,33223,621546,0.49,Classic Craft 2,P000133,65,True,
SM5X9L8LPQ,11019,Instagram,https://instagram.com/p/JGF1C8WQUUY,style_queen_jen,2025-03-25 08:21:07,Reel,New jewelry haul from Street Smart 2 - which one should I style first? #styleinspo #streetstyle #styling #fashionpost,#styleinspo #streetstyle #styling #fashionpost,@streetsmart2,4681,20011,0.59,Street Smart 2,P000117,60,True,
SMQ3XLRFCD,4863,Twitter,https://twitter.com/outfit_obsessed/status/1688246,outfit_obsessed,2024-08-23 08:11:38,Reel,Found the perfect formal for date night! Link in bio 💕 #outfitinspo #style #fashionpost #lookbook #styling,#outfitinspo #style #fashionpost #lookbook #styling,@metrostyle,286,6085,0.96,Metro Style,P000039,34,True,
SM2XCDYK0X,11309,Facebook,https://facebook.com/fashion_guru_anna/posts/1878547,fashion_guru_anna,2024-06-20 08:49:11,Comment,Found the perfect activewear for date night! Link in bio 💕 #styleinspo #streetstyle #fashionista #trendy,#styleinspo #streetstyle #fashionista #trendy,@eliteedge2,2529,15130,0.75,Elite Edge 2,P000449,62,False,campaign_summer
SMK2ST0SX5,22926,Instagram,https://instagram.com/p/DYSAL8M1G9F,fashion_guru_anna,2024-05-02 21:59:16,Comment,Modern Muse 2 never disappoints! This yoga is pure perfection 🔥 #outfit #fashionista #fashionblogger #trendy,#outfit #fashionista #fashionblogger #trendy,@modernmuse2,385,6082,-0.74,Modern Muse 2,P000679,42,False,campaign_summer
SMI826GYUP,45407,Facebook,https://facebook.com/chic_sarah/posts/9959220,chic_sarah,2024-01-28 20:26:18,Reel,Styling my new activewear three different ways! Swipe to see ➡️ #styleinspo #fashionpost #styling #ootd #stylish #outfitinspo,#styleinspo #fashionpost #styling #ootd #stylish #outfitinspo,@coastalchic,1856,91885,0.56,Coastal Chic,P000449,63,False,
SMJ6FP8HQM,13088,Facebook,https://facebook.com/chic_and_sleek/posts/3689594,chic_and_sleek,2024-03-15 07:49:47,Post,Styling my new accessories three different ways! Swipe to see ➡️ #styleinspo #fashionblogger #style #styling #lookbook #instafashion,#styleinspo #fashionblogger #style #styling #lookbook #instafashion,@metrostyle,1633,89254,-0.17,Metro Style,P000257,67,False,
SM7R31QW6A,15452,TikTok,https://tiktok.com/@fashionista_maya/video/5813037,fashionista_maya,2025-05-15 02:39:09,Story,New footwear haul from Urban Thread - which one should I style first? #ootd #instafashion #styleinspo #fashionpost #streetstyle,#ootd #instafashion #styleinspo #fashionpost #streetstyle,@urbanthread,1168,60615,0.67,Urban Thread,P000230,51,False,campaign_fall
SMSA5BNN0M,15574,Instagram,https://instagram.com/p/KAMUGYSM8T2,style_inspiration,2024-06-17 12:40:03,Post,Just got my hands on the latest bottoms from Sunset Styles 2! Absolutely obsessed 😍 #outfit #style #instafashion #stylish #outfitinspo #fashionblogger,#outfit #style #instafashion #stylish #outfitinspo #fashionblogger,@sunsetstyles2,12985,415779,-0.31,Sunset Styles 2,P000245,61,True,
SMJ1GM25LE,48182,Instagram,https://instagram.com/p/C1QKBHB7S9T,chic_and_sleek,2023-12-18 11:25:41,Reel,Casual Friday calls for this comfy clothing - so versatile! #streetstyle #instafashion #fashionlover #fashionpost #stylish,#streetstyle #instafashion #fashionlover #fashionpost #stylish,@pureelegance2,118,6447,-0.13,Pure Elegance 2,P000361,21,False,
SMM9J98CWN,25340,Instagram,https://instagram.com/p/TLCXLVPYMB5,outfit_obsessed,2023-12-11 02:59:54,Story,Can''t get enough of this footwear! Perfect for winter vibes ✨ #fashionblogger #fashionlover #style #styleinspo #trendy,#fashionblogger #fashionlover #style #styleinspo #trendy,@boldbasics2,2030,54438,0.91,Bold Basics 2,P000709,55,True,
SMPCENLK8A,44440,Pinterest,https://pinterest.com/street_style_sam/pin/7241348,street_style_sam,2024-07-21 04:26:55,Story,New accessories haul from Trend Tribe - which one should I style first? #styleinspo #trendy #outfitinspo #fashion #instafashion,#styleinspo #trendy #outfitinspo #fashion #instafashion,@trendtribe,785,67432,-0.0,Trend Tribe,P000069,44,False,
SM9389YZTK,7718,TikTok,https://tiktok.com/@glamour_vibes/video/8467726,glamour_vibes,2023-12-14 05:00:52,Reel,Casual Friday calls for this comfy tops - so versatile! #styling #ootd #style #outfit #instafashion,#styling #ootd #style #outfit #instafashion,@streetsmart,446,5288,0.7,Street Smart,P000457,28,True,
SME3TV1ES5,33342,Instagram,https://instagram.com/p/OZROOUELCQS,style_queen_jen,2024-07-04 21:57:04,Post,New jewelry haul from Trend Tribe - which one should I style first? #fashion #streetstyle #fashionblogger #outfitinspo #lookbook #stylish,#fashion #streetstyle #fashionblogger #outfitinspo #lookbook #stylish,@trendtribe,12953,335134,0.04,Trend Tribe,P000143,66,False,campaign_fall
SM1JHUWB6T,46487,Instagram,https://instagram.com/p/VUGW6M7B5C8,trendsetter_mia,2025-07-19 08:31:50,Reel,Styling my new bottoms three different ways! Swipe to see ➡️ #trendy #fashionpost #fashionblogger #fashionista #outfit,#trendy #fashionpost #fashionblogger #fashionista #outfit,@modernmuse,27676,336422,-0.03,Modern Muse,P000291,76,False,campaign_spring
SMSDIEQFB8,45129,Pinterest,https://pinterest.com/trendy_alex/pin/7216632,trendy_alex,2024-06-23 05:53:23,Comment,Fresh Fashion 2 never disappoints! This pants is pure perfection 🔥 #trendy #streetstyle #outfitinspo #outfit #lookbook #styleinspo,#trendy #streetstyle #outfitinspo #outfit #lookbook #styleinspo,@freshfashion2,130,1981,-0.16,Fresh Fashion 2,P000426,34,True,
SMVBKV4YKA,37860,Twitter,https://twitter.com/chic_sarah/status/4609524,chic_sarah,2025-01-11 00:21:34,Post,Found the perfect accessories for date night! Link in bio 💕 #styling #lookbook #fashionista #stylish #fashion #style,#styling #lookbook #fashionista #stylish #fashion #style,@boldbasics2,147,6123,-0.14,Bold Basics 2,P000164,44,False,
SM3WVEDN9U,26428,Facebook,https://facebook.com/chic_and_sleek/posts/5692934,chic_and_sleek,2024-04-22 13:07:00,Reel,Found the perfect yoga for date night! Link in bio 💕 #styleinspo #fashionblogger #fashionista #style,#styleinspo #fashionblogger #fashionista #style,@stylestudio2,7965,483713,0.51,Style Studio 2,P000053,72,True,
SMF90KM3TZ,26306,Facebook,https://facebook.com/glamour_vibes/posts/6344047,glamour_vibes,2025-06-18 00:03:07,Reel,New clothing haul from Elite Edge - which one should I style first? #styling #fashionblogger #stylish #outfit #outfitinspo,#styling #fashionblogger #stylish #outfit #outfitinspo,@eliteedge,829,75546,-0.05,Elite Edge,P000040,41,True,
SMGWW4FYB8,44159,Facebook,https://facebook.com/outfit_obsessed/posts/9060593,outfit_obsessed,2023-11-02 20:03:55,Post,This formal is giving me life! Such amazing quality 💫 #styling #fashionista #fashionpost,#styling #fashionista #fashionpost,@sunsetstyles3,263,2795,-0.62,Sunset Styles 3,P000316,38,False,
SMIUI9KKHZ,9925,Instagram,https://instagram.com/p/LG6MM1ZXYVG,trendsetter_mia,2025-04-18 21:16:37,Reel,Vintage Vibe 3 never disappoints! This clothing is pure perfection 🔥 #style #styleinspo #outfit #fashionblogger #ootd #fashionlover,#style #styleinspo #outfit #fashionblogger #ootd #fashionlover,@vintagevibe3,18362,533020,-0.04,Vintage Vibe 3,P000514,73,False,campaign_holiday
SMDLRYE89F,25857,Instagram,https://instagram.com/p/3JUJD0IB6II,chic_sarah,2024-09-20 22:23:27,Video,Styling my new tops three different ways! Swipe to see ➡️ #styleinspo #lookbook #stylish,#styleinspo #lookbook #stylish,@chiccollection,1699,55237,-0.05,Chic Collection,P000044,49,True,
SM7B42G05K,18825,Facebook,https://facebook.com/fashion_forward_lily/posts/3949245,fashion_forward_lily,2024-11-19 14:06:24,Post,Just got my hands on the latest clothing from Vintage Vibe 3! Absolutely obsessed 😍 #stylish #fashionblogger #styleinspo,#stylish #fashionblogger #styleinspo,@vintagevibe3,196,6262,-0.98,Vintage Vibe 3,P000061,40,True,
SMLOD9R7AN,21958,Instagram,https://instagram.com/p/XZAMKYGVWOP,trendy_alex,2024-01-05 01:01:07,Video,Can''t get enough of this jewelry! Perfect for fall vibes ✨ #fashionista #instafashion #fashionblogger #stylish #styling #ootd,#fashionista #instafashion #fashionblogger #stylish #styling #ootd,@streetsmart2,4222,47298,0.51,Street Smart 2,P000557,60,False,
SM751YW7NH,47375,TikTok,https://tiktok.com/@fashion_forward_lily/video/9430894,fashion_forward_lily,2025-09-15 10:55:20,Story,Styling my new activewear three different ways! Swipe to see ➡️ #style #fashionpost #styling #stylish,#style #fashionpost #styling #stylish,@metrostyle2,593,85088,-0.04,Metro Style 2,P000670,48,False,
SMUDS3QSQC,39698,Instagram,https://instagram.com/p/CUCTSUFLSEH,trendsetter_mia,2024-07-20 02:28:58,Video,Can''t get enough of this running! Perfect for winter vibes ✨ #stylish #fashionpost #fashionlover #outfitinspo,#stylish #fashionpost #fashionlover #outfitinspo,@freshfashion2,3906,58971,0.35,Fresh Fashion 2,P000563,62,False,
SM9QKGEX08,25949,Pinterest,https://pinterest.com/glamour_vibes/pin/2157949,glamour_vibes,2023-11-30 07:01:57,Reel,Can''t get enough of this jewelry! Perfect for spring vibes ✨ #style #trendy #streetstyle,#style #trendy #streetstyle,@fashionforward2,524,43352,0.99,Fashion Forward 2,P000224,63,False,
SM419QZPNI,24740,TikTok,https://tiktok.com/@style_inspiration/video/4736121,style_inspiration,2024-12-01 20:52:25,Video,Found the perfect formal for date night! Link in bio 💕 #styleinspo #style #outfit #fashionblogger,#styleinspo #style #outfit #fashionblogger,@pureelegance2,91,7154,-0.31,Pure Elegance 2,P000678,41,False,campaign_spring
SMOIH5CSK3,2112,TikTok,https://tiktok.com/@chic_sarah/video/1742169,chic_sarah,2024-05-14 19:19:47,Comment,Casual Friday calls for this comfy bottoms - so versatile! #outfit #style #outfitinspo #fashion,#outfit #style #outfitinspo #fashion,@trendtribe,364,7868,-0.36,Trend Tribe,P000017,44,False,campaign_summer
SM7Y2LOFN1,43268,Pinterest,https://pinterest.com/fashionista_maya/pin/6778321,fashionista_maya,2025-07-05 07:18:50,Video,Found the perfect yoga for date night! Link in bio 💕 #streetstyle #fashionpost #lookbook,#streetstyle #fashionpost #lookbook,@fashionforward,2310,78321,-0.52,Fashion Forward,P000308,53,True,
SM74D0GJYV,46372,TikTok,https://tiktok.com/@street_style_sam/video/2326581,street_style_sam,2025-01-30 08:47:08,Post,Styling my new pants three different ways! Swipe to see ➡️ #instafashion #fashionblogger #lookbook #outfit #trendy #ootd,#instafashion #fashionblogger #lookbook #outfit #trendy #ootd,@trendtribe2,4293,28920,-0.62,Trend Tribe 2,P000060,69,True,
SM46NOUHFJ,21822,Instagram,https://instagram.com/p/T1NTMJSRD9Q,glamour_vibes,2025-01-22 12:08:03,Comment,This footwear is giving me life! Such amazing quality 💫 #styling #lookbook #ootd,#styling #lookbook #ootd,@citycasual3,58039,6086650,0.16,City Casual 3,P000195,86,False,campaign_summer
SMGZR7TXCB,21619,Twitter,https://twitter.com/trendy_alex/status/6908535,trendy_alex,2025-08-17 20:06:26,Post,Casual Friday calls for this comfy pants - so versatile! #fashionblogger #fashionlover #instafashion #stylish #styleinspo,#fashionblogger #fashionlover #instafashion #stylish #styleinspo,@boldbasics2,3611,40149,0.89,Bold Basics 2,P000252,58,True,
SM7SIWJM2C,27027,Instagram,https://instagram.com/p/TOAZTKSZP7G,fashionista_maya,2025-07-30 09:28:17,Video,Casual Friday calls for this comfy footwear - so versatile! #lookbook #streetstyle #fashion #outfitinspo,#lookbook #streetstyle #fashion #outfitinspo,@bellavista,2395,28021,-0.08,Bella Vista,P000155,42,True,
SMZC4XL996,14802,Pinterest,https://pinterest.com/fashionista_maya/pin/1158547,fashionista_maya,2024-07-06 23:27:21,Post,Found the perfect clothing for date night! Link in bio 💕 #outfit #trendy #lookbook,#outfit #trendy #lookbook,@eliteedge3,1160,49318,-0.54,Elite Edge 3,P000666,60,False,campaign_spring
SM0MDICVWV,44855,Instagram,https://instagram.com/p/KUU4YTN02YC,glamour_vibes,2024-12-21 12:42:52,Reel,New footwear haul from Coastal Chic - which one should I style first? #fashionpost #fashion #ootd #outfitinspo,#fashionpost #fashion #ootd #outfitinspo,@coastalchic,4948,46749,-0.94,Coastal Chic,P000674,58,False,
SMCFZW0LDA,29528,Pinterest,https://pinterest.com/style_inspiration/pin/2233237,style_inspiration,2024-02-26 10:36:34,Reel,Styling my new activewear three different ways! Swipe to see ➡️ #streetstyle #fashionpost #outfitinspo #lookbook #trendy #style,#streetstyle #fashionpost #outfitinspo #lookbook #trendy #style,@classiccraft2,2368,74304,-0.11,Classic Craft 2,P000567,51,False,campaign_spring
