interaction_id,customer_id,interaction_date,channel,interaction_type,category,priority,subject_line,conversation_text,related_order_id,resolution_type,satisfaction_score,resolution_time_hours,agent_id,escalated,sentiment_score,keywords_extracted,follow_up_needed,interaction_cost
CS_000013,1709,2025-04-12 01:36:28.458898,email,inquiry,delivery,medium,Need help with size exchange,Customer expressed dissatisfaction with the product quality. The dress fabric feels cheaper than expected based on the price point. Customer is requesting a refund or exchange. Escalated to supervisor for resolution. Offered 20% discount for next purchase as gesture of goodwill.,,,,,,f,,,f,
CS_000014,4073,2025-08-22 06:00:31.376741,email,inquiry,delivery,medium,Need help with size exchange,Customer wants to return dress due to sizing issue. Provided return label via email. Return window is within policy (30 days). Expected refund processing time 5-7 business days after item received at warehouse. Customer satisfied with return process explanation.,,,,,,f,,,f,
CS_000015,2048,2025-09-04 21:51:45.0184,live_chat,inquiry,delivery,low,Exchange request,Customer expressed dissatisfaction with the product quality. The dress fabric feels cheaper than expected based on the price point. Customer is requesting a refund or exchange. Escalated to supervisor for resolution. Offered 20% discount for next purchase as gesture of goodwill.,,,,,,f,,,f,
CS_000016,481,2025-05-01 05:13:13.038179,phone,inquiry,quality,high,Dress arrived damaged,Customer expressed dissatisfaction with the product quality. The dress fabric feels cheaper than expected based on the price point. Customer is requesting a refund or exchange. Escalated to supervisor for resolution. Offered 20% discount for next purchase as gesture of goodwill.,9073,,,,,f,,,f,
CS_000017,1737,2025-08-02 15:08:55.628695,email,return_request,sizing,low,Refund status inquiry,Customer needs help with sizing for the Test Dress. Provided detailed size chart and measurement guide. Recommended size Medium based on customer measurements. Customer satisfied with recommendation and proceeding with order.,,,,,,f,,,f,
CS_000018,4759,2025-08-04 19:10:41.423826,live_chat,inquiry,sizing,high,Return process question,Customer needs help with sizing for the Test Dress. Provided detailed size chart and measurement guide. Recommended size Medium based on customer measurements. Customer satisfied with recommendation and proceeding with order.,,,,,,f,,,f,
CS_000019,285,2025-04-09 10:51:33.478224,email,complaint,payment,low,Thread coming loose,Customer wants to return dress due to sizing issue. Provided return label via email. Return window is within policy (30 days). Expected refund processing time 5-7 business days after item received at warehouse. Customer satisfied with return process explanation.,10208,,,,,f,,,f,
CS_000020,1178,2025-06-06 17:50:23.723967,phone,complaint,quality,low,Dress size doesn't fit as expected,Customer wants to return dress due to sizing issue. Provided return label via email. Return window is within policy (30 days). Expected refund processing time 5-7 business days after item received at warehouse. Customer satisfied with return process explanation.,,,,,,f,,,f,
CS_000021,2253,2025-07-03 04:16:01.583534,email,complaint,sizing,medium,Wrong item delivered,Customer expressed dissatisfaction with the product quality. The dress fabric feels cheaper than expected based on the price point. Customer is requesting a refund or exchange. Escalated to supervisor for resolution. Offered 20% discount for next purchase as gesture of goodwill.,2405,,,,,f,,,f,
CS_000022,343,2025-04-12 03:07:09.942849,social_media,complaint,delivery,low,Delivery tracking update needed,Customer inquiring about delivery status for recent order. Provided tracking information and expected delivery date. Package is in transit and on schedule. Customer satisfied with update and tracking details provided.,5024,,,,,f,,,f,
CS_000023,2727,2025-03-24 04:37:37.467705,email,complaint,delivery,medium,Size recommendation for dress,"Customer asking about care instructions and fabric composition for the dress. Provided detailed care guide: machine wash cold, hang dry, do not bleach. Fabric is 100% polyester with comfortable stretch. Customer appreciated the detailed information.",,,,,,f,,,f,
CS_000024,3136,2025-08-29 17:22:41.39677,phone,complaint,quality,medium,Delivery tracking update needed,Customer needs help with sizing for the Test Dress. Provided detailed size chart and measurement guide. Recommended size Medium based on customer measurements. Customer satisfied with recommendation and proceeding with order.,7910,,,,,f,,,f,
CS_000025,3067,2025-04-10 07:08:06.842343,phone,inquiry,returns,low,Dress arrived damaged,Customer needs help with sizing for the Test Dress. Provided detailed size chart and measurement guide. Recommended size Medium based on customer measurements. Customer satisfied with recommendation and proceeding with order.,4934,,,,,f,,,f,
CS_000026,4190,2025-08-02 04:00:27.210296,email,inquiry,delivery,low,Return process question,Customer wants to return dress due to sizing issue. Provided return label via email. Return window is within policy (30 days). Expected refund processing time 5-7 business days after item received at warehouse. Customer satisfied with return process explanation.,,,,,,f,,,f,
CS_000027,4106,2025-08-15 03:24:37.714681,email,inquiry,sizing,medium,Size chart confusion,Customer expressed dissatisfaction with the product quality. The dress fabric feels cheaper than expected based on the price point. Customer is requesting a refund or exchange. Escalated to supervisor for resolution. Offered 20% discount for next purchase as gesture of goodwill.,,,,,,f,,,f,
CS_000028,3095,2025-08-04 05:05:11.71092,phone,inquiry,delivery,medium,Need help with size exchange,Customer wants to return dress due to sizing issue. Provided return label via email. Return window is within policy (30 days). Expected refund processing time 5-7 business days after item received at warehouse. Customer satisfied with return process explanation.,,,,,,f,,,f,
CS_000029,1379,2025-07-27 01:10:50.41672,phone,inquiry,delivery,medium,Refund status inquiry,Customer wants to return dress due to sizing issue. Provided return label via email. Return window is within policy (30 days). Expected refund processing time 5-7 business days after item received at warehouse. Customer satisfied with return process explanation.,,,,,,f,,,f,
CS_000030,1779,2025-06-09 04:37:38.967368,live_chat,compliment,quality,medium,Fabric defect noticed,"Customer asking about care instructions and fabric composition for the dress. Provided detailed care guide: machine wash cold, hang dry, do not bleach. Fabric is 100% polyester with comfortable stretch. Customer appreciated the detailed information.",2698,,,,,f,,,f,
CS_000031,1889,2025-06-12 05:23:58.664419,live_chat,compliment,sizing,low,Order not received,Customer inquiring about delivery status for recent order. Provided tracking information and expected delivery date. Package is in transit and on schedule. Customer satisfied with update and tracking details provided.,,,,,,f,,,f,
CS_000032,4736,2025-04-07 09:14:57.129739,phone,compliment,quality,medium,Refund status inquiry,Customer needs help with sizing for the Test Dress. Provided detailed size chart and measurement guide. Recommended size Medium based on customer measurements. Customer satisfied with recommendation and proceeding with order.,,,,,,f,,,f,
CS_000033,4924,2025-08-28 02:21:28.515769,email,inquiry,sizing,medium,Need help with size exchange,"Customer asking about care instructions and fabric composition for the dress. Provided detailed care guide: machine wash cold, hang dry, do not bleach. Fabric is 100% polyester with comfortable stretch. Customer appreciated the detailed information.",,,,,,f,,,f,
CS_000034,927,2025-09-07 02:02:35.162516,email,return_request,sizing,low,Dress size doesn't fit as expected,Customer inquiring about delivery status for recent order. Provided tracking information and expected delivery date. Package is in transit and on schedule. Customer satisfied with update and tracking details provided.,3742,,,,,f,,,f,
CS_000035,2806,2025-06-25 09:19:08.79431,phone,complaint,returns,low,Order not received,Customer inquiring about delivery status for recent order. Provided tracking information and expected delivery date. Package is in transit and on schedule. Customer satisfied with update and tracking details provided.,776,,,,,f,,,f,
CS_000036,2820,2025-06-07 06:56:33.548544,phone,inquiry,quality,low,Dress arrived damaged,Customer wants to return dress due to sizing issue. Provided return label via email. Return window is within policy (30 days). Expected refund processing time 5-7 business days after item received at warehouse. Customer satisfied with return process explanation.,,,,,,f,,,f,
CS_000037,4837,2025-07-03 04:02:08.262059,email,compliment,sizing,low,Quality concern with recent purchase,Customer wants to return dress due to sizing issue. Provided return label via email. Return window is within policy (30 days). Expected refund processing time 5-7 business days after item received at warehouse. Customer satisfied with return process explanation.,11647,,,,,f,,,f,
CS_000038,2892,2025-05-19 04:20:41.594684,email,complaint,quality,low,Dress size doesn't fit as expected,Customer needs help with sizing for the Test Dress. Provided detailed size chart and measurement guide. Recommended size Medium based on customer measurements. Customer satisfied with recommendation and proceeding with order.,,,,,,f,,,f,
CS_000039,3660,2025-07-25 05:47:18.899065,live_chat,complaint,sizing,low,Package delivery delay,Customer needs help with sizing for the Test Dress. Provided detailed size chart and measurement guide. Recommended size Medium based on customer measurements. Customer satisfied with recommendation and proceeding with order.,,,,,,f,,,f,
CS_000040,3434,2025-08-21 23:03:34.740067,phone,complaint,delivery,high,Dress size doesn't fit as expected,Customer wants to return dress due to sizing issue. Provided return label via email. Return window is within policy (30 days). Expected refund processing time 5-7 business days after item received at warehouse. Customer satisfied with return process explanation.,11674,,,,,f,,,f,
CS_000041,3937,2025-09-16 16:14:06.875835,email,compliment,delivery,low,Delivery tracking update needed,Customer needs help with sizing for the Test Dress. Provided detailed size chart and measurement guide. Recommended size Medium based on customer measurements. Customer satisfied with recommendation and proceeding with order.,8445,,,,,f,,,f,
CS_000042,2279,2025-06-30 14:17:38.116059,phone,complaint,quality,low,Thread coming loose,Customer needs help with sizing for the Test Dress. Provided detailed size chart and measurement guide. Recommended size Medium based on customer measurements. Customer satisfied with recommendation and proceeding with order.,4966,,,,,f,,,f,
CS_000043,2192,2025-06-11 04:05:47.504516,email,complaint,quality,low,Wrong item delivered,Customer wants to return dress due to sizing issue. Provided return label via email. Return window is within policy (30 days). Expected refund processing time 5-7 business days after item received at warehouse. Customer satisfied with return process explanation.,,,,,,f,,,f,
CS_000044,563,2025-04-17 00:28:26.376195,phone,inquiry,delivery,medium,Size chart confusion,Customer expressed dissatisfaction with the product quality. The dress fabric feels cheaper than expected based on the price point. Customer is requesting a refund or exchange. Escalated to supervisor for resolution. Offered 20% discount for next purchase as gesture of goodwill.,,,,,,f,,,f,
CS_000045,4665,2025-09-13 14:08:31.511145,phone,complaint,delivery,low,Quality concern with recent purchase,Customer wants to return dress due to sizing issue. Provided return label via email. Return window is within policy (30 days). Expected refund processing time 5-7 business days after item received at warehouse. Customer satisfied with return process explanation.,82,,,,,f,,,f,
CS_000046,4152,2025-09-06 16:02:00.440332,email,compliment,returns,low,Fabric defect noticed,Customer inquiring about delivery status for recent order. Provided tracking information and expected delivery date. Package is in transit and on schedule. Customer satisfied with update and tracking details provided.,,,,,,f,,,f,
CS_000047,1190,2025-04-26 06:09:27.28042,email,compliment,sizing,medium,Order not received,Customer expressed dissatisfaction with the product quality. The dress fabric feels cheaper than expected based on the price point. Customer is requesting a refund or exchange. Escalated to supervisor for resolution. Offered 20% discount for next purchase as gesture of goodwill.,691,,,,,f,,,f,
CS_000048,4628,2025-09-19 07:22:45.326811,phone,technical_support,delivery,low,Need help with size exchange,Customer expressed dissatisfaction with the product quality. The dress fabric feels cheaper than expected based on the price point. Customer is requesting a refund or exchange. Escalated to supervisor for resolution. Offered 20% discount for next purchase as gesture of goodwill.,3651,,,,,f,,,f,
CS_000049,993,2025-08-26 05:04:10.611242,social_media,technical_support,delivery,low,Dress arrived damaged,Customer needs help with sizing for the Test Dress. Provided detailed size chart and measurement guide. Recommended size Medium based on customer measurements. Customer satisfied with recommendation and proceeding with order.,12692,,,,,f,,,f,
CS_000050,4535,2025-06-26 05:03:56.590884,live_chat,inquiry,returns,medium,Shopping cart issue,Customer wants to return dress due to sizing issue. Provided return label via email. Return window is within policy (30 days). Expected refund processing time 5-7 business days after item received at warehouse. Customer satisfied with return process explanation.,,,,,,f,,,f,
CS_000051,2557,2025-09-13 17:04:07.813106,phone,return_request,payment,low,Size recommendation for dress,Customer expressed dissatisfaction with the product quality. The dress fabric feels cheaper than expected based on the price point. Customer is requesting a refund or exchange. Escalated to supervisor for resolution. Offered 20% discount for next purchase as gesture of goodwill.,678,,,,,f,,,f,
CS_000052,599,2025-04-27 05:32:59.782064,live_chat,complaint,sizing,low,Fabric defect noticed,Customer needs help with sizing for the Test Dress. Provided detailed size chart and measurement guide. Recommended size Medium based on customer measurements. Customer satisfied with recommendation and proceeding with order.,8787,,,,,f,,,f,
CS_000053,3987,2025-08-08 23:08:52.436743,live_chat,inquiry,quality,low,Return label request,Customer needs help with sizing for the Test Dress. Provided detailed size chart and measurement guide. Recommended size Medium based on customer measurements. Customer satisfied with recommendation and proceeding with order.,1416,,,,,f,,,f,
CS_000054,2442,2025-07-22 13:40:06.043973,email,inquiry,payment,medium,Package delivery delay,Customer needs help with sizing for the Test Dress. Provided detailed size chart and measurement guide. Recommended size Medium based on customer measurements. Customer satisfied with recommendation and proceeding with order.,622,,,,,f,,,f,
CS_000055,3228,2025-05-16 12:42:24.566175,live_chat,complaint,delivery,low,Size chart confusion,Customer inquiring about delivery status for recent order. Provided tracking information and expected delivery date. Package is in transit and on schedule. Customer satisfied with update and tracking details provided.,,,,,,f,,,f,
CS_000056,4962,2025-09-06 20:23:59.743502,email,compliment,returns,high,Delivery tracking update needed,Customer needs help with sizing for the Test Dress. Provided detailed size chart and measurement guide. Recommended size Medium based on customer measurements. Customer satisfied with recommendation and proceeding with order.,,,,,,f,,,f,
CS_000057,550,2025-06-02 16:58:27.828681,phone,compliment,payment,medium,Package delivery delay,Customer inquiring about delivery status for recent order. Provided tracking information and expected delivery date. Package is in transit and on schedule. Customer satisfied with update and tracking details provided.,,,,,,f,,,f,
CS_000058,4533,2025-04-25 04:12:44.215521,email,inquiry,payment,medium,Package delivery delay,Customer expressed dissatisfaction with the product quality. The dress fabric feels cheaper than expected based on the price point. Customer is requesting a refund or exchange. Escalated to supervisor for resolution. Offered 20% discount for next purchase as gesture of goodwill.,1518,,,,,f,,,f,
CS_000059,128,2025-09-16 02:09:51.914058,email,complaint,returns,medium,Delivery tracking update needed,Customer expressed dissatisfaction with the product quality. The dress fabric feels cheaper than expected based on the price point. Customer is requesting a refund or exchange. Escalated to supervisor for resolution. Offered 20% discount for next purchase as gesture of goodwill.,,,,,,f,,,f,
CS_000060,409,2025-06-14 20:33:16.554742,live_chat,order_status,sizing,low,Package delivery delay,Customer wants to return dress due to sizing issue. Provided return label via email. Return window is within policy (30 days). Expected refund processing time 5-7 business days after item received at warehouse. Customer satisfied with return process explanation.,,,,,,f,,,f,
CS_000061,351,2025-07-05 20:39:34.504192,email,inquiry,delivery,medium,Exchange request,Customer expressed dissatisfaction with the product quality. The dress fabric feels cheaper than expected based on the price point. Customer is requesting a refund or exchange. Escalated to supervisor for resolution. Offered 20% discount for next purchase as gesture of goodwill.,,,,,,f,,,f,
CS_000062,2421,2025-09-19 03:54:47.425888,phone,inquiry,quality,medium,Fabric defect noticed,Customer needs help with sizing for the Test Dress. Provided detailed size chart and measurement guide. Recommended size Medium based on customer measurements. Customer satisfied with recommendation and proceeding with order.,,,,,,f,,,f,
CS_000063,671,2025-06-23 06:26:46.564612,email,compliment,quality,low,Need help with size exchange,Customer wants to return dress due to sizing issue. Provided return label via email. Return window is within policy (30 days). Expected refund processing time 5-7 business days after item received at warehouse. Customer satisfied with return process explanation.,,,,,,f,,,f,
CS_000064,1528,2025-05-09 21:10:14.995473,phone,complaint,sizing,medium,Return label request,Customer expressed dissatisfaction with the product quality. The dress fabric feels cheaper than expected based on the price point. Customer is requesting a refund or exchange. Escalated to supervisor for resolution. Offered 20% discount for next purchase as gesture of goodwill.,8885,,,,,f,,,f,
CS_000065,3041,2025-04-28 22:47:01.580217,phone,complaint,quality,low,Refund status inquiry,Customer wants to return dress due to sizing issue. Provided return label via email. Return window is within policy (30 days). Expected refund processing time 5-7 business days after item received at warehouse. Customer satisfied with return process explanation.,,,,,,f,,,f,
CS_000066,1936,2025-06-22 03:17:09.744408,social_media,complaint,quality,low,Order not received,Customer needs help with sizing for the Test Dress. Provided detailed size chart and measurement guide. Recommended size Medium based on customer measurements. Customer satisfied with recommendation and proceeding with order.,8932,,,,,f,,,f,
CS_000067,759,2025-04-06 09:22:25.662692,live_chat,inquiry,sizing,low,Fabric defect noticed,Customer needs help with sizing for the Test Dress. Provided detailed size chart and measurement guide. Recommended size Medium based on customer measurements. Customer satisfied with recommendation and proceeding with order.,12854,,,,,f,,,f,
CS_000068,4990,2025-07-16 02:03:41.388226,email,return_request,sizing,medium,Dress arrived damaged,"Customer asking about care instructions and fabric composition for the dress. Provided detailed care guide: machine wash cold, hang dry, do not bleach. Fabric is 100% polyester with comfortable stretch. Customer appreciated the detailed information.",7204,,,,,f,,,f,
CS_000069,2814,2025-09-11 12:00:20.965367,email,inquiry,payment,medium,Charge dispute,Customer needs help with sizing for the Test Dress. Provided detailed size chart and measurement guide. Recommended size Medium based on customer measurements. Customer satisfied with recommendation and proceeding with order.,2007,,,,,f,,,f,
CS_000070,3782,2025-06-10 00:46:10.457792,email,complaint,delivery,low,Wrong item delivered,Customer needs help with sizing for the Test Dress. Provided detailed size chart and measurement guide. Recommended size Medium based on customer measurements. Customer satisfied with recommendation and proceeding with order.,4172,,,,,f,,,f,
CS_000071,4366,2025-09-13 00:55:55.975146,email,compliment,quality,high,Payment method update,Customer needs help with sizing for the Test Dress. Provided detailed size chart and measurement guide. Recommended size Medium based on customer measurements. Customer satisfied with recommendation and proceeding with order.,,,,,,f,,,f,
CS_000072,4999,2025-09-11 19:53:35.009921,phone,complaint,sizing,low,Delivery tracking update needed,Customer needs help with sizing for the Test Dress. Provided detailed size chart and measurement guide. Recommended size Medium based on customer measurements. Customer satisfied with recommendation and proceeding with order.,8605,,,,,f,,,f,
CS_000073,363,2025-04-30 00:44:12.821821,live_chat,compliment,sizing,medium,Fabric defect noticed,Customer needs help with sizing for the Test Dress. Provided detailed size chart and measurement guide. Recommended size Medium based on customer measurements. Customer satisfied with recommendation and proceeding with order.,,,,,,f,,,f,
CS_000074,491,2025-05-29 04:51:16.296784,phone,complaint,quality,low,Thread coming loose,Customer wants to return dress due to sizing issue. Provided return label via email. Return window is within policy (30 days). Expected refund processing time 5-7 business days after item received at warehouse. Customer satisfied with return process explanation.,,,,,,f,,,f,
CS_000075,4996,2025-08-10 13:21:23.775197,phone,complaint,delivery,high,Wrong item delivered,Customer wants to return dress due to sizing issue. Provided return label via email. Return window is within policy (30 days). Expected refund processing time 5-7 business days after item received at warehouse. Customer satisfied with return process explanation.,,,,,,f,,,f,
CS_000076,4512,2025-03-30 12:34:43.634201,email,compliment,delivery,low,Size chart confusion,Customer expressed dissatisfaction with the product quality. The dress fabric feels cheaper than expected based on the price point. Customer is requesting a refund or exchange. Escalated to supervisor for resolution. Offered 20% discount for next purchase as gesture of goodwill.,908,,,,,f,,,f,
CS_000077,583,2025-09-04 06:10:32.269779,email,compliment,sizing,medium,Delivery tracking update needed,Customer needs help with sizing for the Test Dress. Provided detailed size chart and measurement guide. Recommended size Medium based on customer measurements. Customer satisfied with recommendation and proceeding with order.,4707,,,,,f,,,f,
CS_000078,1496,2025-05-31 20:40:21.79918,social_media,complaint,delivery,low,Need help with size exchange,Customer wants to return dress due to sizing issue. Provided return label via email. Return window is within policy (30 days). Expected refund processing time 5-7 business days after item received at warehouse. Customer satisfied with return process explanation.,,,,,,f,,,f,
CS_000079,489,2025-08-28 23:40:10.794428,email,inquiry,delivery,low,Dress arrived damaged,Customer inquiring about delivery status for recent order. Provided tracking information and expected delivery date. Package is in transit and on schedule. Customer satisfied with update and tracking details provided.,,,,,,f,,,f,
CS_000080,110,2025-06-08 14:05:37.614124,email,complaint,delivery,low,Delivery tracking update needed,"Customer asking about care instructions and fabric composition for the dress. Provided detailed care guide: machine wash cold, hang dry, do not bleach. Fabric is 100% polyester with comfortable stretch. Customer appreciated the detailed information.",,,,,,f,,,f,
CS_000081,3244,2025-09-01 06:13:54.877966,phone,inquiry,returns,medium,Quality concern with recent purchase,Customer needs help with sizing for the Test Dress. Provided detailed size chart and measurement guide. Recommended size Medium based on customer measurements. Customer satisfied with recommendation and proceeding with order.,,,,,,f,,,f,
CS_000082,983,2025-03-29 02:01:45.653651,phone,compliment,sizing,high,Dress arrived damaged,Customer expressed dissatisfaction with the product quality. The dress fabric feels cheaper than expected based on the price point. Customer is requesting a refund or exchange. Escalated to supervisor for resolution. Offered 20% discount for next purchase as gesture of goodwill.,12590,,,,,f,,,f,
CS_000083,412,2025-05-22 18:29:57.129403,email,complaint,quality,low,Need help with size exchange,Customer expressed dissatisfaction with the product quality. The dress fabric feels cheaper than expected based on the price point. Customer is requesting a refund or exchange. Escalated to supervisor for resolution. Offered 20% discount for next purchase as gesture of goodwill.,6989,,,,,f,,,f,
CS_000084,138,2025-09-07 23:59:24.640873,phone,complaint,delivery,low,Delivery tracking update needed,Customer wants to return dress due to sizing issue. Provided return label via email. Return window is within policy (30 days). Expected refund processing time 5-7 business days after item received at warehouse. Customer satisfied with return process explanation.,5422,,,,,f,,,f,
CS_000085,2776,2025-07-09 17:19:31.728556,phone,compliment,quality,low,Thread coming loose,Customer needs help with sizing for the Test Dress. Provided detailed size chart and measurement guide. Recommended size Medium based on customer measurements. Customer satisfied with recommendation and proceeding with order.,,,,,,f,,,f,
CS_000107,2107,2025-08-31 10:27:13.526486,phone,compliment,quality,low,Dress size doesn't fit as expected,Customer needs help with sizing for the Test Dress. Provided detailed size chart and measurement guide. Recommended size Medium based on customer measurements. Customer satisfied with recommendation and proceeding with order.,,,,,,f,,,f,
CS_000086,4278,2025-08-02 10:18:33.956666,phone,complaint,quality,low,Quality concern with recent purchase,"Customer asking about care instructions and fabric composition for the dress. Provided detailed care guide: machine wash cold, hang dry, do not bleach. Fabric is 100% polyester with comfortable stretch. Customer appreciated the detailed information.",9118,,,,,f,,,f,
CS_000087,2173,2025-04-13 10:48:54.335343,phone,inquiry,quality,low,Order not received,Customer wants to return dress due to sizing issue. Provided return label via email. Return window is within policy (30 days). Expected refund processing time 5-7 business days after item received at warehouse. Customer satisfied with return process explanation.,12824,,,,,f,,,f,
CS_000088,1303,2025-09-09 01:02:44.645151,phone,inquiry,delivery,medium,Quality concern with recent purchase,Customer wants to return dress due to sizing issue. Provided return label via email. Return window is within policy (30 days). Expected refund processing time 5-7 business days after item received at warehouse. Customer satisfied with return process explanation.,,,,,,f,,,f,
CS_000089,4517,2025-08-29 16:25:03.143204,phone,complaint,payment,medium,Fabric defect noticed,Customer expressed dissatisfaction with the product quality. The dress fabric feels cheaper than expected based on the price point. Customer is requesting a refund or exchange. Escalated to supervisor for resolution. Offered 20% discount for next purchase as gesture of goodwill.,9785,,,,,f,,,f,
CS_000090,3823,2025-08-13 11:11:24.149866,phone,complaint,sizing,low,Size chart confusion,Customer needs help with sizing for the Test Dress. Provided detailed size chart and measurement guide. Recommended size Medium based on customer measurements. Customer satisfied with recommendation and proceeding with order.,,,,,,f,,,f,
CS_000091,3809,2025-08-23 11:32:10.247455,live_chat,compliment,sizing,medium,Size chart confusion,Customer wants to return dress due to sizing issue. Provided return label via email. Return window is within policy (30 days). Expected refund processing time 5-7 business days after item received at warehouse. Customer satisfied with return process explanation.,675,,,,,f,,,f,
CS_000092,4641,2025-05-30 23:11:33.330595,phone,inquiry,quality,medium,Payment method update,Customer expressed dissatisfaction with the product quality. The dress fabric feels cheaper than expected based on the price point. Customer is requesting a refund or exchange. Escalated to supervisor for resolution. Offered 20% discount for next purchase as gesture of goodwill.,,,,,,f,,,f,
CS_000093,2148,2025-08-26 02:26:35.361876,live_chat,complaint,delivery,low,Return process question,Customer wants to return dress due to sizing issue. Provided return label via email. Return window is within policy (30 days). Expected refund processing time 5-7 business days after item received at warehouse. Customer satisfied with return process explanation.,11317,,,,,f,,,f,
CS_000094,1861,2025-09-19 13:54:32.903593,phone,compliment,quality,low,Dress size doesn't fit as expected,Customer needs help with sizing for the Test Dress. Provided detailed size chart and measurement guide. Recommended size Medium based on customer measurements. Customer satisfied with recommendation and proceeding with order.,6234,,,,,f,,,f,
CS_000095,710,2025-04-21 01:08:14.190961,email,inquiry,sizing,medium,Dress arrived damaged,Customer inquiring about delivery status for recent order. Provided tracking information and expected delivery date. Package is in transit and on schedule. Customer satisfied with update and tracking details provided.,,,,,,f,,,f,
CS_000096,3703,2025-06-30 22:25:07.697435,email,inquiry,sizing,low,Fabric defect noticed,Customer wants to return dress due to sizing issue. Provided return label via email. Return window is within policy (30 days). Expected refund processing time 5-7 business days after item received at warehouse. Customer satisfied with return process explanation.,,,,,,f,,,f,
CS_000097,2493,2025-08-19 20:25:12.599998,email,inquiry,quality,medium,Order not received,Customer expressed dissatisfaction with the product quality. The dress fabric feels cheaper than expected based on the price point. Customer is requesting a refund or exchange. Escalated to supervisor for resolution. Offered 20% discount for next purchase as gesture of goodwill.,,,,,,f,,,f,
CS_000098,1563,2025-06-24 21:54:32.445273,live_chat,complaint,returns,low,Dress arrived damaged,Customer expressed dissatisfaction with the product quality. The dress fabric feels cheaper than expected based on the price point. Customer is requesting a refund or exchange. Escalated to supervisor for resolution. Offered 20% discount for next purchase as gesture of goodwill.,,,,,,f,,,f,
CS_000099,2042,2025-06-05 09:11:55.817552,live_chat,inquiry,quality,low,Size recommendation for dress,Customer expressed dissatisfaction with the product quality. The dress fabric feels cheaper than expected based on the price point. Customer is requesting a refund or exchange. Escalated to supervisor for resolution. Offered 20% discount for next purchase as gesture of goodwill.,,,,,,f,,,f,
