variant_id,product_id,sku,size,color,additional_price,stock_quantity,weight_oz,created_at
44,P000010,SKU000010V044,L,Black,19.44,205,9.86,2024-05-27 10:44:37
45,P000011,SKU000011V045,S,Beige,12.44,59,11.88,2025-03-30 12:25:37
46,P000011,SKU000011V046,XXL,Brown,15.35,415,8.06,2023-10-20 17:38:33
47,P000011,SKU000011V047,M,Green,9.81,143,9.05,2024-04-24 01:07:43
48,P000011,SKU000011V048,XL,Brown,0.35,401,2.41,2024-08-12 15:08:16
49,P000011,SKU000011V049,L,White,7.67,171,13.09,2023-12-02 14:04:40
50,P000012,SKU000012V050,L,Black,0.66,295,10.57,2024-10-16 05:48:58
51,P000012,SKU000012V051,M,Navy,9.83,78,6.06,2025-08-07 09:25:24
52,P000012,SKU000012V052,L,Green,15.28,301,10.78,2024-03-28 18:01:21
53,P000012,SKU000012V053,XXL,Brown,13.71,302,8.11,2024-07-10 18:52:11
54,P000012,SKU000012V054,XL,Navy,10.13,210,5.42,2024-09-11 04:11:40
55,P000012,SKU000012V055,XL,Blue,12.34,190,11.96,2025-07-01 10:15:28
56,P000013,SKU000013V056,M,Black,0.56,33,3.67,2024-05-18 05:27:28
57,P000013,SKU000013V057,M,Red,16.19,308,2.35,2024-03-12 01:11:21
58,P000013,SKU000013V058,XXL,Red,7.61,229,6.49,2024-11-07 00:37:52
59,P000013,SKU000013V059,M,Blue,7.03,348,5.17,2024-05-17 23:40:17
60,P000013,SKU000013V060,S,Beige,11.85,476,10.94,2024-02-09 02:31:26
61,P000014,SKU000014V061,XS,Red,3.4,285,6.24,2023-12-22 08:11:33
62,P000014,SKU000014V062,L,Blue,11.36,471,7.48,2024-07-12 19:56:09
63,P000014,SKU000014V063,XS,Green,11.76,172,6.91,2025-05-27 20:27:59
64,P000014,SKU000014V064,L,Red,11.45,423,8.35,2023-10-25 05:08:38
65,P000014,SKU000014V065,XXL,Gray,6.72,267,12.55,2025-05-22 07:06:49
66,P000015,SKU000015V066,S,Pink,5.99,233,4.62,2024-03-01 03:26:14
67,P000015,SKU000015V067,XXL,White,16.81,284,4.78,2025-09-04 14:11:59
68,P000015,SKU000015V068,M,Black,5.95,303,7.23,2023-12-07 02:18:57
69,P000015,SKU000015V069,S,Pink,14.86,57,11.33,2024-09-04 20:35:55
70,P000015,SKU000015V070,XL,White,11.84,149,2.87,2024-10-23 04:28:29
71,P000016,SKU000016V071,L,Gray,6.95,49,10.47,2023-10-15 12:52:04
72,P000016,SKU000016V072,M,Brown,16.08,231,10.62,2025-06-07 18:57:38
73,P000016,SKU000016V073,M,Gray,8.29,138,10.12,2024-10-05 01:32:38
74,P000016,SKU000016V074,L,Brown,3.61,19,10.16,2025-08-29 01:38:55
75,P000016,SKU000016V075,XL,Navy,11.54,119,10.59,2024-10-18 13:44:16
76,P000016,SKU000016V076,XXL,Green,5.36,336,8.93,2024-01-23 20:16:04
77,P000017,SKU000017V077,XL,Black,10.45,196,8.01,2024-02-20 21:51:09
78,P000017,SKU000017V078,S,Navy,14.93,401,5.9,2024-06-16 08:16:11
79,P000017,SKU000017V079,L,Blue,6.37,435,13.84,2025-09-12 13:53:14
80,P000017,SKU000017V080,XXL,Gray,16.92,146,12.71,2024-10-05 16:37:12
81,P000017,SKU000017V081,XXL,Navy,5.13,317,5.07,2025-04-17 01:44:27
82,P000017,SKU000017V082,S,White,3.0,24,5.19,2025-08-04 22:20:13
83,P000018,SKU000018V083,L,Green,11.2,233,7.49,2024-11-05 21:10:57
84,P000018,SKU000018V084,XS,Gray,3.19,79,2.38,2024-05-24 05:33:20
85,P000018,SKU000018V085,M,Brown,3.52,446,2.55,2025-05-20 13:02:12
86,P000018,SKU000018V086,XXL,Green,15.64,38,13.17,2024-06-06 10:04:18
87,P000018,SKU000018V087,XS,Red,12.03,453,2.83,2024-01-15 11:15:47
88,P000019,SKU000019V088,M,White,7.94,439,11.42,2025-05-15 20:13:22
89,P000019,SKU000019V089,S,Gray,2.24,386,8.5,2025-08-03 07:33:39
90,P000019,SKU000019V090,XS,Brown,13.28,307,14.35,2023-12-11 11:35:30
91,P000019,SKU000019V091,XL,Beige,9.93,56,5.09,2025-06-25 17:49:21
92,P000019,SKU000019V092,XS,Red,6.59,309,11.58,2025-09-23 18:04:54
93,P000019,SKU000019V093,XXL,Gray,18.71,121,3.88,2024-10-31 01:43:13
94,P000020,SKU000020V094,S,Beige,8.79,140,13.22,2025-03-04 18:58:28
95,P000020,SKU000020V095,XS,Green,10.67,368,14.33,2024-01-07 06:04:37
96,P000020,SKU000020V096,M,Brown,8.48,359,5.2,2024-03-03 13:00:53
97,P000020,SKU000020V097,M,Navy,7.26,376,6.78,2025-04-10 23:01:32
98,P000021,SKU000021V098,XS,Pink,0.7,388,10.61,2023-10-24 13:26:19
99,P000021,SKU000021V099,XS,Gray,5.06,206,6.02,2024-09-16 23:17:52
100,P000021,SKU000021V100,XXL,Red,18.06,360,3.59,2024-07-23 05:13:04
101,P000021,SKU000021V101,S,Green,7.77,475,14.49,2025-04-02 11:57:38
102,P000021,SKU000021V102,M,Beige,1.81,431,11.84,2025-07-28 21:16:50
103,P000022,SKU000022V103,S,Navy,18.32,333,6.12,2024-11-04 21:15:51
104,P000022,SKU000022V104,XXL,Blue,15.79,150,13.26,2023-12-25 03:23:21
105,P000022,SKU000022V105,L,Green,14.74,484,12.94,2023-09-29 08:39:48
106,P000022,SKU000022V106,XXL,Blue,17.54,429,3.31,2024-05-24 17:09:42
107,P000022,SKU000022V107,S,Beige,10.13,190,7.47,2025-09-19 08:04:40
108,P000023,SKU000023V108,L,Black,15.24,338,10.34,2023-10-30 08:49:40
109,P000023,SKU000023V109,XXL,Green,15.82,79,2.04,2025-03-12 19:38:01
110,P000023,SKU000023V110,S,Beige,6.27,52,3.44,2025-07-15 22:13:39
111,P000023,SKU000023V111,S,Brown,14.27,403,12.8,2024-12-30 18:22:24
112,P000023,SKU000023V112,S,Pink,13.72,415,14.21,2025-08-03 08:58:47
113,P000024,SKU000024V113,L,Navy,5.21,361,9.71,2023-12-02 19:15:44
114,P000024,SKU000024V114,M,Beige,3.97,222,6.78,2024-06-11 01:01:16
115,P000024,SKU000024V115,L,Blue,18.9,462,9.42,2024-09-22 19:14:51
116,P000024,SKU000024V116,XS,Black,18.46,341,9.96,2025-08-16 19:40:34
117,P000024,SKU000024V117,S,White,19.48,111,5.4,2023-11-01 00:09:27
118,P000024,SKU000024V118,S,Black,8.02,229,9.81,2023-12-15 06:01:33
119,P000025,SKU000025V119,XS,Red,3.4,300,3.53,2024-11-03 12:19:18
120,P000025,SKU000025V120,XXL,Brown,8.7,481,14.07,2025-05-13 06:41:01
121,P000025,SKU000025V121,XXL,Green,2.37,375,4.64,2025-02-19 00:24:26
122,P000025,SKU000025V122,M,Beige,14.93,205,3.69,2025-04-27 06:11:50
123,P000026,SKU000026V123,XL,Gray,19.9,154,11.45,2024-05-25 21:06:51
124,P000026,SKU000026V124,S,Blue,3.61,415,3.9,2023-10-13 15:06:44
125,P000026,SKU000026V125,M,Beige,4.71,240,13.8,2024-12-17 18:32:44
126,P000026,SKU000026V126,M,Pink,13.69,244,3.11,2025-05-07 07:23:58
127,P000027,SKU000027V127,S,Red,19.49,213,10.93,2024-05-25 14:48:55
128,P000027,SKU000027V128,XXL,Blue,14.17,386,9.76,2025-02-03 09:05:34
129,P000027,SKU000027V129,XS,White,11.14,36,6.33,2025-08-19 02:39:45
130,P000027,SKU000027V130,S,Green,18.16,320,14.21,2024-03-07 03:51:25
131,P000027,SKU000027V131,XL,Black,0.11,268,10.06,2024-06-01 09:41:37
132,P000027,SKU000027V132,M,Blue,13.43,77,14.58,2024-02-28 22:40:32
133,P000028,SKU000028V133,XL,Navy,5.21,267,8.41,2024-02-22 17:21:39
134,P000028,SKU000028V134,M,Green,2.64,172,11.23,2024-05-05 18:03:11
135,P000028,SKU000028V135,L,Navy,5.21,170,2.57,2024-04-28 01:10:16
136,P000029,SKU000029V136,L,Beige,14.96,484,7.59,2024-11-12 14:23:24
137,P000029,SKU000029V137,M,Pink,16.59,484,5.43,2024-05-31 01:25:59
138,P000029,SKU000029V138,M,Blue,17.85,171,11.58,2025-05-18 09:50:44
139,P000029,SKU000029V139,L,Navy,11.11,482,10.55,2024-09-02 19:02:28
140,P000030,SKU000030V140,XS,Gray,2.97,127,4.38,2025-02-28 10:42:32
141,P000030,SKU000030V141,L,Beige,3.27,249,7.67,2023-12-26 13:13:14
142,P000030,SKU000030V142,L,Black,8.83,373,9.29,2024-04-24 22:41:34
143,P000030,SKU000030V143,L,Green,2.25,378,13.27,2024-01-20 03:35:24
144,P000030,SKU000030V144,XS,Red,1.87,454,5.69,2024-01-26 11:59:18
145,P000030,SKU000030V145,S,Brown,16.45,298,13.58,2024-04-25 17:00:40
146,P000031,SKU000031V146,XL,Black,10.52,302,4.35,2023-12-24 01:44:47
147,P000031,SKU000031V147,XS,Gray,15.37,356,3.23,2023-10-08 00:27:20
148,P000031,SKU000031V148,M,Black,5.69,358,3.59,2025-01-22 00:35:08
149,P000031,SKU000031V149,M,Pink,18.58,64,12.88,2024-12-03 20:13:49
150,P000032,SKU000032V150,XS,White,9.2,372,10.57,2024-10-29 10:50:07
151,P000032,SKU000032V151,L,Beige,11.88,12,6.28,2023-12-14 16:27:49
152,P000032,SKU000032V152,XS,Pink,19.02,176,14.32,2024-03-04 14:55:53
153,P000032,SKU000032V153,XXL,Pink,2.59,451,2.63,2024-11-20 13:31:05
154,P000033,SKU000033V154,M,Black,14.88,290,14.37,2024-06-24 06:27:12
155,P000033,SKU000033V155,L,White,7.98,101,5.12,2024-11-25 20:58:05
156,P000033,SKU000033V156,L,White,0.41,116,4.12,2024-05-30 13:02:20
157,P000033,SKU000033V157,L,Beige,12.94,498,10.5,2024-04-23 16:49:38
158,P000033,SKU000033V158,XS,Beige,9.82,231,11.57,2024-01-14 02:51:37
159,P000034,SKU000034V159,XXL,Pink,2.63,350,3.25,2025-03-26 06:09:16
160,P000034,SKU000034V160,M,Brown,4.0,238,13.51,2025-06-11 15:44:57
161,P000034,SKU000034V161,L,Beige,11.26,226,3.17,2024-05-03 04:32:33
162,P000034,SKU000034V162,L,Red,12.28,232,10.2,2024-12-15 01:43:54
163,P000034,SKU000034V163,XS,Black,10.27,247,10.79,2024-04-03 07:55:12
164,P000035,SKU000035V164,L,Brown,12.59,278,3.09,2024-02-06 04:50:49
165,P000035,SKU000035V165,L,Blue,1.58,420,8.21,2023-11-20 12:06:48
166,P000035,SKU000035V166,S,Navy,13.69,163,12.94,2024-05-25 00:32:54
167,P000035,SKU000035V167,XL,Blue,5.91,34,9.16,2025-01-14 12:05:55
168,P000036,SKU000036V168,XL,White,10.21,221,3.23,2025-08-19 04:40:01
169,P000036,SKU000036V169,XXL,Pink,16.26,191,5.31,2024-06-15 06:36:02
170,P000036,SKU000036V170,XS,Brown,0.33,389,10.6,2024-11-19 01:08:15
171,P000037,SKU000037V171,S,Blue,0.91,223,13.4,2024-09-04 18:14:29
172,P000037,SKU000037V172,M,Red,11.74,242,11.85,2023-11-04 13:39:16
173,P000037,SKU000037V173,L,Pink,16.16,184,14.57,2024-01-05 04:48:18
174,P000037,SKU000037V174,S,Gray,3.7,392,14.77,2023-10-18 16:30:46
175,P000038,SKU000038V175,XXL,White,8.68,19,2.08,2024-09-25 19:11:49
176,P000038,SKU000038V176,XS,Black,3.43,254,7.98,2025-08-27 18:38:27
177,P000038,SKU000038V177,L,Pink,14.52,165,10.04,2025-03-03 20:12:25
178,P000038,SKU000038V178,XL,Red,13.81,363,10.78,2023-11-04 08:37:05
179,P000038,SKU000038V179,M,White,2.5,17,4.48,2023-12-17 10:40:15
180,P000039,SKU000039V180,XXL,Gray,17.18,117,8.25,2024-07-20 02:51:56
181,P000039,SKU000039V181,S,Gray,8.72,330,13.16,2023-11-06 22:57:08
182,P000039,SKU000039V182,XL,Gray,1.72,404,8.02,2023-12-02 01:26:07
183,P000040,SKU000040V183,L,Black,2.33,472,3.98,2024-08-22 09:56:51
184,P000040,SKU000040V184,XXL,Green,19.28,251,2.26,2024-07-26 13:54:28
185,P000040,SKU000040V185,L,Pink,4.85,160,9.4,2024-02-12 04:32:05
186,P000040,SKU000040V186,L,Black,6.68,62,10.2,2025-03-26 12:11:32
187,P000040,SKU000040V187,XXL,Blue,19.59,444,8.44,2025-01-01 04:33:27
188,P000040,SKU000040V188,XL,Pink,14.62,158,2.48,2025-08-18 10:38:12
189,P000041,SKU000041V189,L,Brown,11.82,323,14.16,2024-12-29 13:49:36
190,P000041,SKU000041V190,L,Gray,14.29,280,2.25,2025-01-27 02:14:02
191,P000041,SKU000041V191,XL,Red,11.07,147,13.61,2025-07-06 15:28:14
192,P000041,SKU000041V192,L,Green,2.34,328,14.21,2025-03-15 04:54:37
193,P000041,SKU000041V193,M,Green,13.95,20,4.1,2025-03-22 09:10:04
194,P000041,SKU000041V194,XXL,Gray,9.38,234,5.02,2024-09-06 11:02:25
195,P000042,SKU000042V195,XL,Red,18.43,446,12.95,2025-01-16 21:00:02
196,P000042,SKU000042V196,XXL,Green,2.62,160,11.4,2024-06-28 09:22:03
197,P000042,SKU000042V197,L,Blue,16.66,354,10.48,2024-05-25 20:21:57
198,P000042,SKU000042V198,M,Green,16.0,442,4.11,2024-06-10 07:10:09
199,P000043,SKU000043V199,M,White,13.34,76,4.25,2025-06-22 02:16:22
200,P000043,SKU000043V200,S,Pink,9.84,416,7.41,2024-02-27 01:46:49
201,P000043,SKU000043V201,L,Beige,4.69,295,2.61,2025-04-01 21:26:40
202,P000043,SKU000043V202,XS,Red,17.62,192,10.8,2025-05-07 05:41:53
203,P000044,SKU000044V203,XL,Black,16.14,182,7.6,2025-02-28 05:58:41
204,P000044,SKU000044V204,XL,Gray,2.41,124,8.32,2025-06-15 18:29:31
205,P000044,SKU000044V205,M,Red,15.39,404,13.41,2024-11-13 12:55:47
206,P000044,SKU000044V206,M,Navy,17.07,457,8.7,2023-11-26 04:14:46
207,P000045,SKU000045V207,XXL,Black,18.53,234,12.39,2025-09-11 21:59:25
208,P000045,SKU000045V208,XS,White,15.63,322,12.17,2025-05-05 04:07:09
209,P000045,SKU000045V209,XS,Brown,0.84,63,4.17,2025-05-11 22:01:33
210,P000046,SKU000046V210,S,Red,3.14,159,11.21,2024-09-21 21:14:26
211,P000046,SKU000046V211,XL,Green,14.65,60,4.01,2024-12-10 04:24:35
212,P000046,SKU000046V212,M,Red,16.38,72,13.03,2024-01-06 12:53:31
213,P000047,SKU000047V213,L,Black,4.91,424,8.16,2023-12-07 08:07:58
214,P000047,SKU000047V214,M,Brown,3.43,146,6.84,2025-06-18 12:41:28
215,P000047,SKU000047V215,L,Red,12.59,135,3.97,2025-06-10 08:56:50
216,P000047,SKU000047V216,XL,Blue,15.74,80,12.42,2025-09-09 12:17:46
217,P000047,SKU000047V217,L,Blue,17.96,497,13.08,2025-03-21 18:53:12
218,P000047,SKU000047V218,XXL,Red,18.87,236,3.89,2024-09-23 21:20:44
219,P000048,SKU000048V219,XXL,Brown,18.87,53,6.4,2023-12-10 17:09:49
220,P000048,SKU000048V220,L,Navy,8.68,211,11.87,2024-09-14 00:45:16
221,P000048,SKU000048V221,XXL,Navy,18.05,39,14.71,2024-05-24 06:10:13
222,P000049,SKU000049V222,L,Blue,17.72,368,9.2,2025-03-10 19:38:39
223,P000049,SKU000049V223,M,Red,18.18,14,12.75,2025-02-07 16:53:00
224,P000049,SKU000049V224,XL,Pink,18.41,368,7.25,2025-03-30 19:26:02
225,P000049,SKU000049V225,XXL,Gray,17.75,329,12.25,2025-05-13 12:31:27
226,P000049,SKU000049V226,XXL,Green,13.95,464,12.55,2024-09-21 15:40:14
227,P000050,SKU000050V227,S,Beige,1.69,285,6.35,2024-09-25 15:39:39
228,P000050,SKU000050V228,XXL,Navy,10.41,286,5.69,2024-03-24 03:08:35
229,P000050,SKU000050V229,XS,Brown,11.04,276,6.43,2024-03-17 23:52:51
230,P000050,SKU000050V230,XXL,Navy,0.47,465,12.36,2024-01-15 19:12:58
231,P000050,SKU000050V231,XL,Beige,4.83,406,5.95,2025-07-26 00:02:52
232,P000050,SKU000050V232,L,Brown,2.21,40,12.94,2025-08-21 21:07:27
233,P000051,SKU000051V233,XXL,Brown,7.09,34,11.84,2025-01-17 08:41:02
234,P000051,SKU000051V234,XS,Green,5.96,387,2.07,2024-04-13 14:30:07
235,P000051,SKU000051V235,M,Gray,16.11,307,9.35,2025-09-04 05:01:25
236,P000051,SKU000051V236,XXL,Brown,16.89,129,6.55,2024-07-04 11:14:12
237,P000051,SKU000051V237,M,Pink,13.45,375,6.91,2024-07-26 16:53:36
238,P000052,SKU000052V238,XS,Red,10.33,108,12.7,2024-02-15 13:59:56
239,P000052,SKU000052V239,M,Green,1.96,374,7.53,2025-03-22 13:48:42
240,P000052,SKU000052V240,L,White,1.84,227,13.55,2025-09-07 15:05:53
241,P000052,SKU000052V241,L,Gray,8.92,199,10.8,2025-02-23 19:54:55
242,P000053,SKU000053V242,XL,Brown,10.38,212,13.34,2024-06-08 17:48:33
243,P000053,SKU000053V243,XL,Green,12.73,235,10.96,2025-05-30 19:57:02
244,P000053,SKU000053V244,L,Blue,16.48,83,8.58,2025-07-25 18:22:05
245,P000053,SKU000053V245,L,Green,2.59,370,8.67,2025-08-11 13:15:02
246,P000053,SKU000053V246,XL,White,13.89,243,8.15,2024-06-04 10:02:07
247,P000053,SKU000053V247,XXL,Navy,18.88,199,13.98,2024-09-12 05:51:31
248,P000054,SKU000054V248,XL,Blue,2.21,199,9.43,2024-10-08 19:50:03
249,P000054,SKU000054V249,XS,Brown,3.07,200,5.96,2023-10-19 16:12:51
250,P000054,SKU000054V250,M,Beige,5.88,24,12.29,2023-11-15 22:32:44
251,P000055,SKU000055V251,XL,Blue,0.97,467,5.97,2024-09-29 08:55:29
252,P000055,SKU000055V252,M,Gray,3.66,388,8.35,2023-12-22 20:25:02
253,P000055,SKU000055V253,XS,Brown,6.97,455,2.58,2024-06-25 03:22:54
254,P000055,SKU000055V254,L,Pink,6.19,241,13.7,2024-10-01 22:46:17
255,P000056,SKU000056V255,L,Pink,2.66,80,8.56,2024-09-18 10:13:05
256,P000056,SKU000056V256,L,Green,13.34,86,13.26,2025-07-14 02:16:33
257,P000056,SKU000056V257,M,White,16.0,350,10.11,2024-02-05 20:01:17
258,P000056,SKU000056V258,L,Gray,18.0,183,9.03,2024-05-02 09:42:31
259,P000056,SKU000056V259,XXL,Green,14.72,340,3.15,2025-05-14 15:31:02
260,P000056,SKU000056V260,S,Black,11.44,417,12.03,2024-06-22 22:42:46
261,P000057,SKU000057V261,XL,White,12.88,53,4.5,2025-01-07 15:37:57
262,P000057,SKU000057V262,XL,Brown,11.54,37,14.44,2024-12-15 12:49:45
263,P000057,SKU000057V263,XL,Gray,15.01,267,13.66,2024-01-03 02:50:46
264,P000057,SKU000057V264,XS,Brown,3.59,19,5.57,2024-10-24 16:55:05
265,P000057,SKU000057V265,S,Gray,16.59,439,13.54,2023-12-15 02:50:43
266,P000058,SKU000058V266,XS,Brown,12.14,215,9.66,2024-08-06 06:35:05
267,P000058,SKU000058V267,L,Black,6.8,102,7.39,2025-06-22 04:20:25
268,P000058,SKU000058V268,XL,Red,7.64,56,3.49,2025-04-02 23:03:55
269,P000058,SKU000058V269,XS,Brown,3.36,83,4.37,2025-06-06 00:41:29
270,P000058,SKU000058V270,XS,Navy,6.14,218,10.82,2023-12-18 06:19:33
271,P000058,SKU000058V271,XS,Pink,19.22,102,2.35,2024-06-05 06:42:07
272,P000059,SKU000059V272,M,Blue,1.97,82,7.37,2024-12-01 03:26:05
273,P000059,SKU000059V273,M,Beige,7.51,433,13.69,2025-02-11 14:42:06
274,P000059,SKU000059V274,XS,Gray,4.79,315,9.62,2023-11-20 06:10:08
275,P000060,SKU000060V275,XL,Brown,7.7,68,5.5,2025-06-02 16:02:00
276,P000060,SKU000060V276,M,Green,11.06,43,8.29,2024-05-17 19:56:24
277,P000060,SKU000060V277,L,Gray,18.27,19,5.5,2024-11-12 23:08:49
278,P000060,SKU000060V278,XL,White,4.93,294,10.47,2024-09-18 05:14:38
279,P000060,SKU000060V279,S,Beige,11.36,238,3.09,2024-08-02 11:48:38
280,P000060,SKU000060V280,XXL,Brown,4.07,82,6.85,2024-12-27 20:26:17
281,P000061,SKU000061V281,S,Brown,19.05,476,9.22,2024-08-12 07:09:56
282,P000061,SKU000061V282,XS,Black,16.25,434,10.07,2024-03-29 11:24:56
283,P000061,SKU000061V283,XXL,Navy,0.01,487,13.98,2025-01-20 09:59:45
284,P000061,SKU000061V284,M,Pink,5.02,358,6.94,2024-04-02 10:46:50
285,P000062,SKU000062V285,XXL,Gray,11.7,271,5.66,2024-11-24 18:33:36
286,P000062,SKU000062V286,S,Brown,11.26,163,3.17,2024-01-27 16:24:10
287,P000062,SKU000062V287,XXL,White,16.61,381,9.23,2024-10-04 20:09:55
288,P000062,SKU000062V288,M,Blue,4.22,268,14.45,2024-07-20 06:54:26
289,P000062,SKU000062V289,M,Red,12.7,395,11.2,2023-11-16 11:29:47
290,P000063,SKU000063V290,S,Red,6.83,245,14.47,2024-06-16 19:25:20
291,P000063,SKU000063V291,M,Black,18.28,78,10.4,2024-03-05 21:53:25
292,P000063,SKU000063V292,XS,Pink,9.53,471,2.12,2025-06-19 08:32:18
293,P000063,SKU000063V293,S,Blue,11.12,366,11.14,2025-03-18 06:15:48
294,P000063,SKU000063V294,L,Brown,1.62,458,10.44,2024-12-28 04:31:58
295,P000064,SKU000064V295,XL,Black,17.85,427,10.73,2024-08-26 01:14:25
296,P000064,SKU000064V296,XXL,White,7.06,426,6.89,2025-05-27 08:43:19
297,P000064,SKU000064V297,XL,Red,7.74,439,11.98,2024-08-29 07:37:52
298,P000065,SKU000065V298,XS,Green,7.41,108,7.78,2024-12-09 17:37:58
299,P000065,SKU000065V299,S,Black,15.17,358,13.98,2025-05-29 16:53:05
300,P000065,SKU000065V300,M,Gray,1.8,324,10.13,2024-06-17 23:08:09
301,P000066,SKU000066V301,S,Green,19.35,28,5.65,2024-11-22 02:46:00
302,P000066,SKU000066V302,XXL,Pink,4.18,110,14.8,2025-03-18 07:37:47
303,P000066,SKU000066V303,XXL,Blue,2.22,152,9.4,2024-03-27 14:17:08
304,P000066,SKU000066V304,L,Navy,11.04,347,11.6,2024-02-07 14:35:48
305,P000067,SKU000067V305,XS,Pink,2.56,43,3.66,2025-02-21 20:02:15
306,P000067,SKU000067V306,XL,Gray,17.62,383,12.17,2025-02-27 06:23:44
307,P000067,SKU000067V307,S,Black,19.84,364,10.81,2023-11-25 16:06:24
308,P000067,SKU000067V308,XL,Beige,13.61,462,7.9,2025-04-22 10:51:02
309,P000068,SKU000068V309,XXL,Black,17.08,175,7.62,2025-09-18 04:35:55
310,P000068,SKU000068V310,L,Beige,2.43,275,8.07,2025-04-01 02:59:32
311,P000068,SKU000068V311,M,Brown,15.18,462,11.38,2024-12-15 03:41:43
312,P000068,SKU000068V312,XS,Beige,18.37,282,7.84,2025-07-07 02:10:00
313,P000068,SKU000068V313,XS,Blue,3.89,51,13.44,2024-10-08 03:29:47
314,P000068,SKU000068V314,XS,Gray,19.56,226,14.45,2023-12-23 23:10:57
315,P000069,SKU000069V315,S,Navy,6.58,42,10.14,2024-12-29 02:46:15
316,P000069,SKU000069V316,XS,Black,9.6,423,2.31,2025-01-01 03:42:09
317,P000069,SKU000069V317,XXL,Red,16.81,136,3.4,2024-09-19 17:17:19
318,P000069,SKU000069V318,S,Red,16.65,430,6.34,2024-06-04 21:32:14
319,P000070,SKU000070V319,XS,Pink,12.39,401,3.24,2024-11-30 07:38:05
320,P000070,SKU000070V320,L,Pink,2.5,41,13.92,2023-12-11 00:27:02
321,P000070,SKU000070V321,L,Red,17.8,365,2.85,2025-06-25 15:40:13
322,P000070,SKU000070V322,S,Black,18.38,236,2.71,2024-09-05 23:28:55
