return_id,order_id,customer_id,return_date,return_reason,return_status,refund_amount,refund_method,restocking_fee,return_method,condition_received,processed_by,created_at
RETL2NM5VLL,1557,2030,2024-06-25 11:47:21,defective,approved,62.76,store_credit,3.97,pickup,good,Jeffrey Stanton,2024-06-25 11:47:21
RETQNQN2AW0,10496,2447,2025-08-14 07:41:00,defective,processed,28.81,store_credit,4.68,mail,like_new,Sarah Mason,2025-08-14 07:41:00
RET1KSXZQ1C,2036,2675,2025-07-25 13:40:26,fit,processed,35.4,original_payment,1.24,pickup,new,Carol Gardner,2025-07-25 13:40:26
RETSZOLI2H3,9857,2976,2025-03-09 18:21:03,defective,completed,33.73,original_payment,14.15,pickup,new,Morgan Rivera,2025-03-09 18:21:03
RETN6JM01XA,1474,1180,2024-04-03 06:41:37,fit,pending,38.44,original_payment,8.04,pickup,good,James Carpenter,2024-04-03 06:41:37
RET85T2BFMC,8061,2269,2024-12-20 02:03:22,fit,pending,45.22,store_credit,10.28,store,fair,Shawna Evans,2024-12-20 02:03:22
RETLD1ZC01P,5343,3082,2025-06-10 20:05:45,changed_mind,completed,53.23,original_payment,9.88,store,new,Tiffany Hernandez,2025-06-10 20:05:45
RETT04UFAIY,6407,3427,2025-02-06 23:57:11,fit,pending,26.75,original_payment,12.53,pickup,like_new,Robert Lowe,2025-02-06 23:57:11
RETKXYBYO1N,7428,4543,2024-07-29 00:51:04,changed_mind,pending,67.94,original_payment,1.45,store,good,Robert Johnson,2024-07-29 00:51:04
RETWBF787DN,11743,3542,2025-09-14 16:38:22,other,approved,52.4,original_payment,13.89,pickup,good,Michelle Jackson,2025-09-14 16:38:22
RETUSQDZJYV,8637,4153,2025-06-03 01:40:28,changed_mind,processed,37.76,store_credit,4.21,mail,good,Andrew Sloan,2025-06-03 01:40:28
RET9NKAH0JE,7095,3575,2023-12-05 11:22:33,fit,pending,30.99,original_payment,3.14,pickup,poor,Karen Clark,2023-12-05 11:22:33
RET7S78FCCY,5807,4130,2025-02-03 18:57:27,fit,pending,28.79,original_payment,3.07,store,good,Laura Garcia,2025-02-03 18:57:27
RETHGQG70QX,3715,1334,2025-09-04 11:16:19,other,processed,50.91,original_payment,1.65,mail,good,Nicholas Green,2025-09-04 11:16:19
RETP6PAYWL9,3092,2603,2025-09-02 19:15:39,changed_mind,processed,59.74,original_payment,11.59,store,good,Holly Mathews,2025-09-02 19:15:39
RET1T3P5GND,8364,3386,2024-11-02 23:33:53,other,completed,82.69,store_credit,1.5,mail,fair,John Perez,2024-11-02 23:33:53
RETPGB9P8DG,7492,915,2024-09-14 06:19:20,defective,processed,43.89,original_payment,13.47,mail,good,Spencer Wood,2024-09-14 06:19:20
RETDLMAYLVO,4890,623,2025-09-25 13:11:15,defective,processed,48.07,original_payment,10.98,mail,new,Crystal Wilkinson,2025-09-25 13:11:15
RETIQJWJV7P,9657,4332,2024-03-31 06:24:24,fit,approved,46.41,original_payment,15.0,pickup,like_new,Shannon Lee,2024-03-31 06:24:24
RET3PNIF1DV,6208,953,2025-09-05 08:49:55,fit,pending,55.79,original_payment,4.68,pickup,new,Derrick Morgan,2025-09-05 08:49:55
RETE0H8VV5W,6544,1736,2024-07-01 14:36:35,fit,processed,18.39,original_payment,6.53,mail,like_new,Andrew Williamson,2024-07-01 14:36:35
RET1XLOIUK1,24,3425,2025-08-29 13:19:44,fit,pending,60.8,original_payment,2.45,store,poor,Kimberly Turner,2025-08-29 13:19:44
RET1S4M0VEE,4145,4076,2025-08-20 15:01:22,defective,completed,47.54,original_payment,14.5,pickup,poor,George Hester,2025-08-20 15:01:22
RETSW2QJ7Y5,5439,290,2025-09-14 11:08:59,fit,pending,40.88,original_payment,11.51,mail,like_new,Valerie Martinez,2025-09-14 11:08:59
RETUXKCW1A8,484,2992,2025-09-22 20:43:16,other,completed,49.89,original_payment,0.37,mail,fair,Robert Vargas,2025-09-22 20:43:16
RETEQP9YVID,712,4178,2024-11-24 17:27:51,fit,approved,24.73,original_payment,6.17,pickup,poor,Jesus Gray,2024-11-24 17:27:51
RETZ8GDDGWL,10765,2196,2025-07-20 11:24:12,changed_mind,approved,55.13,original_payment,3.17,store,new,Joseph Barber,2025-07-20 11:24:12
RET7MQ9M4TX,4788,4400,2025-06-09 06:45:12,other,completed,28.23,original_payment,9.41,pickup,new,Mitchell Williams,2025-06-09 06:45:12
RETQ3RK1SHX,9277,3769,2024-06-07 13:29:10,changed_mind,approved,41.56,original_payment,5.39,store,new,Patrick Marquez,2024-06-07 13:29:10
RETC55GLIEG,12371,380,2025-09-19 17:33:39,fit,processed,34.82,store_credit,0.68,store,poor,William Gilbert,2025-09-19 17:33:39
RET3H2GCGFU,6645,4268,2025-09-09 14:49:57,fit,completed,53.71,store_credit,1.52,store,new,Maria Martinez,2025-09-09 14:49:57
RETG89TQWWP,532,885,2025-04-27 14:57:17,changed_mind,processed,35.11,original_payment,9.61,mail,poor,Aaron Brown,2025-04-27 14:57:17
RET1RQYM9NK,8363,2120,2024-11-17 11:15:06,defective,approved,38.34,store_credit,5.79,store,good,Andrea Galvan,2024-11-17 11:15:06
RETARKYSICD,2303,1198,2025-05-27 00:40:25,fit,processed,42.58,original_payment,2.45,store,like_new,Caitlin Compton,2025-05-27 00:40:25
RETIFYNLHCS,3112,1365,2024-04-02 12:10:55,fit,pending,59.32,store_credit,2.49,mail,fair,Anthony Woods,2024-04-02 12:10:55
RETN0YV98LF,1727,4161,2024-09-25 11:09:48,changed_mind,pending,24.53,original_payment,8.9,pickup,fair,Alexis Brown,2024-09-25 11:09:48
RETXL3TTVFO,5542,7,2025-05-29 08:09:46,other,processed,41.74,store_credit,4.21,store,poor,George Payne,2025-05-29 08:09:46
RETJP7EKSUG,12607,1047,2025-05-20 03:29:45,other,approved,54.5,original_payment,5.2,store,like_new,Douglas Pierce,2025-05-20 03:29:45
RETA5F0MORF,1131,2343,2025-09-08 12:46:31,changed_mind,completed,43.21,original_payment,3.64,pickup,fair,Michael Duncan,2025-09-08 12:46:31
RETI28LESWP,3876,2711,2025-01-25 02:22:18,changed_mind,approved,34.41,store_credit,0.71,pickup,like_new,Victor Andrade,2025-01-25 02:22:18
RETGPQTI8PK,3729,1195,2025-07-02 17:29:39,other,completed,40.47,original_payment,0.49,store,new,Andrew Barton,2025-07-02 17:29:39
RETJA3ZU684,3983,3291,2025-07-23 06:57:34,defective,pending,51.99,store_credit,6.86,mail,good,Katrina Vang,2025-07-23 06:57:34
RET1H899LUD,327,4994,2025-08-17 04:02:39,changed_mind,approved,31.32,original_payment,1.43,store,fair,Michelle Sheppard,2025-08-17 04:02:39
RET5P97COAN,8124,3155,2025-04-20 10:36:36,fit,completed,38.7,original_payment,1.96,store,good,Rachel Green,2025-04-20 10:36:36
RETO0RZ0UDU,11207,1138,2024-09-29 07:04:17,fit,processed,40.18,store_credit,5.67,pickup,like_new,Jessica Schneider,2024-09-29 07:04:17
RETUP6KFGX2,11,1857,2024-12-29 02:29:37,defective,completed,40.04,store_credit,10.14,pickup,good,Paul Spencer,2024-12-29 02:29:37
RETE79UAYI6,12186,4132,2024-08-28 15:31:10,defective,pending,50.93,store_credit,3.01,mail,like_new,Brenda Bush,2024-08-28 15:31:10
RET1N2VZVOK,6431,4955,2025-07-03 22:20:56,changed_mind,completed,56.55,store_credit,9.56,pickup,good,Jenny Valencia,2025-07-03 22:20:56
RETP55PTQ68,7007,4736,2024-03-05 01:27:32,changed_mind,processed,53.75,original_payment,7.78,store,fair,William Vaughn,2024-03-05 01:27:32
RETU71JEDIP,5993,1087,2025-05-16 13:58:58,fit,processed,42.03,original_payment,4.23,store,good,Christine Mckay,2025-05-16 13:58:58
RET7CF6F2ZE,3431,3369,2025-08-20 00:09:18,fit,processed,47.21,original_payment,8.63,mail,new,Brittany Lawrence,2025-08-20 00:09:18
RETP72V241V,5685,3472,2025-02-27 18:57:55,fit,pending,36.47,original_payment,0.48,store,fair,Robert White,2025-02-27 18:57:55
RETLTQRWZYH,4414,660,2024-12-15 16:17:50,changed_mind,approved,39.04,original_payment,7.4,pickup,new,Melanie Reid,2024-12-15 16:17:50
RETIVPVD3BS,2996,1169,2025-09-05 20:56:42,defective,approved,29.15,original_payment,14.96,mail,good,Tristan Wong,2025-09-05 20:56:42
RETYB9CU1BZ,3033,1955,2025-06-24 11:13:23,defective,pending,50.5,original_payment,5.71,mail,fair,David Anderson,2025-06-24 11:13:23
RETZS2G8EFM,6522,143,2025-08-30 09:41:02,defective,pending,58.54,original_payment,5.44,mail,like_new,Brian Brown,2025-08-30 09:41:02
RET8RVUJPWZ,5822,2738,2025-09-11 21:49:52,fit,pending,76.62,original_payment,13.94,store,new,William Campbell,2025-09-11 21:49:52
RETC5PGXK9R,6167,2288,2023-11-28 09:02:43,fit,approved,38.43,store_credit,2.69,mail,good,James Johnson,2023-11-28 09:02:43
RET6A3X0Y7H,3226,1400,2025-03-23 02:03:26,fit,processed,44.11,original_payment,10.94,mail,fair,Andrea Brown,2025-03-23 02:03:26
RETMJWT80XI,1885,3869,2025-02-12 12:10:02,defective,processed,44.69,original_payment,10.05,store,poor,Thomas Young,2025-02-12 12:10:02
RET2UPCXFZ5,7030,1877,2024-11-03 18:26:01,defective,completed,47.79,original_payment,9.9,mail,new,George Nelson,2024-11-03 18:26:01
RET5IVXWWNU,8876,3683,2025-01-07 16:12:44,fit,pending,82.22,store_credit,0.95,store,new,Mark Walter,2025-01-07 16:12:44
RET9987Y76J,3193,4032,2025-06-28 16:52:32,fit,processed,43.39,store_credit,5.49,mail,like_new,Amanda Wise,2025-06-28 16:52:32
RETGF6AIRUK,2508,199,2025-05-29 10:01:05,changed_mind,pending,48.06,store_credit,8.82,mail,good,Brandy Holloway,2025-05-29 10:01:05
RETZZK3M3BX,8469,1026,2025-07-21 06:22:50,changed_mind,processed,78.37,original_payment,8.23,mail,like_new,Ruth Rocha,2025-07-21 06:22:50
RET6JG5KZY2,6173,536,2025-01-28 16:50:18,defective,completed,50.83,original_payment,1.38,pickup,like_new,Andrew Bryant,2025-01-28 16:50:18
RET8ERVM7GG,5668,1310,2025-06-28 02:13:41,defective,pending,50.72,original_payment,11.76,mail,good,John Thompson,2025-06-28 02:13:41
RETP9NY81H5,6316,1459,2025-08-27 01:45:47,defective,processed,46.04,original_payment,7.46,mail,poor,Robert Lee,2025-08-27 01:45:47
RETWC7BQDRQ,7597,646,2025-03-27 17:01:33,changed_mind,pending,41.19,original_payment,4.32,mail,good,Michael Griffin,2025-03-27 17:01:33
RETQ7SUQQDT,8611,3191,2025-09-11 13:42:54,changed_mind,approved,32.97,original_payment,1.7,mail,fair,Vanessa Barnes,2025-09-11 13:42:54
RETG8LKAU21,11516,4401,2025-09-14 04:57:37,changed_mind,processed,24.86,store_credit,8.27,pickup,like_new,Donna Adams DDS,2025-09-14 04:57:37
RETWH4RBFCC,381,2194,2024-09-14 19:14:46,defective,pending,46.62,original_payment,12.23,mail,poor,Stephanie Miller,2024-09-14 19:14:46
RET5AFSH6Q1,7599,645,2025-06-20 14:01:32,changed_mind,completed,36.49,store_credit,8.18,pickup,fair,Jennifer Sanders,2025-06-20 14:01:32
RETUBI5K49I,10906,781,2025-07-30 06:21:16,fit,approved,46.73,original_payment,6.39,pickup,fair,Patricia Neal,2025-07-30 06:21:16
RET8VDD39UT,10447,3000,2024-08-08 09:01:48,changed_mind,processed,38.94,original_payment,0.07,store,like_new,Benjamin Mora,2024-08-08 09:01:48
RETYC2M4DGL,8365,2575,2025-03-23 16:23:03,fit,processed,45.33,original_payment,13.26,pickup,fair,Terry Green,2025-03-23 16:23:03
RET24PSY131,1951,3247,2025-05-02 20:35:34,defective,pending,37.06,store_credit,3.88,store,fair,Joshua Robinson,2025-05-02 20:35:34
RET34KV4WY2,3045,3175,2025-06-29 06:00:54,other,approved,30.44,original_payment,9.02,mail,poor,Thomas Garcia,2025-06-29 06:00:54
RETMQU1EI5A,6583,4230,2025-09-17 13:36:42,other,approved,44.54,original_payment,2.72,pickup,poor,Noah Brewer,2025-09-17 13:36:42
RETWLTAMFVQ,6856,3429,2025-05-13 01:42:03,changed_mind,pending,52.6,original_payment,7.35,mail,poor,Jennifer Ramirez,2025-05-13 01:42:03
RETPREC6ORG,6003,4897,2025-09-19 12:48:34,fit,processed,26.04,original_payment,6.5,mail,good,Ricky Cruz,2025-09-19 12:48:34
RETM98VZ368,8562,2487,2025-07-23 00:44:49,fit,approved,33.01,store_credit,14.97,pickup,new,William Jordan,2025-07-23 00:44:49
RETWF5UGYUW,5915,2341,2025-02-02 19:14:55,changed_mind,processed,38.21,store_credit,3.47,store,new,Mr. George Johnson,2025-02-02 19:14:55
RET6IHEQAX5,7027,3513,2024-08-24 09:04:28,other,completed,36.18,original_payment,7.03,mail,like_new,Tracy Hines,2024-08-24 09:04:28
RETYEZTFWGV,12700,702,2024-07-28 19:28:00,fit,approved,33.26,original_payment,8.99,mail,like_new,Christopher Howard,2024-07-28 19:28:00
RETOQBBW3Q4,12627,1742,2025-07-20 12:34:03,fit,processed,31.65,original_payment,5.37,mail,fair,Dr. Jonathan Malone,2025-07-20 12:34:03
RET9448YKGD,1324,2761,2025-03-16 02:18:18,fit,processed,50.76,store_credit,1.2,mail,poor,Rebecca Obrien,2025-03-16 02:18:18
RETZOPSRUJG,2934,3632,2025-03-09 11:33:39,fit,processed,30.65,store_credit,8.31,pickup,fair,Maria Olson,2025-03-09 11:33:39
RETYFAVLT5A,4824,239,2024-07-22 15:08:48,fit,approved,20.97,original_payment,5.07,pickup,good,Mr. William Harmon,2024-07-22 15:08:48
RETMH4H2WKA,8549,211,2025-08-29 19:22:15,changed_mind,approved,26.47,store_credit,7.31,pickup,like_new,Kathleen Rhodes,2025-08-29 19:22:15
RET0LV522WF,5834,3631,2024-12-14 07:21:46,defective,completed,44.63,store_credit,12.55,mail,new,Terri White,2024-12-14 07:21:46
RET1C6V2BPD,9036,3362,2025-08-22 15:30:51,fit,approved,68.05,store_credit,8.64,pickup,fair,Pamela Scott,2025-08-22 15:30:51
RET5XI0BU3Z,3343,2850,2025-02-19 10:51:57,defective,completed,26.46,store_credit,10.23,store,like_new,David Smith,2025-02-19 10:51:57
RET9AQYMQFO,3668,4573,2024-12-21 00:10:04,defective,completed,26.9,store_credit,4.05,store,good,Gina Morris,2024-12-21 00:10:04
RETJYPTKZ45,5576,3842,2025-04-20 22:00:31,fit,completed,78.43,store_credit,10.93,pickup,fair,Carmen Parker,2025-04-20 22:00:31
RETG3L98TQB,5787,2487,2024-10-28 14:43:28,other,pending,72.67,original_payment,9.71,store,new,Bobby Lopez,2024-10-28 14:43:28
RETNOT3SQAS,12057,3657,2025-08-20 05:57:42,other,completed,56.75,store_credit,6.25,mail,poor,Laura Santos,2025-08-20 05:57:42
RETCM5TGS8P,9028,308,2024-12-23 23:13:05,fit,pending,28.1,original_payment,6.27,mail,good,Jeanne Choi,2024-12-23 23:13:05
RET78EG05K3,10368,1332,2025-03-06 06:04:27,fit,pending,58.95,store_credit,13.77,pickup,fair,Angela Wood,2025-03-06 06:04:27
RETKYK8L25B,11134,3214,2023-12-16 19:14:24,changed_mind,pending,38.12,store_credit,2.35,mail,poor,Loretta Jones,2023-12-16 19:14:24
RETX0NLLJW7,8799,2358,2025-09-23 19:02:02,changed_mind,approved,70.29,original_payment,3.58,store,fair,Alexis Reed,2025-09-23 19:02:02
RETXSQI51A1,2449,4786,2024-07-10 06:08:08,fit,processed,60.09,original_payment,2.97,store,good,Denise Gomez,2024-07-10 06:08:08
RET90GO0CQ5,8140,2815,2025-09-23 01:37:05,changed_mind,completed,45.35,original_payment,6.83,pickup,new,Rebecca Chavez,2025-09-23 01:37:05
RETCBWMATJZ,10490,4188,2024-06-03 08:54:51,fit,pending,55.6,original_payment,8.16,pickup,good,Tanya Doyle,2024-06-03 08:54:51
RETKUBWN1V9,6368,1287,2025-05-25 20:14:31,fit,pending,33.73,original_payment,12.57,store,fair,Mr. Zachary Nelson DDS,2025-05-25 20:14:31
RETY2N2NDM4,1856,2427,2024-12-09 05:50:02,fit,completed,52.63,store_credit,1.04,store,new,Dylan Bennett,2024-12-09 05:50:02
RETD3I16532,2956,4180,2024-09-19 18:31:10,fit,completed,44.87,store_credit,10.06,pickup,new,Jeffrey Compton,2024-09-19 18:31:10
RETA1A0U35Q,5412,3844,2024-05-30 05:43:18,fit,processed,30.12,original_payment,11.27,store,poor,Alexis Turner,2024-05-30 05:43:18
RETKJIG9HDJ,1967,1331,2024-06-16 02:11:32,other,approved,50.98,store_credit,4.27,store,good,Stacey Torres,2024-06-16 02:11:32
RET1BRJINHD,6367,2082,2025-08-27 13:14:57,fit,completed,30.34,original_payment,1.93,store,poor,Patricia Reid,2025-08-27 13:14:57
RET633EUFH6,6216,1420,2024-04-19 01:41:59,fit,completed,38.57,original_payment,2.43,pickup,new,Madison Gray,2024-04-19 01:41:59
RETTGT5IU6C,33,2905,2025-09-20 13:58:06,defective,approved,65.2,store_credit,1.15,pickup,good,Martin Michael,2025-09-20 13:58:06
RETNBWNVTED,5195,2072,2025-07-17 05:09:29,other,processed,74.14,store_credit,14.56,pickup,good,Amy Mathis,2025-07-17 05:09:29
RETT1K3DGX0,11480,4247,2025-08-14 15:46:43,other,approved,46.79,store_credit,5.43,pickup,poor,Nathaniel Fowler,2025-08-14 15:46:43
RETZ7VGIY92,12667,4887,2024-08-31 02:34:43,fit,approved,17.99,store_credit,10.05,mail,new,Joseph Booth,2024-08-31 02:34:43
RET38HV41LK,12776,1653,2025-03-26 11:44:53,defective,completed,28.8,store_credit,10.92,mail,new,Lauren Thompson,2025-03-26 11:44:53
RET07CJKO93,8425,4024,2024-07-23 21:17:08,other,processed,45.61,store_credit,2.74,store,new,Jessica Scott,2024-07-23 21:17:08
RET2XJI8P6U,2012,2163,2025-08-31 23:42:16,changed_mind,pending,33.07,store_credit,6.51,mail,new,Kimberly Smith,2025-08-31 23:42:16
RETT8N201YJ,1196,4468,2025-04-26 10:41:46,other,approved,37.79,original_payment,3.27,pickup,poor,Tracy Smith,2025-04-26 10:41:46
RET0SYZ8AO3,5684,2228,2025-03-23 05:08:54,changed_mind,pending,59.81,original_payment,5.73,pickup,good,Andre Anderson,2025-03-23 05:08:54
RET2FH9JCV4,4538,1475,2025-07-14 02:58:41,fit,approved,51.07,original_payment,6.36,pickup,good,Alexa Wagner,2025-07-14 02:58:41
RET8OPBDHAL,5221,2288,2025-08-27 09:07:38,fit,approved,43.81,store_credit,7.08,store,fair,Ronald Nielsen,2025-08-27 09:07:38
RET7B6UMX6Z,7750,4892,2025-07-27 00:38:38,other,completed,58.77,original_payment,9.4,pickup,new,Lisa Cunningham,2025-07-27 00:38:38
RETOI4KLCPZ,9269,3433,2025-03-28 13:10:19,changed_mind,approved,40.8,original_payment,6.51,store,poor,Ryan Bennett,2025-03-28 13:10:19
RETHYF3CB90,9819,1648,2025-09-20 08:15:12,fit,pending,29.67,original_payment,0.35,pickup,new,Monica Dennis,2025-09-20 08:15:12
RET6YC6CYTR,6889,4872,2025-06-24 06:58:14,changed_mind,completed,41.31,store_credit,1.85,pickup,good,Michael Price,2025-06-24 06:58:14
RETSQ94EQRN,6782,2611,2025-07-27 05:38:24,fit,pending,43.85,store_credit,9.43,store,poor,Troy Dyer,2025-07-27 05:38:24
RETRJNESJVT,989,3680,2025-08-14 00:24:07,fit,pending,31.83,store_credit,0.42,pickup,good,Elizabeth Clark,2025-08-14 00:24:07
RET9EII04P5,2885,3968,2025-06-01 08:53:03,fit,completed,35.44,store_credit,13.58,mail,fair,Joshua Evans,2025-06-01 08:53:03
RETWOJTFT76,7890,1962,2025-04-26 15:26:35,other,pending,31.15,original_payment,6.46,pickup,new,Matthew Mercado,2025-04-26 15:26:35
RETB04TFKC0,6864,4678,2024-12-31 20:38:17,defective,approved,74.31,store_credit,13.96,mail,new,Dana White,2024-12-31 20:38:17
RETUWQR5BBG,8135,1749,2025-05-24 17:27:42,fit,processed,17.54,store_credit,8.19,store,like_new,Christopher Miller,2025-05-24 17:27:42
RETMDCGZJKF,2731,1113,2025-02-25 08:42:05,fit,completed,60.54,original_payment,10.12,mail,fair,Aaron Williams,2025-02-25 08:42:05
RET93TAPBWU,3840,1668,2025-05-26 16:30:25,fit,approved,32.77,original_payment,7.38,pickup,good,Shane Carey,2025-05-26 16:30:25
RETFLP2N3FD,11626,1899,2025-07-28 21:29:27,defective,completed,49.08,original_payment,13.72,store,like_new,Jerry Mueller,2025-07-28 21:29:27
RETHOORKCMJ,7912,3596,2025-01-13 11:08:44,changed_mind,approved,30.74,store_credit,7.96,store,good,Katie Barnes,2025-01-13 11:08:44
RETGMK6DRYZ,7157,4631,2025-01-19 18:46:29,defective,processed,42.3,original_payment,0.89,mail,fair,Matthew Russell,2025-01-19 18:46:29
RETERI3I952,4321,3430,2025-08-22 21:11:57,fit,approved,39.87,original_payment,6.18,pickup,fair,Michael Cherry,2025-08-22 21:11:57
RETJME63Q67,5776,1542,2025-04-02 17:06:09,fit,completed,31.71,store_credit,12.01,mail,fair,Mr. William Lee Jr.,2025-04-02 17:06:09
RET2S0ERXOP,7972,607,2024-03-22 17:45:46,changed_mind,processed,47.17,original_payment,10.6,mail,new,Charles Hill,2024-03-22 17:45:46
RETOBCGWFHR,2214,616,2024-04-17 05:32:05,changed_mind,completed,70.0,store_credit,11.04,mail,like_new,Christopher Jones,2024-04-17 05:32:05
RETUSLPOPLY,7155,4902,2023-12-31 14:58:20,changed_mind,approved,42.08,store_credit,2.18,mail,new,Lisa Edwards,2023-12-31 14:58:20
RETBE3A3RW5,4594,649,2025-09-14 17:54:27,fit,approved,76.55,store_credit,0.24,pickup,poor,Lisa Mills,2025-09-14 17:54:27
RETTJLR8GRW,11781,247,2025-07-01 00:32:40,fit,completed,56.13,original_payment,8.41,mail,good,Heather Stanley,2025-07-01 00:32:40
RETXBJDA6ED,9421,1772,2024-12-09 18:21:18,fit,completed,37.92,original_payment,13.0,mail,poor,Stephanie Bonilla,2024-12-09 18:21:18
RETFMPTDY6Y,216,4161,2024-04-03 17:07:20,fit,pending,55.41,store_credit,0.93,mail,good,Susan Williams,2024-04-03 17:07:20
RET8SKFGY42,7865,2863,2025-08-26 20:33:19,fit,approved,47.6,store_credit,14.68,store,good,Sara Washington,2025-08-26 20:33:19
RETHZUP0DDF,10794,3741,2025-09-13 13:10:12,fit,completed,61.29,original_payment,3.13,pickup,poor,Brendan Charles,2025-09-13 13:10:12
RETHIIDEJZL,8569,4137,2025-07-03 19:17:41,defective,processed,27.6,store_credit,7.03,store,like_new,David Sawyer,2025-07-03 19:17:41
RETNIOH0UVO,1737,1050,2025-09-13 02:16:40,other,processed,55.41,store_credit,6.85,mail,good,Vincent Bryan,2025-09-13 02:16:40
RETVCH1HSU6,9698,2913,2025-05-17 07:19:46,fit,completed,31.06,original_payment,3.69,store,good,Julie Johnson,2025-05-17 07:19:46
RET6FFJAL6R,11961,2647,2025-04-03 16:34:52,fit,pending,40.1,store_credit,6.94,store,good,Andrea Hall,2025-04-03 16:34:52
RETJC5B5LGD,12608,4106,2025-07-01 04:44:01,fit,processed,50.67,original_payment,11.2,pickup,fair,Mr. Ronald Gonzalez,2025-07-01 04:44:01
RET9H9XSZM9,6617,1012,2025-05-07 10:16:58,changed_mind,pending,54.05,original_payment,12.09,mail,poor,David Miller,2025-05-07 10:16:58
RETI1ZWPBP4,11917,814,2025-05-18 01:57:43,fit,pending,74.58,store_credit,2.01,mail,good,Christopher Richards,2025-05-18 01:57:43
RETV3T4LF23,9416,1202,2025-09-23 15:51:03,defective,pending,33.25,store_credit,4.07,pickup,poor,Travis Taylor,2025-09-23 15:51:03
RETK8FT51NT,8089,4037,2025-06-06 05:32:54,fit,processed,44.69,original_payment,4.13,store,poor,Wanda Morris,2025-06-06 05:32:54
RETK1F6B3I7,1126,627,2025-08-16 08:22:35,fit,approved,32.27,original_payment,9.63,mail,like_new,William Bailey,2025-08-16 08:22:35
RETY10XIOPP,4207,1330,2025-09-22 17:21:01,fit,completed,43.22,store_credit,13.13,pickup,poor,Kathryn Bennett,2025-09-22 17:21:01
