return_item_id,return_id,order_item_id,quantity_returned,item_condition,refund_eligible,restockable
RIYKACSAAT,RET7HT5AR0I,302150,1,like_new,t,t
RI91B9RISD,RET7HT5AR0I,302148,1,like_new,t,t
RIQWWET8TO,RETY9DIY53V,136029,1,like_new,t,t
RIRE325MUA,RET9VJHZTP2,99832,1,like_new,t,t
RIBARYXCLP,RETWXH6XA9G,250786,2,like_new,f,f
RI5RO6NXXF,RETWXH6XA9G,250784,1,like_new,t,t
RIRLNZJPVY,RETC96EBRNJ,18337,1,like_new,t,f
RISS3WRHDU,RETC96EBRNJ,18335,1,damaged,t,t
RI15ZNZV3N,RETZAH2MZAO,287563,1,like_new,t,t
RIS36U88K7,RETUR22UFVO,99416,1,damaged,t,t
RIY5B220WC,RETUSQ2YKN6,213602,1,like_new,t,t
RITX8J5X72,RETARDMQDY0,70038,1,like_new,t,t
RIZ5YI0GDA,RETZ88D8HG8,154143,1,like_new,t,t
RIY9BHJKR2,RETQAJDGIRF,150275,1,like_new,t,t
RI9SALY684,RETQAJDGIRF,150278,1,worn,t,t
RI1Q8CZYQF,RETHSPOWNR1,307945,1,like_new,t,t
RI3ILG3LXY,RETHSPOWNR1,307944,1,damaged,t,t
RIKJRTGEXB,RETXXPFU4UI,105173,1,damaged,t,t
RIZCOE8PK1,RETQRE2MPFW,299444,1,like_new,t,t
RI582SHTY6,RETLTQULQMG,244550,1,worn,f,f
RIYRD7V4AY,RETLTQULQMG,244548,1,damaged,t,t
RIW9ZUH7J5,RETI8S3KTJP,47676,1,like_new,t,f
RIS3PC4LPL,RETI8S3KTJP,47677,1,damaged,t,t
RIDSBG7TMZ,RETZ743Q6K4,103297,1,damaged,t,t
RIDAE65YG8,RETZ743Q6K4,103298,1,damaged,f,t
RIM72GNVPO,RETNZ3ZBKYA,284815,1,like_new,t,t
RIFV5N8PFI,RETNZ3ZBKYA,284814,1,damaged,t,t
RI1H9N6E17,RETUM3QD56Y,165538,1,like_new,f,f
RI5ZN35P2P,RETP3Y3T5C4,136700,1,like_new,t,f
RIJJOYZGFV,RET739PYUJB,25567,1,damaged,f,t
RITUWAE5XF,RET1CZGUHXX,175494,1,like_new,t,t
RIDV9EV5PU,RET75E3SJE6,258647,1,like_new,t,t
RIQC1HCSLJ,RETAVAVEMKE,290867,1,like_new,t,t
RI2CIH5GPM,RETAVAVEMKE,290866,1,like_new,t,t
RID5ZQNC6Z,RETZRFAN4B2,61083,1,like_new,t,t
RIASH4FBLZ,RETSFBOBKNL,273359,1,like_new,t,t
RIBA3C7LIM,RETSFBOBKNL,273360,1,like_new,t,t
RIS989GPIL,RET68TK0C29,133324,1,like_new,t,t
RIBJ80KPQY,RET68TK0C29,133325,1,worn,t,t
RIDSHP4KR9,RET6KGJWYZO,65016,1,damaged,t,f
RIGDL0FAHA,RET6KGJWYZO,65017,1,like_new,t,t
RIXL6OFVLG,RET8YN5XIEN,155675,1,like_new,t,t
RIYOAWQRIN,RETG7ESA4XX,294879,1,like_new,t,t
RI1AEORVDB,RETG7ESA4XX,294880,1,like_new,t,t
RITKFP7LWR,RETAVRX0CVA,93655,1,like_new,t,t
RIURIH3GVF,RETSFUOB32H,188894,1,worn,t,t
RI75ARN141,RETKYTJFG9D,307208,1,like_new,t,t
RIJCMKR4RJ,RETA8GTHUOZ,35175,1,like_new,t,t
RIDMOLRXHR,RET5SA94IHE,112186,1,like_new,t,t
RI97RLZIZZ,RET5SA94IHE,112187,1,like_new,t,t
RIP1B5CL8X,RET17Z5KIIK,30021,1,like_new,t,f
RIBZNUE366,RETB5GLXN9P,247216,1,worn,t,t
RI9VCBYCKF,RETB5GLXN9P,247218,1,damaged,t,t
RICFPBS0ZA,RETD5RSJJV2,124784,1,like_new,t,t
RIT61MQJOJ,RETD5RSJJV2,124782,1,damaged,t,t
RI0BHQHP8Y,RETD6HVGHC6,233064,1,worn,t,f
RIU924KKNT,RETD6HVGHC6,233065,1,like_new,t,t
RI3CHLEI2O,RETT8CPXVPA,49847,1,damaged,t,t
RI2L0CGC4I,RETVW4Q60GM,160675,1,like_new,t,t
RI87MM1LRD,RETYN36XV48,16729,1,like_new,f,t
RI6T3DSQRR,RETKI9MY87B,193384,1,like_new,t,f
RIL4MTV67E,RETKI9MY87B,193386,1,like_new,t,t
RI6R7BH75D,RETUHLTQMBI,146667,1,like_new,f,t
RI3LYD0YQJ,RETUHLTQMBI,146668,1,like_new,t,t
RIWN0APKLY,RETZOHABWLG,160039,1,like_new,t,f
RIXBCWQD0P,RETUXPJY479,108081,1,worn,t,f
RIICEWUEW5,RETUXPJY479,108080,1,like_new,t,t
RIIH9PT1Q5,RET2CGEM3WZ,162332,1,like_new,t,t
RI0I7DYLDV,RET2CGEM3WZ,162333,1,worn,t,t
RIL1WC2TZX,RETJFT1RGIQ,48887,1,damaged,t,t
RIGCBVUDFJ,RET96GHERQ5,89532,1,like_new,t,f
RIXNWQBSYO,RET96GHERQ5,89531,1,like_new,t,t
RIYUMC1Z6D,RETWZ2M57G1,164089,1,like_new,t,t
RI5VH0F26M,RETIC761EJA,45419,1,like_new,f,t
RIOXLSWH5G,RETAOD3YJTF,133254,1,damaged,f,t
RIHDZAKFWU,RETAOD3YJTF,133255,1,damaged,t,t
RIR5SG3ZKQ,RETCNX4O4QA,46265,1,like_new,t,t
RIDRNIB6FK,RETWXB75K1Y,229384,1,worn,t,t
RIJS44TEPB,RETWZL8YR7P,13936,1,like_new,t,t
RIBO0X7XL3,RETWZL8YR7P,13937,1,like_new,t,t
RII6JBBOPH,RETJI4TKIL9,117303,1,like_new,t,t
RI94ZK977M,RETC02WX67V,8002,1,like_new,t,t
RIET1ZSXSP,RETC02WX67V,8000,1,like_new,f,t
RIVUOQEP9D,RET1AE4I0Z8,193276,1,like_new,t,t
RI4094ZXKG,RETDYELZSGW,288988,2,like_new,t,f
RIRA95YZ9T,RETN676R3BI,73585,1,like_new,t,t
RI1XY53U04,RETQMHVLVZ7,50825,1,damaged,t,f
RIGA7C8JEL,RET2EBZ45Q7,154893,1,like_new,t,t
RIWT3NJYOC,RET2EBZ45Q7,154892,1,damaged,t,f
RITOSOLGX3,RET6129GKZ3,42082,1,like_new,t,f
RIA8YYCC0G,RETCQSILHND,58076,1,like_new,t,t
RI29P3KG16,RETCQSILHND,58077,1,like_new,t,t
RI2JFYPC6G,RET3L2P8ZXM,186038,1,like_new,t,f
RI7OBFH2TW,RETQ72QVWFS,213060,1,like_new,t,t
RIE2OGS1OP,RETTIMW2ENU,251611,1,damaged,t,t
RIS8LT28DQ,RETI84Y1IL5,32890,1,damaged,t,t
RIPYFRET5Y,RETLK9Q56ZP,211970,1,damaged,t,t
RINRFFOM68,RETCHX39P31,265678,1,damaged,t,t
RI4J33CE4A,RETCHX39P31,265677,1,like_new,t,t
RIQ6TXOJXP,RETTP9580I0,208861,1,like_new,t,t
RIOYNLVT0Q,RETTP9580I0,208863,1,like_new,t,f
RI0D8NHKMB,RETWD7J4HSJ,38319,1,worn,t,t
RILT0FL6JS,RETWD7J4HSJ,38317,1,worn,t,t
RI05EHVSDV,RETGNRER0WG,261500,1,like_new,t,t
RICLFTB5KA,RET57XPK7E6,261425,1,like_new,t,t
RIJI7JP58I,RETE850VNEW,87894,1,like_new,t,t
RIYC8MOB8W,RET7UL1WR7P,55773,1,damaged,t,t
RIVOSWVS6P,RET7UL1WR7P,55771,1,like_new,t,f
RI424UNJ8U,RETB743UYIH,277740,1,like_new,t,t
RIU5HGQC8I,RET4K8BBFRQ,66429,1,like_new,t,t
RI06FP2N4O,RETP7JB4SN2,140883,1,like_new,f,t
RICQM9ZPBF,RETP7JB4SN2,140884,1,like_new,t,t
RISSBTB8G4,RETYD4VS186,246159,1,worn,t,t
RITJOR0JKH,RET65KRUAGF,113246,1,like_new,t,f
RIS00LLKWA,RET65KRUAGF,113247,1,like_new,t,t
RIETLAIH53,RET8NXFL7YH,283452,1,like_new,f,t
RIP1B1JSHB,RETPCFE331W,299356,1,like_new,t,t
RIWQ20VLOS,RETYY83F2JZ,257060,1,like_new,t,t
RIWE958Z3Q,RETYY83F2JZ,257059,1,like_new,t,t
RI4SSMVQ4P,RETLZKLPMBI,65697,1,like_new,t,t
RI0VO4U5RW,RETLZKLPMBI,65695,1,like_new,t,t
RI0BCA7PQJ,RETRTZ0RFK4,225831,1,like_new,t,t
RIYGBEO4FW,RETEAGJMH1O,6083,1,like_new,t,f
RIJY7SEI86,RETEAGJMH1O,6084,1,like_new,t,f
RIW99TL0UV,RETGPFC5L2I,123025,1,like_new,t,f
RISZO572MA,RETGPFC5L2I,123024,2,like_new,t,f
RIH8FCBUIG,RET3OS06ZAQ,213264,1,like_new,f,f
RI80TGX1AK,RET414Y35X8,102054,1,like_new,f,t
RI5L04KTM5,RET3OMS63ZU,187682,1,damaged,t,t
RILAQB1OS7,RETO35H3CFW,122335,1,like_new,t,t
RIBUO6FKHH,RETE1YN5T83,279291,1,damaged,t,f
RIMMTBLE9Z,RETOLY1R01B,218599,1,like_new,t,t
RII8LAVF2O,RETJHR0TCOU,112079,1,damaged,t,t
RILX21LEN6,RETJHR0TCOU,112078,1,like_new,t,t
RIO6TLLEH7,RETW5PIM1JD,156781,1,like_new,f,t
RIXMLR1R4F,RETFOQON4SE,82217,1,like_new,t,t
RICNRYT906,RETFOQON4SE,82216,1,like_new,f,t
RI6DEACXV3,RET7M832L3H,151782,1,like_new,t,t
RI6QLMSB34,RET4DYVO6F5,99267,1,like_new,t,t
RI4U0PRGI8,RET4DYVO6F5,99265,1,like_new,t,t
RIDC5HLFHQ,RET6Q18CMKC,259508,1,like_new,t,t
RI351AST11,RET9UB0H0A4,262431,1,damaged,t,t
RI2673VQSX,RET9UB0H0A4,262433,1,damaged,t,t
RIZ5Z6BZWT,RET6Q3ITJEM,4469,1,damaged,t,t
RIFIKF6PDD,RETUOB0ZND1,271294,1,like_new,t,t
RIT6L7TRNO,RETUOB0ZND1,271293,1,like_new,t,f
RI68DKMGGR,RETBL9DH0M7,269710,1,worn,t,t
RI1744PRYA,RETBL9DH0M7,269709,1,like_new,f,t
RIS9031TXC,RET8X0ONYX1,132269,1,like_new,t,t
RI29MNLDI3,RET8X0ONYX1,132268,2,damaged,t,t
RIT5P63AK2,RET9D8NNVMS,289358,1,like_new,t,t
RIGY608RAW,RET2DS964VJ,301414,1,like_new,t,t
RIAE9S275X,RETMVI1TLI2,199616,1,damaged,t,f
RIG3ZRLWPP,RETQ403LUZ4,157085,1,like_new,t,t
RI0COO9J3O,RETQ403LUZ4,157087,1,like_new,t,t
RISA7HB5IE,RETIIQN2MXN,205475,1,damaged,t,t
RI7JQVN19K,RET1RSLM97B,160152,1,like_new,t,t
RIU2MNIW6V,RETEZF83QYD,28041,1,like_new,t,t
RIPH25AHXC,RETEZF83QYD,28042,1,damaged,t,t
RI3AW21JYT,RETXJFMIS9A,52137,1,damaged,t,t
RIZ90XDY4M,RET6OYG7K5O,19483,1,like_new,t,t
RIQYBXBU2H,RETBU6V7UTG,32851,1,like_new,t,t
RI9B29ND1C,RETT84DWL91,237264,1,like_new,t,t
RI6KB9WSGP,RETQ482PKFU,163830,1,like_new,t,f
RIRLHEFZU6,RETQ482PKFU,163829,1,like_new,t,f
RIMLMWWLKY,RETNWIXVG7C,220076,1,worn,t,t
RIBADKA4QY,RETNWIXVG7C,220074,1,damaged,t,t
RIB640YP52,RETCUNIRJOK,265475,1,like_new,t,t
RITV6W2O8U,RET0AMSVTIX,162581,1,damaged,t,t
RIIROE1HSD,RETSJ10ESXD,141152,1,damaged,t,t
RIM39UGYPS,RETSJ10ESXD,141149,1,like_new,t,f
RI2P8CF6H5,RETJM2LSZDY,10672,1,damaged,t,t
RIILF99DTB,RETVU0FCENT,222538,1,like_new,t,t
RIYHW3U2AB,RET3XZ1D1QG,137244,1,like_new,t,f
RIESKSLAYI,RETNDR5EELU,123574,1,damaged,t,t
RIZCD05V6Y,RETNDR5EELU,123575,1,like_new,t,t
RI60L68I27,RETZG30EOLU,226688,1,like_new,t,t
RI07ODOF8A,RETLUAOPAQ2,105380,1,like_new,t,t
RIJLLSMTQB,RETLUAOPAQ2,105379,1,like_new,f,t
RIRYUY5HWG,RET4G0GL4DW,26979,1,like_new,t,f
RI6FA43CUO,RET4G0GL4DW,26978,1,damaged,t,t
RIFQ9ITNOK,RETAWJZKPJY,299729,1,like_new,f,t
RIKR596JLD,RETAWJZKPJY,299728,1,like_new,t,t
RITR73CAHX,RET8KW4EW7V,302566,1,like_new,t,t
RI9IVI2ARZ,RETNA9NVCU5,138527,1,like_new,t,f
RI1FGUZJXR,RETNA9NVCU5,138528,1,worn,t,f
RIGUQDQ9GP,RET3L3LHW4K,40672,1,like_new,f,t
RI44SW1P16,RET4KGCXEY5,95130,1,like_new,t,t
RIEQ77MBYY,RETZ2QRI3Y8,59971,1,like_new,t,t
RIPU1RBOAC,RETTA7AHU1Q,77289,1,like_new,f,t
RIP8UIWAT0,RET0XM2VXZP,137605,1,damaged,t,t
RITU4O4V4Y,RETBIKDZZ3W,164928,2,like_new,t,f
RIUEEF858X,RETWHLKMDSM,163094,1,like_new,t,t
RIVGRTGQOP,RETVDUG6VZ7,270176,1,like_new,t,t
RIM8ATLS0J,RETJUANEAV7,225869,1,like_new,f,t
RICWAIOSJD,RETJUANEAV7,225872,1,like_new,t,f
RI0DZ8Z55K,RETBM2TJ9XO,164240,1,like_new,t,t
RI1TTARA8D,RETBM2TJ9XO,164242,1,like_new,f,t
RIMBH59JHD,RET68BU5BCP,96029,1,like_new,t,t
RIXVWI1RQ6,RET68BU5BCP,96030,1,worn,f,t
RI9NPNDHBB,RET88A32UFA,227620,1,like_new,t,t
RI024AHN8N,RET88A32UFA,227619,1,worn,t,t
RI1MHW11ET,RET6ID4NRIA,18692,1,like_new,f,f
RIJOJ2REVP,RETV8T1UI1J,64701,1,like_new,t,t
RIGKSJVSN4,RETOP3J4S8I,19912,1,like_new,t,t
RI3WDPDER9,RETFHPA1VRW,18247,1,like_new,t,t
RIWY639U9N,RETE3SLBR4D,134304,1,worn,t,t
RIHFYH8T8Z,RETXTJCJMUS,224695,1,like_new,t,t
RIHH92S15T,RETXTJCJMUS,224694,1,damaged,f,f
RIHLAGHS4M,RETVUKOSBY0,252388,1,like_new,t,t
RIOD3ZFA4Z,RETENPCO36V,120326,1,like_new,t,t
RI7CVNMQQQ,RETF08OOTFT,298013,1,like_new,t,t
RI56VCXXT4,RETZKC3TQMK,179368,1,like_new,t,f
RI1CXIH8QM,RETGFKBAHEN,243341,1,like_new,t,t
RIV3AE1QLW,RET20H49UG4,100752,1,damaged,t,t
RIAP3A6QKH,RETOIYM4Y38,122364,1,like_new,f,f
RIY4K2RPTR,RETOIYM4Y38,122363,1,like_new,t,t
RIMB3HJ2RC,RETPL7FNE3Y,39592,1,worn,t,t
RIV4PDDZT9,RETPL7FNE3Y,39591,1,damaged,t,t
RIKEF5TQGJ,RET0RHEWPSF,16095,1,like_new,t,t
RIRTLZ3E3R,RETNAC0GTVB,100272,1,worn,t,t
RI7WP2SWNM,RETNAC0GTVB,100273,1,worn,t,t
RIW2PVGF3X,RET89G8FAEE,198221,1,like_new,t,f
RIX83C3PUI,RETO3MKKIER,201282,1,damaged,t,t
RI9OR7YMNE,RETO3MKKIER,201283,1,like_new,t,t
RIHSH78B7W,RETDHGN6DWG,117717,1,like_new,t,t
RI466A3QPR,RETDHGN6DWG,117716,1,like_new,t,t
RI04DQBFWX,RETDGX4WO1M,238771,1,like_new,t,t
RIRVI3T2LI,RETA8YFDGK0,171982,1,like_new,t,t
RI2UWWJFKS,RETA8YFDGK0,171981,1,like_new,t,t
RI8WZTPSSQ,RET6J1T6OFG,218876,1,damaged,t,t
RIMKNBSBFO,RET6J1T6OFG,218875,1,damaged,t,t
RI1FYPU5E4,RETIO72YTQC,286339,1,like_new,f,t
RIS44PQJSG,RETIO72YTQC,286341,1,like_new,t,f
RIVSGD64MK,RETN02HVZ8S,262289,1,worn,t,f
RIR04D8XJB,RETN02HVZ8S,262288,1,like_new,t,t
RIF045SBQV,RETCDJDNM4U,152976,1,like_new,t,t
RIUQGUDEYX,RETCDJDNM4U,152975,1,like_new,t,t
RIJ8BOMVTG,RETTSAWHDP9,62549,1,like_new,t,f
RILZJV0JIG,RET8RCBKEKH,19605,1,like_new,t,t
RIT8S1KA78,RET8EXR71VK,92737,1,like_new,t,t
RIOAWVSU4R,RET4EJ362HK,297801,1,worn,t,t
RI2GPAFCFS,RET4EJ362HK,297798,1,like_new,t,f
RIMSJALINW,RETTKRMJ3CA,304766,1,like_new,t,f
RIFABGJB7N,RETISKB27IC,16955,1,like_new,t,f
RITYT2HE42,RETISKB27IC,16952,1,like_new,t,t
RI09CL5W34,RETHZIX9BMW,53074,1,like_new,f,t
RIBSNR99CS,RETHZIX9BMW,53075,1,like_new,t,f
RI87W02CAB,RETB7G6GWKA,260861,1,like_new,t,t
RI4GB7NIBR,RETB7G6GWKA,260860,1,like_new,t,t
RIHZYB2FA3,RETSHNV2GYH,81940,1,worn,t,t
RIAUT8LNF6,RETWVELOEP8,261811,1,like_new,t,f
RIUBUSDGYH,RETC6TYICSO,143891,1,damaged,t,t
RIQOCLEOLT,RETC6TYICSO,143890,1,like_new,t,t
RIGK7M28W1,RETBU23T6WI,205720,1,like_new,t,t
RIHEQ5H6IY,RETBU23T6WI,205721,1,like_new,t,f
RIO0GZYJD9,RETEZRGZEAZ,266188,1,like_new,t,t
RIRA5AVUHG,RETEZRGZEAZ,266189,1,like_new,t,t
RIC335XKLM,RETMWWXV2K9,115419,1,like_new,f,t
RIZB8P0NL3,RETMWWXV2K9,115418,1,like_new,t,t
RIX40R0MIO,RETAJ4WMXG2,210575,1,like_new,f,t
RIUD2SOGGG,RETAJ4WMXG2,210574,1,damaged,t,f
RISMNK56J1,RETM9ZDBLUF,187499,1,like_new,t,t
RIAIEXFOML,RETYSVUJ9TM,62335,1,worn,t,t
RI91P7H7KY,RETYSVUJ9TM,62334,1,like_new,t,f
RILRBTGJXT,RET63HVND6B,18058,1,like_new,t,t
RIYR6T4X3M,RET1ZZ6YPEB,271061,1,damaged,t,f
RI6GQS1JAN,RET0HH0N5LD,86543,1,like_new,t,t
RIZ2G5CVGA,RET3554XITM,22312,1,damaged,t,t
RIAJRKE17W,RETIIH1929C,141593,1,like_new,t,t
RIT85FTAX1,RETV7R5ZTBS,180069,1,like_new,t,f
RIRGK78MB0,RETV7R5ZTBS,180067,2,like_new,t,t
RIHZ0VRCUC,RETFQUMKFYF,92546,1,like_new,t,t
RIGM8KVPYQ,RETXEBX79QC,302715,1,like_new,t,t
RIQ9KMOEN0,RET3KV8G2HU,276642,1,worn,t,t
RIDJH3LQS4,RETIVW00USY,140088,1,damaged,t,t
RI2CFR9UJG,RETIVW00USY,140090,1,damaged,t,f
RIFY9Q50SR,RETMWCNN9VG,131178,1,damaged,t,t
RIT42SDX1V,RETCETXEM66,79483,1,like_new,t,t
RIG8SRYJM9,RET3B8083B1,300605,1,like_new,t,t
RIXDAPMTUH,RETXUR2INBN,98231,1,damaged,t,t
RIGN2ZSJKX,RETXUR2INBN,98230,1,like_new,t,t
RIZKKAUFAO,RETK4AFSOPX,29584,1,like_new,t,t
RIIYIBKE18,RETK4AFSOPX,29582,1,like_new,t,t
RIGD03ECNT,RETG6P5FY0K,25016,1,like_new,t,t
