return_id,order_id,customer_id,return_date,return_reason,return_method,refund_amount,refund_method,return_status,restocking_fee,condition_received,processed_by,created_at
RET14DW753U,85244,26860,2024-11-18 07:51:02,other,pickup,46.64,store_credit,pending,12.79,fair,Trevor Simmons,2024-11-18 07:51:02
RETJ6EU13KZ,92220,48748,2023-12-15 03:43:52,defective,mail,42.92,store_credit,approved,8.80,poor,Anna Daniels,2023-12-15 03:43:52
RETYSV3L5HP,446,11175,2025-08-31 18:49:01,fit,mail,64.45,original_payment,completed,4.20,new,Adrian Ibarra,2025-08-31 18:49:01
RETE9UFVMDU,87620,47489,2025-01-04 06:36:50,changed_mind,mail,42.77,original_payment,processed,1.36,new,Dr. Christine Patton,2025-01-04 06:36:50
RETZ41M6DHP,74931,8210,2024-11-19 19:18:33,fit,pickup,42.30,original_payment,completed,0.88,good,Timothy Evans,2024-11-19 19:18:33
RETA3H2ADPT,37862,3658,2024-11-03 03:31:47,other,store,60.50,original_payment,approved,13.49,new,Samantha Turner MD,2024-11-03 03:31:47
RET0CYDER1A,77458,4153,2025-03-10 04:52:19,fit,pickup,61.40,original_payment,completed,4.69,new,Mark Ortiz,2025-03-10 04:52:19
RET3E8ARRAR,77953,47580,2024-01-29 20:56:00,changed_mind,store,44.28,original_payment,pending,7.75,poor,John Williams,2024-01-29 20:56:00
RET4J4AB8GY,79085,22542,2025-09-13 20:10:34,fit,pickup,49.68,original_payment,pending,2.10,poor,Lisa Jackson,2025-09-13 20:10:34
RETC6LACRS7,1199,6012,2025-08-28 00:20:14,defective,pickup,52.96,store_credit,completed,0.96,like_new,Rebecca Wallace,2025-08-28 00:20:14
RET8ETE0M4E,456,5497,2025-09-19 11:35:04,fit,store,42.55,original_payment,processed,1.50,new,John Murphy,2025-09-19 11:35:04
RETR2NKNJGZ,21820,15057,2025-06-12 13:53:49,changed_mind,store,52.75,original_payment,pending,11.33,new,Dr. Eric Dorsey Jr.,2025-06-12 13:53:49
RETQAFVZH12,76713,22605,2025-06-27 06:33:46,changed_mind,store,32.84,store_credit,completed,14.91,poor,Matthew Chavez,2025-06-27 06:33:46
RET72YJISZB,41697,32561,2025-07-06 03:40:46,fit,pickup,27.85,store_credit,processed,12.95,poor,Robert Wagner,2025-07-06 03:40:46
RET0L876SGW,112027,13465,2025-08-23 00:58:55,other,store,36.40,original_payment,pending,6.80,like_new,Steven Campbell,2025-08-23 00:58:55
RET2QDA5ZTV,24180,27417,2025-09-10 12:36:52,fit,pickup,34.85,store_credit,pending,9.72,fair,Allen Smith,2025-09-10 12:36:52
RET7OTSP7FV,30396,16975,2025-06-21 08:30:00,defective,mail,43.53,original_payment,completed,0.40,like_new,Timothy Sullivan,2025-06-21 08:30:00
RET46VWVVP9,20186,38928,2025-07-18 19:33:54,other,mail,62.52,store_credit,processed,4.07,good,Mason Jennings,2025-07-18 19:33:54
RETUA02YFBF,37910,39220,2024-02-22 02:02:16,other,store,33.24,original_payment,pending,0.40,new,Cindy Washington,2024-02-22 02:02:16
RETZNBRMN9O,82105,36219,2025-08-25 08:25:01,defective,store,68.05,original_payment,approved,9.42,like_new,Randall Mitchell,2025-08-25 08:25:01
RETSML2BHR5,101710,8888,2025-03-10 02:35:34,changed_mind,store,33.75,original_payment,approved,3.75,new,Kevin Hill,2025-03-10 02:35:34
RET82QH86CT,57192,19825,2025-09-17 12:17:50,changed_mind,mail,62.38,original_payment,pending,8.18,like_new,Jason Webster,2025-09-17 12:17:50
RETHPCSNF91,54974,45909,2025-03-17 05:26:15,defective,pickup,57.64,store_credit,completed,0.71,new,Raymond Phillips,2025-03-17 05:26:15
RETFQB8W9PI,119987,23163,2024-11-25 00:50:58,fit,pickup,28.68,store_credit,completed,7.75,new,Dana Wilson,2024-11-25 00:50:58
RET69CFRC1F,49766,11807,2025-08-24 17:26:19,changed_mind,mail,38.99,store_credit,processed,10.80,like_new,Brian Gibson,2025-08-24 17:26:19
RETXBADZ1OU,82538,1900,2025-04-12 15:03:50,changed_mind,store,39.96,store_credit,approved,1.48,good,Emily Strickland,2025-04-12 15:03:50
RETDTOGOB6M,34880,24520,2025-04-01 23:29:59,changed_mind,mail,73.52,store_credit,pending,12.10,fair,Jeanette Parsons,2025-04-01 23:29:59
RETMZ29VGKS,67608,4556,2024-07-03 13:03:29,changed_mind,store,62.91,store_credit,processed,10.48,like_new,Christina Elliott,2024-07-03 13:03:29
RETW0PVJXIJ,77720,5111,2025-04-28 09:46:53,fit,mail,76.03,store_credit,processed,10.77,like_new,Gary Schneider,2025-04-28 09:46:53
RETB4QPYTGY,25774,37547,2024-12-30 06:16:54,fit,mail,62.05,original_payment,completed,2.01,fair,Julia Guzman,2024-12-30 06:16:54
RET5LIV4KGW,54158,21848,2025-06-25 07:56:39,defective,mail,57.68,store_credit,pending,0.50,new,Alex Garcia,2025-06-25 07:56:39
RET2CYM60WO,308,14467,2025-08-03 09:21:11,changed_mind,mail,42.47,original_payment,completed,13.99,good,Brittany Williams,2025-08-03 09:21:11
RETB98M5EFN,78377,46074,2025-01-11 01:57:22,fit,pickup,64.53,store_credit,processed,12.95,new,Jennifer Baldwin,2025-01-11 01:57:22
RETY4C2KWXZ,12887,22308,2025-08-22 13:01:33,defective,pickup,60.56,store_credit,pending,9.51,like_new,Rachel Garcia,2025-08-22 13:01:33
RETRKTQTWQ0,68222,3650,2025-09-14 12:20:07,other,mail,51.35,store_credit,approved,9.73,new,Tiffany Cole,2025-09-14 12:20:07
RETYDUH3F4U,71020,8937,2025-08-26 08:00:21,other,pickup,37.07,original_payment,completed,13.77,poor,Joshua Williams,2025-08-26 08:00:21
RET8RTAVO5A,116107,37551,2024-10-23 18:46:27,fit,store,102.73,original_payment,approved,9.93,fair,Gabriel Garcia,2024-10-23 18:46:27
RETLYZOUTWF,3471,23798,2025-08-21 19:33:27,fit,mail,61.43,store_credit,completed,1.49,poor,Christina Gomez,2025-08-21 19:33:27
RETEYHWGZ5E,113971,18012,2025-06-22 16:03:45,fit,store,47.68,original_payment,pending,14.89,new,Shawn Williams,2025-06-22 16:03:45
RETAG1523VJ,80340,18113,2025-07-30 21:01:55,fit,pickup,62.49,store_credit,processed,3.37,good,Brooke Fleming,2025-07-30 21:01:55
RETF109I1VI,68574,31583,2025-07-06 12:06:01,changed_mind,mail,42.92,store_credit,processed,5.59,poor,Maria Carpenter,2025-07-06 12:06:01
RETMWQ8QU75,26892,31487,2025-01-18 20:52:40,other,mail,41.62,store_credit,processed,11.59,fair,Katherine Walker MD,2025-01-18 20:52:40
RETSE2B1KDW,98907,9821,2024-05-16 04:40:06,changed_mind,pickup,52.73,original_payment,completed,9.06,good,Stacy Hernandez,2024-05-16 04:40:06
RETK3PY2CD3,22916,36453,2025-08-29 04:16:16,fit,pickup,61.94,original_payment,processed,1.53,like_new,Timothy Olson,2025-08-29 04:16:16
RETPORYSI7D,21113,10987,2025-04-04 00:05:52,fit,mail,67.55,store_credit,completed,1.62,good,John Rodriguez,2025-04-04 00:05:52
RETOQBM4OC1,14591,19096,2025-04-08 10:55:51,other,store,45.09,store_credit,approved,2.18,new,Michelle Robinson,2025-04-08 10:55:51
RET1A3ECHC6,72508,28289,2024-10-26 03:12:59,fit,mail,41.31,store_credit,approved,5.81,like_new,Debra Callahan,2024-10-26 03:12:59
RET76MF9U38,41182,32036,2024-12-18 01:44:34,fit,store,42.96,original_payment,pending,3.50,poor,David Small,2024-12-18 01:44:34
RETZ5Y84EI3,25281,9097,2025-08-15 15:21:38,other,store,44.18,store_credit,processed,4.65,good,Paul Gray,2025-08-15 15:21:38
RETY7TZBT9Y,31637,37611,2024-10-03 01:08:43,changed_mind,store,53.99,original_payment,pending,4.08,good,Deborah Downs,2024-10-03 01:08:43
RETRMMDJ73G,90754,19873,2024-08-13 20:25:15,changed_mind,mail,61.14,store_credit,processed,5.43,new,Deborah Reed,2024-08-13 20:25:15
RET251WSFAV,4325,48325,2025-08-09 12:41:21,fit,mail,47.23,original_payment,approved,6.97,new,Christina Wood,2025-08-09 12:41:21
RETJPDLSYA2,107257,261,2025-07-25 15:24:45,fit,mail,49.99,original_payment,pending,5.67,good,Shawn Reid,2025-07-25 15:24:45
RETRJ7S3UBL,74449,2828,2025-05-20 18:22:21,defective,pickup,42.22,original_payment,pending,2.05,poor,Adam Logan,2025-05-20 18:22:21
RETLT6WZEE7,120005,8046,2025-09-18 05:20:27,other,store,31.26,store_credit,completed,0.73,new,Laura Mullen,2025-09-18 05:20:27
RET91D8KZ1G,24495,20183,2025-08-15 12:17:37,other,store,32.59,store_credit,completed,10.83,fair,Sarah Wells,2025-08-15 12:17:37
RET4MRQFOUD,51175,24693,2025-08-13 08:12:21,defective,store,81.90,store_credit,approved,12.53,good,Jason Mason,2025-08-13 08:12:21
RET7AW0ILX1,97528,15329,2025-08-15 12:34:26,changed_mind,mail,61.85,store_credit,pending,11.75,new,Cassandra Jenkins,2025-08-15 12:34:26
RETN7VR7Z6Y,62360,28690,2025-07-22 13:58:03,fit,mail,60.02,store_credit,approved,11.32,fair,Kristina Jackson,2025-07-22 13:58:03
RET7HT5AR0I,120792,27060,2025-09-20 06:32:07,defective,mail,35.01,original_payment,completed,0.90,new,Daniel Willis,2025-09-20 06:32:07
RETY9DIY53V,54480,14162,2025-03-13 13:26:10,other,pickup,57.75,store_credit,approved,5.31,new,Mrs. Brianna Pugh,2025-03-13 13:26:10
RET9VJHZTP2,39990,6052,2025-09-21 03:56:58,fit,mail,44.72,store_credit,processed,11.78,like_new,Lindsay Bailey,2025-09-21 03:56:58
RETWXH6XA9G,100169,42752,2024-11-30 10:53:35,fit,store,22.30,original_payment,processed,3.52,poor,Tyler Gutierrez,2024-11-30 10:53:35
RETC96EBRNJ,7292,21073,2024-04-06 06:20:20,changed_mind,mail,41.92,store_credit,approved,13.96,fair,Kathy Nelson,2024-04-06 06:20:20
RETZAH2MZAO,114928,13259,2025-02-05 18:54:13,changed_mind,store,31.40,original_payment,pending,4.96,poor,Amanda Martinez,2025-02-05 18:54:13
RETUR22UFVO,39819,11943,2025-09-12 01:17:57,fit,mail,39.21,store_credit,completed,8.71,good,Vincent Cox,2025-09-12 01:17:57
RETUSQ2YKN6,85389,47304,2025-09-13 00:25:48,changed_mind,pickup,62.35,original_payment,processed,7.28,like_new,Amanda Wilson,2025-09-13 00:25:48
RETARDMQDY0,28073,15418,2025-06-23 02:10:20,fit,pickup,27.20,original_payment,processed,4.16,like_new,James Bush,2025-06-23 02:10:20
RETZ88D8HG8,61637,27994,2025-09-04 08:55:36,other,store,50.77,store_credit,processed,8.22,new,Gina Cervantes,2025-09-04 08:55:36
RETQAJDGIRF,60094,29167,2025-08-29 04:36:51,changed_mind,mail,64.62,original_payment,pending,4.50,new,Laura Lawson,2025-08-29 04:36:51
RETHSPOWNR1,123121,8120,2025-09-10 06:51:58,fit,store,70.92,store_credit,pending,5.88,good,Robert Diaz,2025-09-10 06:51:58
RETXXPFU4UI,42149,12752,2025-01-28 18:07:56,defective,store,40.20,original_payment,pending,3.46,poor,Tamara Cook,2025-01-28 18:07:56
RETQRE2MPFW,119686,22316,2025-08-19 17:34:06,other,pickup,45.08,store_credit,pending,4.56,good,Amanda Boone,2025-08-19 17:34:06
RETLTQULQMG,97709,29296,2025-01-22 17:53:04,other,store,42.28,original_payment,pending,3.79,poor,Dominic Ramirez,2025-01-22 17:53:04
RETI8S3KTJP,19083,43071,2024-12-29 21:22:10,fit,pickup,35.65,store_credit,approved,13.91,fair,Julia Meadows,2024-12-29 21:22:10
RETZ743Q6K4,41386,21634,2025-08-25 11:34:28,changed_mind,mail,59.26,original_payment,processed,4.73,good,Steven Smith,2025-08-25 11:34:28
RETNZ3ZBKYA,113843,42173,2025-07-24 01:46:29,changed_mind,mail,25.18,store_credit,completed,3.89,poor,Jason Atkinson,2025-07-24 01:46:29
RETUM3QD56Y,66213,19933,2025-06-03 16:16:13,fit,store,28.64,original_payment,pending,8.82,poor,Marissa Brown,2025-06-03 16:16:13
RETP3Y3T5C4,54752,35078,2025-07-29 00:13:49,defective,pickup,54.31,store_credit,approved,2.20,new,Angelica Garcia,2025-07-29 00:13:49
RET739PYUJB,10224,24817,2025-09-25 15:49:59,fit,pickup,35.32,store_credit,approved,1.75,fair,Michael Jones,2025-09-25 15:49:59
RET1CZGUHXX,70122,38241,2024-12-21 02:00:25,defective,pickup,66.37,original_payment,pending,9.93,good,Andrea Stevenson,2024-12-21 02:00:25
RET75E3SJE6,103297,30405,2025-08-20 19:22:48,fit,pickup,77.47,original_payment,approved,1.23,fair,Christopher Avery,2025-08-20 19:22:48
RETAVAVEMKE,116247,22857,2025-05-23 12:54:09,changed_mind,store,28.57,original_payment,pending,4.31,like_new,Mrs. Taylor Smith,2025-05-23 12:54:09
RETZRFAN4B2,24484,19342,2025-08-26 06:05:57,defective,pickup,52.28,original_payment,processed,6.60,like_new,Amy Stanley,2025-08-26 06:05:57
RETSFBOBKNL,109221,6592,2025-06-09 11:42:48,defective,pickup,65.60,store_credit,completed,11.63,like_new,Alejandro Manning,2025-06-09 11:42:48
RET68TK0C29,53413,22788,2025-02-18 04:19:00,other,store,44.64,original_payment,pending,2.29,like_new,Sherri Young,2025-02-18 04:19:00
RET6KGJWYZO,26044,12153,2024-12-09 13:37:40,fit,pickup,38.47,original_payment,approved,1.84,good,Patricia Rodriguez,2024-12-09 13:37:40
RET8YN5XIEN,62245,27738,2025-05-14 12:30:06,changed_mind,mail,40.34,store_credit,completed,10.52,new,Kenneth Silva,2025-05-14 12:30:06
RETG7ESA4XX,117859,3515,2024-08-09 09:34:45,defective,mail,26.24,store_credit,pending,10.16,fair,Jennifer Rivera,2024-08-09 09:34:45
RETAVRX0CVA,37512,34850,2025-08-23 00:36:43,fit,pickup,68.09,original_payment,approved,7.21,like_new,Justin Singleton,2025-08-23 00:36:43
RETSFUOB32H,75466,37030,2025-03-24 13:59:02,defective,mail,28.85,store_credit,approved,4.05,fair,Travis King,2025-03-24 13:59:02
RETKYTJFG9D,122814,30727,2025-07-07 07:14:58,other,mail,52.60,original_payment,processed,1.60,new,Edward Ruiz,2025-07-07 07:14:58
RETA8GTHUOZ,14091,17774,2023-12-29 08:34:22,fit,mail,56.36,store_credit,pending,7.46,fair,Lauren Higgins,2023-12-29 08:34:22
RET5SA94IHE,44934,36936,2025-08-13 16:53:56,fit,store,45.97,store_credit,processed,3.23,fair,Natasha Williamson,2025-08-13 16:53:56
RET17Z5KIIK,12028,42776,2025-07-31 18:40:28,changed_mind,mail,41.04,original_payment,processed,8.79,fair,Jesse James,2025-07-31 18:40:28
RETB5GLXN9P,98770,28926,2025-07-07 21:20:57,defective,mail,23.42,store_credit,approved,12.41,poor,Thomas Mclaughlin,2025-07-07 21:20:57
RETD5RSJJV2,50020,37013,2025-05-24 02:35:12,fit,store,49.55,store_credit,approved,12.71,fair,Stephanie Barrera,2025-05-24 02:35:12
RETD6HVGHC6,93146,41566,2025-04-09 05:28:32,defective,store,43.10,store_credit,completed,14.88,new,Jessica Yates,2025-04-09 05:28:32
RETT8CPXVPA,19951,1915,2025-07-13 13:28:39,changed_mind,pickup,47.92,original_payment,pending,14.86,like_new,Edward Lowe,2025-07-13 13:28:39
RETVW4Q60GM,64237,24703,2025-07-05 06:17:22,changed_mind,store,58.53,store_credit,pending,4.03,like_new,Scott Smith,2025-07-05 06:17:22
RETYN36XV48,6654,33963,2025-02-01 06:15:28,changed_mind,store,50.58,store_credit,approved,8.03,fair,Thomas Huff,2025-02-01 06:15:28
RETKI9MY87B,77280,26362,2024-11-29 16:07:45,fit,store,49.07,original_payment,processed,2.89,poor,Sabrina West,2024-11-29 16:07:45
RETUHLTQMBI,58682,2436,2025-07-28 10:23:27,changed_mind,mail,31.25,store_credit,processed,6.65,fair,Adam Parrish,2025-07-28 10:23:27
RETZOHABWLG,63976,18296,2025-04-09 09:53:07,other,pickup,57.46,original_payment,processed,8.98,new,Stephanie Terry,2025-04-09 09:53:07
RETUXPJY479,43322,32426,2025-08-31 02:42:26,fit,store,49.91,original_payment,processed,5.41,like_new,Christian Rodriguez,2025-08-31 02:42:26
RET2CGEM3WZ,64907,28405,2025-07-23 16:31:33,changed_mind,mail,59.52,original_payment,completed,3.58,like_new,Nicholas Roberts,2025-07-23 16:31:33
RETJFT1RGIQ,19558,3808,2025-07-22 06:05:52,changed_mind,pickup,32.22,store_credit,approved,7.37,fair,Tammy Black,2025-07-22 06:05:52
RET96GHERQ5,35887,31785,2024-02-22 13:53:51,fit,mail,31.31,store_credit,completed,9.90,poor,Abigail Garcia,2024-02-22 13:53:51
RETWZ2M57G1,65622,17525,2025-09-05 16:36:52,changed_mind,mail,57.89,original_payment,approved,13.58,fair,John Rowe,2025-09-05 16:36:52
RETIC761EJA,18190,26628,2024-03-23 22:46:31,changed_mind,pickup,25.79,original_payment,processed,5.53,like_new,Robin Garcia,2024-03-23 22:46:31
RETAOD3YJTF,53387,26322,2025-08-28 18:00:42,changed_mind,pickup,31.96,store_credit,completed,13.27,fair,Seth Miller,2025-08-28 18:00:42
RETCNX4O4QA,18522,25341,2024-09-14 05:06:43,fit,store,32.97,store_credit,pending,7.83,poor,Mark Watts,2024-09-14 05:06:43
RETWXB75K1Y,91667,459,2023-12-11 10:44:32,defective,pickup,20.96,original_payment,approved,6.06,like_new,Sergio White,2023-12-11 10:44:32
RETWZL8YR7P,5557,8760,2025-09-21 07:22:24,fit,pickup,44.46,store_credit,completed,5.60,like_new,Rebecca George,2025-09-21 07:22:24
RETJI4TKIL9,47017,14111,2025-05-26 22:23:33,changed_mind,mail,48.27,original_payment,pending,10.50,poor,Wendy Patel,2025-05-26 22:23:33
RETC02WX67V,3170,29327,2025-07-27 03:58:40,fit,mail,79.58,original_payment,pending,9.64,fair,Anthony Levine,2025-07-27 03:58:40
RET1AE4I0Z8,77241,19979,2025-09-07 16:51:35,fit,store,23.79,original_payment,pending,0.16,fair,Alyssa Torres,2025-09-07 16:51:35
RETDYELZSGW,115493,22692,2025-09-02 15:45:41,fit,store,79.42,original_payment,pending,9.49,good,Joseph Hendricks,2025-09-02 15:45:41
RETN676R3BI,29488,41069,2025-04-14 16:32:51,other,mail,31.96,original_payment,completed,4.94,poor,Jacob Tucker,2025-04-14 16:32:51
RETQMHVLVZ7,20327,12280,2025-07-19 16:28:11,other,pickup,57.87,store_credit,pending,9.21,new,Blake Rodriguez,2025-07-19 16:28:11
RET2EBZ45Q7,61935,47002,2025-07-27 06:04:05,changed_mind,pickup,50.37,original_payment,approved,14.70,like_new,David Watson,2025-07-27 06:04:05
RET6129GKZ3,16846,22365,2025-01-08 19:18:13,defective,pickup,67.43,original_payment,completed,3.22,new,Angela Hicks,2025-01-08 19:18:13
RETCQSILHND,23269,22609,2024-10-13 20:12:25,fit,store,46.16,original_payment,approved,7.03,like_new,Kristina Long,2024-10-13 20:12:25
RET3L2P8ZXM,74317,38705,2025-08-04 17:19:04,fit,mail,29.62,store_credit,approved,3.47,like_new,Melanie Vazquez,2025-08-04 17:19:04
RETQ72QVWFS,85151,41609,2024-08-19 19:14:20,defective,mail,29.42,store_credit,approved,2.38,good,Andrew Murillo,2024-08-19 19:14:20
RETTIMW2ENU,100496,34094,2025-08-05 07:37:35,other,mail,50.67,original_payment,pending,14.46,poor,Mariah Scott,2025-08-05 07:37:35
RETI84Y1IL5,13180,26940,2024-12-08 21:28:31,fit,store,47.03,original_payment,completed,4.87,poor,Mitchell Ramirez,2024-12-08 21:28:31
RETLK9Q56ZP,84716,28328,2025-08-08 03:47:44,other,store,48.54,original_payment,pending,6.66,fair,Timothy Stanton,2025-08-08 03:47:44
RETCHX39P31,106124,18647,2025-09-20 16:21:47,fit,pickup,51.71,original_payment,processed,7.58,good,Jessica Wiley,2025-09-20 16:21:47
RETTP9580I0,83472,32608,2025-01-17 04:10:51,fit,store,21.67,original_payment,processed,9.87,good,Mark Smith,2025-01-17 04:10:51
RETWD7J4HSJ,15349,7390,2024-12-18 18:32:58,defective,pickup,23.49,original_payment,processed,0.18,new,Kimberly Edwards,2024-12-18 18:32:58
RETGNRER0WG,104436,6383,2025-01-15 12:52:34,fit,pickup,34.64,original_payment,processed,10.89,new,Jessica Brown,2025-01-15 12:52:34
RET57XPK7E6,104404,33056,2025-09-25 09:33:39,fit,pickup,67.99,store_credit,processed,3.31,good,Kendra Sanchez,2025-09-25 09:33:39
RETE850VNEW,35205,38550,2025-08-26 16:59:40,changed_mind,mail,38.71,store_credit,approved,5.41,fair,Kathryn Miller,2025-08-26 16:59:40
RET7UL1WR7P,22337,17918,2025-05-31 07:08:43,fit,store,54.60,original_payment,processed,7.21,like_new,Ashley Weaver,2025-05-31 07:08:43
RETB743UYIH,110997,48251,2025-08-21 20:51:30,fit,store,38.69,store_credit,pending,6.65,fair,Kevin Hopkins,2025-08-21 20:51:30
RET4K8BBFRQ,26611,22902,2025-06-26 00:10:49,fit,mail,74.21,original_payment,processed,7.46,good,Pamela Green,2025-06-26 00:10:49
RETP7JB4SN2,56412,3645,2025-09-01 18:07:14,fit,mail,46.29,store_credit,approved,0.47,fair,Teresa Oneill,2025-09-01 18:07:14
RETYD4VS186,98343,8289,2024-12-18 00:17:57,changed_mind,pickup,30.08,original_payment,processed,1.97,like_new,Heather Hernandez,2024-12-18 00:17:57
RET65KRUAGF,45359,44285,2024-08-03 20:01:39,other,store,53.14,store_credit,approved,8.96,like_new,Joel Davis,2024-08-03 20:01:39
RET8NXFL7YH,113307,42426,2025-02-01 18:22:06,fit,mail,58.74,original_payment,completed,13.29,new,Kevin Fisher,2025-02-01 18:22:06
RETPCFE331W,119649,34526,2025-08-19 11:51:50,fit,store,68.95,original_payment,approved,1.31,new,Tracey Guerra,2025-08-19 11:51:50
RETYY83F2JZ,102670,45780,2024-10-23 10:37:24,fit,pickup,40.74,store_credit,processed,5.53,good,Abigail Graham,2024-10-23 10:37:24
RETLZKLPMBI,26315,10935,2025-03-24 10:41:01,fit,pickup,36.75,original_payment,completed,8.13,like_new,Justin Ross,2025-03-24 10:41:01
RET7EHPKWWB,38109,26987,2025-01-28 06:53:41,fit,mail,34.58,store_credit,processed,13.31,fair,April Harris,2025-01-28 06:53:41
RETRTZ0RFK4,90262,717,2025-08-06 19:05:55,fit,store,37.46,store_credit,approved,3.57,good,Deborah Little,2025-08-06 19:05:55
RETEAGJMH1O,2408,164,2025-06-09 01:44:14,changed_mind,pickup,67.04,store_credit,approved,3.69,fair,Joseph Williams,2025-06-09 01:44:14
RETGPFC5L2I,49313,48719,2025-04-15 07:25:26,changed_mind,mail,33.53,original_payment,completed,12.72,poor,Michael Martinez,2025-04-15 07:25:26
RET3OS06ZAQ,85236,38235,2025-04-25 21:46:06,changed_mind,pickup,44.09,store_credit,pending,8.60,new,Shawn Black,2025-04-25 21:46:06
RET414Y35X8,40890,27896,2025-06-07 09:56:14,changed_mind,store,48.23,store_credit,approved,1.70,like_new,Tracey Harris,2025-06-07 09:56:14
RET3OMS63ZU,74976,8395,2024-03-29 11:44:48,other,pickup,31.62,store_credit,approved,5.41,new,Shannon Garrett,2024-03-29 11:44:48
RETO35H3CFW,49047,10981,2024-11-17 16:01:55,fit,store,62.50,store_credit,pending,5.57,fair,Roy Young,2024-11-17 16:01:55
RETE1YN5T83,111631,29667,2025-08-22 10:36:54,other,mail,37.66,original_payment,pending,5.35,good,James King,2025-08-22 10:36:54
RETOLY1R01B,87387,7830,2024-03-16 07:54:20,fit,store,51.60,original_payment,processed,3.61,new,Nicole Riley,2024-03-16 07:54:20
RETJHR0TCOU,44893,46042,2025-09-25 21:52:05,fit,pickup,55.45,original_payment,pending,2.35,like_new,Jasmine Torres,2025-09-25 21:52:05
RETW5PIM1JD,62684,106,2025-09-19 23:26:48,fit,mail,36.36,store_credit,processed,5.52,good,Tiffany Pierce,2025-09-19 23:26:48
