variant_id,product_id,sku,size,color,additional_price,weight_oz,stock_quantity,created_at
43,P000010,SKU000010V043,S,Black,1.99,12.79,37,2025-07-24 07:12:36
44,P000010,SKU000010V044,L,Black,19.44,9.86,205,2024-05-28 06:59:23
45,P000011,SKU000011V045,S,Beige,12.44,11.88,59,2025-03-31 08:40:23
46,P000011,SKU000011V046,XXL,Brown,15.35,8.06,415,2023-10-21 13:53:19
47,P000011,SKU000011V047,M,Green,9.81,9.05,143,2024-04-24 21:22:29
48,P000011,SKU000011V048,XL,Brown,0.35,2.41,401,2024-08-13 11:23:02
49,P000011,SKU000011V049,L,White,7.67,13.09,171,2023-12-03 10:19:26
50,P000012,SKU000012V050,L,Black,0.66,10.57,295,2024-10-17 02:03:44
51,P000012,SKU000012V051,M,Navy,9.83,6.06,78,2025-08-08 05:40:10
52,P000012,SKU000012V052,L,Green,15.28,10.78,301,2024-03-29 14:16:07
53,P000012,SKU000012V053,XXL,Brown,13.71,8.11,302,2024-07-11 15:06:57
54,P000012,SKU000012V054,XL,Navy,10.13,5.42,210,2024-09-12 00:26:26
55,P000012,SKU000012V055,XL,Blue,12.34,11.96,190,2025-07-02 06:30:14
56,P000013,SKU000013V056,M,Black,0.56,3.67,33,2024-05-19 01:42:14
57,P000013,SKU000013V057,M,Red,16.19,2.35,308,2024-03-12 21:26:07
58,P000013,SKU000013V058,XXL,Red,7.61,6.49,229,2024-11-07 20:52:38
59,P000013,SKU000013V059,M,Blue,7.03,5.17,348,2024-05-18 19:55:03
60,P000013,SKU000013V060,S,Beige,11.85,10.94,476,2024-02-09 22:46:12
61,P000014,SKU000014V061,XS,Red,3.40,6.24,285,2023-12-23 04:26:19
62,P000014,SKU000014V062,L,Blue,11.36,7.48,471,2024-07-13 16:10:55
63,P000014,SKU000014V063,XS,Green,11.76,6.91,172,2025-05-28 16:42:45
64,P000014,SKU000014V064,L,Red,11.45,8.35,423,2023-10-26 01:23:24
65,P000014,SKU000014V065,XXL,Gray,6.72,12.55,267,2025-05-23 03:21:35
66,P000015,SKU000015V066,S,Pink,5.99,4.62,233,2024-03-01 23:41:00
67,P000015,SKU000015V067,XXL,White,16.81,4.78,284,2025-09-05 10:26:45
68,P000015,SKU000015V068,M,Black,5.95,7.23,303,2023-12-07 22:33:43
69,P000015,SKU000015V069,S,Pink,14.86,11.33,57,2024-09-05 16:50:41
70,P000015,SKU000015V070,XL,White,11.84,2.87,149,2024-10-24 00:43:15
71,P000016,SKU000016V071,L,Gray,6.95,10.47,49,2023-10-16 09:06:50
72,P000016,SKU000016V072,M,Brown,16.08,10.62,231,2025-06-08 15:12:24
73,P000016,SKU000016V073,M,Gray,8.29,10.12,138,2024-10-05 21:47:24
74,P000016,SKU000016V074,L,Brown,3.61,10.16,19,2025-08-29 21:53:41
75,P000016,SKU000016V075,XL,Navy,11.54,10.59,119,2024-10-19 09:59:02
76,P000016,SKU000016V076,XXL,Green,5.36,8.93,336,2024-01-24 16:30:50
77,P000017,SKU000017V077,XL,Black,10.45,8.01,196,2024-02-21 18:05:55
78,P000017,SKU000017V078,S,Navy,14.93,5.90,401,2024-06-17 04:30:57
79,P000017,SKU000017V079,L,Blue,6.37,13.84,435,2025-09-13 10:08:00
80,P000017,SKU000017V080,XXL,Gray,16.92,12.71,146,2024-10-06 12:51:58
81,P000017,SKU000017V081,XXL,Navy,5.13,5.07,317,2025-04-17 21:59:13
82,P000017,SKU000017V082,S,White,3.00,5.19,24,2025-08-05 18:34:59
83,P000018,SKU000018V083,L,Green,11.20,7.49,233,2024-11-06 17:25:43
84,P000018,SKU000018V084,XS,Gray,3.19,2.38,79,2024-05-25 01:48:06
85,P000018,SKU000018V085,M,Brown,3.52,2.55,446,2025-05-21 09:16:58
86,P000018,SKU000018V086,XXL,Green,15.64,13.17,38,2024-06-07 06:19:04
87,P000018,SKU000018V087,XS,Red,12.03,2.83,453,2024-01-16 07:30:33
88,P000019,SKU000019V088,M,White,7.94,11.42,439,2025-05-16 16:28:08
89,P000019,SKU000019V089,S,Gray,2.24,8.50,386,2025-08-04 03:48:25
90,P000019,SKU000019V090,XS,Brown,13.28,14.35,307,2023-12-12 07:50:16
91,P000019,SKU000019V091,XL,Beige,9.93,5.09,56,2025-06-26 14:04:07
92,P000019,SKU000019V092,XS,Red,6.59,11.58,309,2025-09-24 14:19:40
93,P000019,SKU000019V093,XXL,Gray,18.71,3.88,121,2024-10-31 21:57:59
94,P000020,SKU000020V094,S,Beige,8.79,13.22,140,2025-03-05 15:13:14
95,P000020,SKU000020V095,XS,Green,10.67,14.33,368,2024-01-08 02:19:23
96,P000020,SKU000020V096,M,Brown,8.48,5.20,359,2024-03-04 09:15:39
97,P000020,SKU000020V097,M,Navy,7.26,6.78,376,2025-04-11 19:16:18
98,P000021,SKU000021V098,XS,Pink,0.70,10.61,388,2023-10-25 09:41:05
99,P000021,SKU000021V099,XS,Gray,5.06,6.02,206,2024-09-17 19:32:38
100,P000021,SKU000021V100,XXL,Red,18.06,3.59,360,2024-07-24 01:27:50
101,P000021,SKU000021V101,S,Green,7.77,14.49,475,2025-04-03 08:12:24
102,P000021,SKU000021V102,M,Beige,1.81,11.84,431,2025-07-29 17:31:36
103,P000022,SKU000022V103,S,Navy,18.32,6.12,333,2024-11-05 17:30:37
104,P000022,SKU000022V104,XXL,Blue,15.79,13.26,150,2023-12-25 23:38:07
105,P000022,SKU000022V105,L,Green,14.74,12.94,484,2023-09-30 04:54:34
106,P000022,SKU000022V106,XXL,Blue,17.54,3.31,429,2024-05-25 13:24:28
107,P000022,SKU000022V107,S,Beige,10.13,7.47,190,2025-09-20 04:19:26
108,P000023,SKU000023V108,L,Black,15.24,10.34,338,2023-10-31 05:04:26
109,P000023,SKU000023V109,XXL,Green,15.82,2.04,79,2025-03-13 15:52:47
110,P000023,SKU000023V110,S,Beige,6.27,3.44,52,2025-07-16 18:28:25
111,P000023,SKU000023V111,S,Brown,14.27,12.80,403,2024-12-31 14:37:10
112,P000023,SKU000023V112,S,Pink,13.72,14.21,415,2025-08-04 05:13:33
113,P000024,SKU000024V113,L,Navy,5.21,9.71,361,2023-12-03 15:30:30
114,P000024,SKU000024V114,M,Beige,3.97,6.78,222,2024-06-11 21:16:02
115,P000024,SKU000024V115,L,Blue,18.90,9.42,462,2024-09-23 15:29:37
116,P000024,SKU000024V116,XS,Black,18.46,9.96,341,2025-08-17 15:55:20
117,P000024,SKU000024V117,S,White,19.48,5.40,111,2023-11-01 20:24:13
118,P000024,SKU000024V118,S,Black,8.02,9.81,229,2023-12-16 02:16:19
119,P000025,SKU000025V119,XS,Red,3.40,3.53,300,2024-11-04 08:34:04
120,P000025,SKU000025V120,XXL,Brown,8.70,14.07,481,2025-05-14 02:55:47
121,P000025,SKU000025V121,XXL,Green,2.37,4.64,375,2025-02-19 20:39:12
122,P000025,SKU000025V122,M,Beige,14.93,3.69,205,2025-04-28 02:26:36
123,P000026,SKU000026V123,XL,Gray,19.90,11.45,154,2024-05-26 17:21:37
124,P000026,SKU000026V124,S,Blue,3.61,3.90,415,2023-10-14 11:21:30
125,P000026,SKU000026V125,M,Beige,4.71,13.80,240,2024-12-18 14:47:30
126,P000026,SKU000026V126,M,Pink,13.69,3.11,244,2025-05-08 03:38:44
127,P000027,SKU000027V127,S,Red,19.49,10.93,213,2024-05-26 11:03:41
128,P000027,SKU000027V128,XXL,Blue,14.17,9.76,386,2025-02-04 05:20:20
129,P000027,SKU000027V129,XS,White,11.14,6.33,36,2025-08-19 22:54:31
130,P000027,SKU000027V130,S,Green,18.16,14.21,320,2024-03-08 00:06:11
131,P000027,SKU000027V131,XL,Black,0.11,10.06,268,2024-06-02 05:56:23
132,P000027,SKU000027V132,M,Blue,13.43,14.58,77,2024-02-29 18:55:18
133,P000028,SKU000028V133,XL,Navy,5.21,8.41,267,2024-02-23 13:36:25
134,P000028,SKU000028V134,M,Green,2.64,11.23,172,2024-05-06 14:17:57
135,P000028,SKU000028V135,L,Navy,5.21,2.57,170,2024-04-28 21:25:02
136,P000029,SKU000029V136,L,Beige,14.96,7.59,484,2024-11-13 10:38:10
137,P000029,SKU000029V137,M,Pink,16.59,5.43,484,2024-05-31 21:40:45
138,P000029,SKU000029V138,M,Blue,17.85,11.58,171,2025-05-19 06:05:30
139,P000029,SKU000029V139,L,Navy,11.11,10.55,482,2024-09-03 15:17:14
140,P000030,SKU000030V140,XS,Gray,2.97,4.38,127,2025-03-01 06:57:18
141,P000030,SKU000030V141,L,Beige,3.27,7.67,249,2023-12-27 09:28:00
142,P000030,SKU000030V142,L,Black,8.83,9.29,373,2024-04-25 18:56:20
143,P000030,SKU000030V143,L,Green,2.25,13.27,378,2024-01-20 23:50:10
144,P000030,SKU000030V144,XS,Red,1.87,5.69,454,2024-01-27 08:14:04
145,P000030,SKU000030V145,S,Brown,16.45,13.58,298,2024-04-26 13:15:26
146,P000031,SKU000031V146,XL,Black,10.52,4.35,302,2023-12-24 21:59:33
147,P000031,SKU000031V147,XS,Gray,15.37,3.23,356,2023-10-08 20:42:06
148,P000031,SKU000031V148,M,Black,5.69,3.59,358,2025-01-22 20:49:54
149,P000031,SKU000031V149,M,Pink,18.58,12.88,64,2024-12-04 16:28:35
150,P000032,SKU000032V150,XS,White,9.20,10.57,372,2024-10-30 07:04:53
151,P000032,SKU000032V151,L,Beige,11.88,6.28,12,2023-12-15 12:42:35
152,P000032,SKU000032V152,XS,Pink,19.02,14.32,176,2024-03-05 11:10:39
153,P000032,SKU000032V153,XXL,Pink,2.59,2.63,451,2024-11-21 09:45:51
154,P000033,SKU000033V154,M,Black,14.88,14.37,290,2024-06-25 02:41:58
155,P000033,SKU000033V155,L,White,7.98,5.12,101,2024-11-26 17:12:51
156,P000033,SKU000033V156,L,White,0.41,4.12,116,2024-05-31 09:17:06
157,P000033,SKU000033V157,L,Beige,12.94,10.50,498,2024-04-24 13:04:24
158,P000033,SKU000033V158,XS,Beige,9.82,11.57,231,2024-01-14 23:06:23
159,P000034,SKU000034V159,XXL,Pink,2.63,3.25,350,2025-03-27 02:24:02
160,P000034,SKU000034V160,M,Brown,4.00,13.51,238,2025-06-12 11:59:43
161,P000034,SKU000034V161,L,Beige,11.26,3.17,226,2024-05-04 00:47:19
162,P000034,SKU000034V162,L,Red,12.28,10.20,232,2024-12-15 21:58:40
163,P000034,SKU000034V163,XS,Black,10.27,10.79,247,2024-04-04 04:09:58
164,P000035,SKU000035V164,L,Brown,12.59,3.09,278,2024-02-07 01:05:35
165,P000035,SKU000035V165,L,Blue,1.58,8.21,420,2023-11-21 08:21:34
166,P000035,SKU000035V166,S,Navy,13.69,12.94,163,2024-05-25 20:47:40
167,P000035,SKU000035V167,XL,Blue,5.91,9.16,34,2025-01-15 08:20:41
168,P000036,SKU000036V168,XL,White,10.21,3.23,221,2025-08-20 00:54:47
169,P000036,SKU000036V169,XXL,Pink,16.26,5.31,191,2024-06-16 02:50:48
170,P000036,SKU000036V170,XS,Brown,0.33,10.60,389,2024-11-19 21:23:01
171,P000037,SKU000037V171,S,Blue,0.91,13.40,223,2024-09-05 14:29:15
172,P000037,SKU000037V172,M,Red,11.74,11.85,242,2023-11-05 09:54:02
173,P000037,SKU000037V173,L,Pink,16.16,14.57,184,2024-01-06 01:03:04
174,P000037,SKU000037V174,S,Gray,3.70,14.77,392,2023-10-19 12:45:32
175,P000038,SKU000038V175,XXL,White,8.68,2.08,19,2024-09-26 15:26:35
176,P000038,SKU000038V176,XS,Black,3.43,7.98,254,2025-08-28 14:53:13
177,P000038,SKU000038V177,L,Pink,14.52,10.04,165,2025-03-04 16:27:11
178,P000038,SKU000038V178,XL,Red,13.81,10.78,363,2023-11-05 04:51:51
179,P000038,SKU000038V179,M,White,2.50,4.48,17,2023-12-18 06:55:01
180,P000039,SKU000039V180,XXL,Gray,17.18,8.25,117,2024-07-20 23:06:42
181,P000039,SKU000039V181,S,Gray,8.72,13.16,330,2023-11-07 19:11:54
182,P000039,SKU000039V182,XL,Gray,1.72,8.02,404,2023-12-02 21:40:53
183,P000040,SKU000040V183,L,Black,2.33,3.98,472,2024-08-23 06:11:37
184,P000040,SKU000040V184,XXL,Green,19.28,2.26,251,2024-07-27 10:09:14
185,P000040,SKU000040V185,L,Pink,4.85,9.40,160,2024-02-13 00:46:51
186,P000040,SKU000040V186,L,Black,6.68,10.20,62,2025-03-27 08:26:18
187,P000040,SKU000040V187,XXL,Blue,19.59,8.44,444,2025-01-02 00:48:13
188,P000040,SKU000040V188,XL,Pink,14.62,2.48,158,2025-08-19 06:52:58
189,P000041,SKU000041V189,L,Brown,11.82,14.16,323,2024-12-30 10:04:22
190,P000041,SKU000041V190,L,Gray,14.29,2.25,280,2025-01-27 22:28:48
191,P000041,SKU000041V191,XL,Red,11.07,13.61,147,2025-07-07 11:43:00
192,P000041,SKU000041V192,L,Green,2.34,14.21,328,2025-03-16 01:09:23
193,P000041,SKU000041V193,M,Green,13.95,4.10,20,2025-03-23 05:24:50
194,P000041,SKU000041V194,XXL,Gray,9.38,5.02,234,2024-09-07 07:17:11
195,P000042,SKU000042V195,XL,Red,18.43,12.95,446,2025-01-17 17:14:48
196,P000042,SKU000042V196,XXL,Green,2.62,11.40,160,2024-06-29 05:36:49
197,P000042,SKU000042V197,L,Blue,16.66,10.48,354,2024-05-26 16:36:43
198,P000042,SKU000042V198,M,Green,16.00,4.11,442,2024-06-11 03:24:55
199,P000043,SKU000043V199,M,White,13.34,4.25,76,2025-06-22 22:31:08
200,P000043,SKU000043V200,S,Pink,9.84,7.41,416,2024-02-27 22:01:35
201,P000043,SKU000043V201,L,Beige,4.69,2.61,295,2025-04-02 17:41:26
202,P000043,SKU000043V202,XS,Red,17.62,10.80,192,2025-05-08 01:56:39
203,P000044,SKU000044V203,XL,Black,16.14,7.60,182,2025-03-01 02:13:27
204,P000044,SKU000044V204,XL,Gray,2.41,8.32,124,2025-06-16 14:44:17
205,P000044,SKU000044V205,M,Red,15.39,13.41,404,2024-11-14 09:10:33
206,P000044,SKU000044V206,M,Navy,17.07,8.70,457,2023-11-27 00:29:32
207,P000045,SKU000045V207,XXL,Black,18.53,12.39,234,2025-09-12 18:14:11
208,P000045,SKU000045V208,XS,White,15.63,12.17,322,2025-05-06 00:21:55
209,P000045,SKU000045V209,XS,Brown,0.84,4.17,63,2025-05-12 18:16:19
210,P000046,SKU000046V210,S,Red,3.14,11.21,159,2024-09-22 17:29:12
211,P000046,SKU000046V211,XL,Green,14.65,4.01,60,2024-12-11 00:39:21
212,P000046,SKU000046V212,M,Red,16.38,13.03,72,2024-01-07 09:08:17
213,P000047,SKU000047V213,L,Black,4.91,8.16,424,2023-12-08 04:22:44
214,P000047,SKU000047V214,M,Brown,3.43,6.84,146,2025-06-19 08:56:14
215,P000047,SKU000047V215,L,Red,12.59,3.97,135,2025-06-11 05:11:36
216,P000047,SKU000047V216,XL,Blue,15.74,12.42,80,2025-09-10 08:32:32
217,P000047,SKU000047V217,L,Blue,17.96,13.08,497,2025-03-22 15:07:58
218,P000047,SKU000047V218,XXL,Red,18.87,3.89,236,2024-09-24 17:35:30
219,P000048,SKU000048V219,XXL,Brown,18.87,6.40,53,2023-12-11 13:24:35
220,P000048,SKU000048V220,L,Navy,8.68,11.87,211,2024-09-14 21:00:02
221,P000048,SKU000048V221,XXL,Navy,18.05,14.71,39,2024-05-25 02:24:59
222,P000049,SKU000049V222,L,Blue,17.72,9.20,368,2025-03-11 15:53:25
223,P000049,SKU000049V223,M,Red,18.18,12.75,14,2025-02-08 13:07:46
224,P000049,SKU000049V224,XL,Pink,18.41,7.25,368,2025-03-31 15:40:48
225,P000049,SKU000049V225,XXL,Gray,17.75,12.25,329,2025-05-14 08:46:13
226,P000049,SKU000049V226,XXL,Green,13.95,12.55,464,2024-09-22 11:55:00
227,P000050,SKU000050V227,S,Beige,1.69,6.35,285,2024-09-26 11:54:25
228,P000050,SKU000050V228,XXL,Navy,10.41,5.69,286,2024-03-24 23:23:21
229,P000050,SKU000050V229,XS,Brown,11.04,6.43,276,2024-03-18 20:07:37
230,P000050,SKU000050V230,XXL,Navy,0.47,12.36,465,2024-01-16 15:27:44
231,P000050,SKU000050V231,XL,Beige,4.83,5.95,406,2025-07-26 20:17:38
232,P000050,SKU000050V232,L,Brown,2.21,12.94,40,2025-08-22 17:22:13
233,P000051,SKU000051V233,XXL,Brown,7.09,11.84,34,2025-01-18 04:55:48
234,P000051,SKU000051V234,XS,Green,5.96,2.07,387,2024-04-14 10:44:53
235,P000051,SKU000051V235,M,Gray,16.11,9.35,307,2025-09-05 01:16:11
236,P000051,SKU000051V236,XXL,Brown,16.89,6.55,129,2024-07-05 07:28:58
237,P000051,SKU000051V237,M,Pink,13.45,6.91,375,2024-07-27 13:08:22
238,P000052,SKU000052V238,XS,Red,10.33,12.70,108,2024-02-16 10:14:42
239,P000052,SKU000052V239,M,Green,1.96,7.53,374,2025-03-23 10:03:28
240,P000052,SKU000052V240,L,White,1.84,13.55,227,2025-09-08 11:20:39
241,P000052,SKU000052V241,L,Gray,8.92,10.80,199,2025-02-24 16:09:41
242,P000053,SKU000053V242,XL,Brown,10.38,13.34,212,2024-06-09 14:03:19
243,P000053,SKU000053V243,XL,Green,12.73,10.96,235,2025-05-31 16:11:48
244,P000053,SKU000053V244,L,Blue,16.48,8.58,83,2025-07-26 14:36:51
245,P000053,SKU000053V245,L,Green,2.59,8.67,370,2025-08-12 09:29:48
246,P000053,SKU000053V246,XL,White,13.89,8.15,243,2024-06-05 06:16:53
247,P000053,SKU000053V247,XXL,Navy,18.88,13.98,199,2024-09-13 02:06:17
248,P000054,SKU000054V248,XL,Blue,2.21,9.43,199,2024-10-09 16:04:49
249,P000054,SKU000054V249,XS,Brown,3.07,5.96,200,2023-10-20 12:27:37
250,P000054,SKU000054V250,M,Beige,5.88,12.29,24,2023-11-16 18:47:30
251,P000055,SKU000055V251,XL,Blue,0.97,5.97,467,2024-09-30 05:10:15
252,P000055,SKU000055V252,M,Gray,3.66,8.35,388,2023-12-23 16:39:48
253,P000055,SKU000055V253,XS,Brown,6.97,2.58,455,2024-06-25 23:37:40
254,P000055,SKU000055V254,L,Pink,6.19,13.70,241,2024-10-02 19:01:03
255,P000056,SKU000056V255,L,Pink,2.66,8.56,80,2024-09-19 06:27:51
256,P000056,SKU000056V256,L,Green,13.34,13.26,86,2025-07-14 22:31:19
257,P000056,SKU000056V257,M,White,16.00,10.11,350,2024-02-06 16:16:03
258,P000056,SKU000056V258,L,Gray,18.00,9.03,183,2024-05-03 05:57:17
259,P000056,SKU000056V259,XXL,Green,14.72,3.15,340,2025-05-15 11:45:48
260,P000056,SKU000056V260,S,Black,11.44,12.03,417,2024-06-23 18:57:32
261,P000057,SKU000057V261,XL,White,12.88,4.50,53,2025-01-08 11:52:43
262,P000057,SKU000057V262,XL,Brown,11.54,14.44,37,2024-12-16 09:04:31
263,P000057,SKU000057V263,XL,Gray,15.01,13.66,267,2024-01-03 23:05:32
264,P000057,SKU000057V264,XS,Brown,3.59,5.57,19,2024-10-25 13:09:51
265,P000057,SKU000057V265,S,Gray,16.59,13.54,439,2023-12-15 23:05:29
266,P000058,SKU000058V266,XS,Brown,12.14,9.66,215,2024-08-07 02:49:51
267,P000058,SKU000058V267,L,Black,6.80,7.39,102,2025-06-23 00:35:11
268,P000058,SKU000058V268,XL,Red,7.64,3.49,56,2025-04-03 19:18:41
269,P000058,SKU000058V269,XS,Brown,3.36,4.37,83,2025-06-06 20:56:15
270,P000058,SKU000058V270,XS,Navy,6.14,10.82,218,2023-12-19 02:34:19
271,P000058,SKU000058V271,XS,Pink,19.22,2.35,102,2024-06-06 02:56:53
272,P000059,SKU000059V272,M,Blue,1.97,7.37,82,2024-12-01 23:40:51
273,P000059,SKU000059V273,M,Beige,7.51,13.69,433,2025-02-12 10:56:52
274,P000059,SKU000059V274,XS,Gray,4.79,9.62,315,2023-11-21 02:24:54
275,P000060,SKU000060V275,XL,Brown,7.70,5.50,68,2025-06-03 12:16:46
276,P000060,SKU000060V276,M,Green,11.06,8.29,43,2024-05-18 16:11:10
277,P000060,SKU000060V277,L,Gray,18.27,5.50,19,2024-11-13 19:23:35
278,P000060,SKU000060V278,XL,White,4.93,10.47,294,2024-09-19 01:29:24
279,P000060,SKU000060V279,S,Beige,11.36,3.09,238,2024-08-03 08:03:24
280,P000060,SKU000060V280,XXL,Brown,4.07,6.85,82,2024-12-28 16:41:03
281,P000061,SKU000061V281,S,Brown,19.05,9.22,476,2024-08-13 03:24:42
282,P000061,SKU000061V282,XS,Black,16.25,10.07,434,2024-03-30 07:39:42
283,P000061,SKU000061V283,XXL,Navy,0.01,13.98,487,2025-01-21 06:14:31
284,P000061,SKU000061V284,M,Pink,5.02,6.94,358,2024-04-03 07:01:36
285,P000062,SKU000062V285,XXL,Gray,11.70,5.66,271,2024-11-25 14:48:22
286,P000062,SKU000062V286,S,Brown,11.26,3.17,163,2024-01-28 12:38:56
287,P000062,SKU000062V287,XXL,White,16.61,9.23,381,2024-10-05 16:24:41
288,P000062,SKU000062V288,M,Blue,4.22,14.45,268,2024-07-21 03:09:12
289,P000062,SKU000062V289,M,Red,12.70,11.20,395,2023-11-17 07:44:33
290,P000063,SKU000063V290,S,Red,6.83,14.47,245,2024-06-17 15:40:06
291,P000063,SKU000063V291,M,Black,18.28,10.40,78,2024-03-06 18:08:11
292,P000063,SKU000063V292,XS,Pink,9.53,2.12,471,2025-06-20 04:47:04
293,P000063,SKU000063V293,S,Blue,11.12,11.14,366,2025-03-19 02:30:34
294,P000063,SKU000063V294,L,Brown,1.62,10.44,458,2024-12-29 00:46:44
295,P000064,SKU000064V295,XL,Black,17.85,10.73,427,2024-08-26 21:29:11
296,P000064,SKU000064V296,XXL,White,7.06,6.89,426,2025-05-28 04:58:05
297,P000064,SKU000064V297,XL,Red,7.74,11.98,439,2024-08-30 03:52:38
298,P000065,SKU000065V298,XS,Green,7.41,7.78,108,2024-12-10 13:52:44
299,P000065,SKU000065V299,S,Black,15.17,13.98,358,2025-05-30 13:07:51
300,P000065,SKU000065V300,M,Gray,1.80,10.13,324,2024-06-18 19:22:55
301,P000066,SKU000066V301,S,Green,19.35,5.65,28,2024-11-22 23:00:46
302,P000066,SKU000066V302,XXL,Pink,4.18,14.80,110,2025-03-19 03:52:33
303,P000066,SKU000066V303,XXL,Blue,2.22,9.40,152,2024-03-28 10:31:54
304,P000066,SKU000066V304,L,Navy,11.04,11.60,347,2024-02-08 10:50:34
305,P000067,SKU000067V305,XS,Pink,2.56,3.66,43,2025-02-22 16:17:01
306,P000067,SKU000067V306,XL,Gray,17.62,12.17,383,2025-02-28 02:38:30
307,P000067,SKU000067V307,S,Black,19.84,10.81,364,2023-11-26 12:21:10
308,P000067,SKU000067V308,XL,Beige,13.61,7.90,462,2025-04-23 07:05:48
309,P000068,SKU000068V309,XXL,Black,17.08,7.62,175,2025-09-19 00:50:41
310,P000068,SKU000068V310,L,Beige,2.43,8.07,275,2025-04-01 23:14:18
311,P000068,SKU000068V311,M,Brown,15.18,11.38,462,2024-12-15 23:56:29
312,P000068,SKU000068V312,XS,Beige,18.37,7.84,282,2025-07-07 22:24:46
313,P000068,SKU000068V313,XS,Blue,3.89,13.44,51,2024-10-08 23:44:33
314,P000068,SKU000068V314,XS,Gray,19.56,14.45,226,2023-12-24 19:25:43
315,P000069,SKU000069V315,S,Navy,6.58,10.14,42,2024-12-29 23:01:01
316,P000069,SKU000069V316,XS,Black,9.60,2.31,423,2025-01-01 23:56:55
317,P000069,SKU000069V317,XXL,Red,16.81,3.40,136,2024-09-20 13:32:05
318,P000069,SKU000069V318,S,Red,16.65,6.34,430,2024-06-05 17:47:00
319,P000070,SKU000070V319,XS,Pink,12.39,3.24,401,2024-12-01 03:52:51
320,P000070,SKU000070V320,L,Pink,2.50,13.92,41,2023-12-11 20:41:48
321,P000070,SKU000070V321,L,Red,17.80,2.85,365,2025-06-26 11:54:59
322,P000070,SKU000070V322,S,Black,18.38,2.71,236,2024-09-06 19:43:41
