order_item_id,order_id,variant_id,quantity,unit_price,discount_amount,total_price,return_quantity,personalization_data
80,38,3,1,97.42,0.00,97.42,0,"{""fit_notes"": ""standard"", ""customization"": null}"
81,38,5,1,44.94,0.00,44.94,0,"{""fit_notes"": ""standard"", ""customization"": null}"
82,39,2,2,210.24,35.88,348.73,0,"{""fit_notes"": ""standard"", ""customization"": null}"
83,39,3,2,97.42,14.61,165.61,0,"{""fit_notes"": ""standard"", ""customization"": null}"
84,40,4,2,141.22,11.56,259.33,0,"{""fit_notes"": ""standard"", ""customization"": null}"
85,40,14,2,72.63,0.00,145.26,0,"{""fit_notes"": ""standard"", ""customization"": null}"
86,41,11,1,160.51,0.00,160.51,0,"{""fit_notes"": ""standard"", ""customization"": null}"
87,41,3,1,97.42,0.00,97.42,0,"{""fit_notes"": ""standard"", ""customization"": null}"
88,42,13,1,626.18,0.00,626.18,0,"{""fit_notes"": ""standard"", ""customization"": null}"
89,42,6,1,63.77,0.00,63.77,0,"{""fit_notes"": ""standard"", ""customization"": null}"
90,43,8,1,50.71,0.00,50.71,0,"{""fit_notes"": ""standard"", ""customization"": null}"
91,43,10,1,286.41,0.00,286.41,0,"{""fit_notes"": ""standard"", ""customization"": null}"
92,43,7,1,67.09,0.00,67.09,0,"{""fit_notes"": ""standard"", ""customization"": null}"
93,44,4,1,141.22,19.78,121.44,0,"{""fit_notes"": ""standard"", ""customization"": null}"
94,45,8,1,50.71,0.00,50.71,0,"{""fit_notes"": ""standard"", ""customization"": null}"
95,45,9,1,31.53,4.75,26.78,0,"{""fit_notes"": ""standard"", ""customization"": null}"
96,45,4,1,141.22,0.00,141.22,0,"{""fit_notes"": ""standard"", ""customization"": null}"
97,45,5,1,44.94,3.26,41.68,0,"{""fit_notes"": ""standard"", ""customization"": null}"
98,45,15,1,341.13,0.00,341.13,0,"{""fit_notes"": ""standard"", ""customization"": null}"
99,46,9,2,31.53,0.00,63.06,0,"{""fit_notes"": ""standard"", ""customization"": null}"
100,47,8,1,50.71,4.28,46.43,0,"{""fit_notes"": ""standard"", ""customization"": null}"
101,48,7,2,67.09,11.20,111.79,0,"{""fit_notes"": ""standard"", ""customization"": null}"
102,48,9,2,31.53,0.00,63.06,0,"{""fit_notes"": ""standard"", ""customization"": null}"
103,49,6,2,63.77,0.00,127.54,0,"{""fit_notes"": ""standard"", ""customization"": null}"
104,49,2,1,210.24,0.00,210.24,0,"{""fit_notes"": ""standard"", ""customization"": null}"
105,49,4,2,141.22,26.06,230.32,0,"{""fit_notes"": ""standard"", ""customization"": null}"
106,50,15,1,341.13,0.00,341.13,0,"{""fit_notes"": ""standard"", ""customization"": null}"
107,50,9,2,31.53,0.00,63.06,0,"{""fit_notes"": ""standard"", ""customization"": null}"
108,50,13,1,626.18,0.00,626.18,0,"{""fit_notes"": ""standard"", ""customization"": null}"
109,51,5,1,44.94,0.00,44.94,0,"{""fit_notes"": ""standard"", ""customization"": null}"
110,52,4,1,141.22,0.00,141.22,0,"{""fit_notes"": ""standard"", ""customization"": null}"
111,52,14,1,72.63,0.00,72.63,0,"{""fit_notes"": ""standard"", ""customization"": null}"
112,53,5,1,44.94,0.00,44.94,0,"{""fit_notes"": ""standard"", ""customization"": null}"
113,53,7,1,67.09,0.00,67.09,0,"{""fit_notes"": ""standard"", ""customization"": null}"
114,54,14,1,72.63,0.00,72.63,0,"{""fit_notes"": ""standard"", ""customization"": null}"
115,54,5,1,44.94,7.02,37.92,0,"{""fit_notes"": ""standard"", ""customization"": null}"
116,55,2,1,210.24,0.00,210.24,0,"{""fit_notes"": ""standard"", ""customization"": null}"
117,56,6,1,63.77,10.95,52.82,0,"{""fit_notes"": ""standard"", ""customization"": null}"
118,56,10,2,286.41,0.00,572.82,0,"{""fit_notes"": ""standard"", ""customization"": null}"
119,56,14,1,72.63,0.00,72.63,0,"{""fit_notes"": ""standard"", ""customization"": null}"
120,56,2,2,210.24,0.00,420.48,0,"{""fit_notes"": ""standard"", ""customization"": null}"
121,57,4,1,141.22,0.00,141.22,0,"{""fit_notes"": ""standard"", ""customization"": null}"
122,58,2,1,210.24,0.00,210.24,0,"{""fit_notes"": ""standard"", ""customization"": null}"
123,58,14,2,72.63,0.00,145.26,0,"{""fit_notes"": ""standard"", ""customization"": null}"
124,59,14,2,72.63,0.00,145.26,0,"{""fit_notes"": ""standard"", ""customization"": null}"
125,59,9,2,31.53,0.00,63.06,0,"{""fit_notes"": ""standard"", ""customization"": null}"
126,60,7,1,67.09,0.00,67.09,0,"{""fit_notes"": ""standard"", ""customization"": null}"
127,60,12,1,150.73,0.00,150.73,0,"{""fit_notes"": ""standard"", ""customization"": null}"
128,61,6,1,63.77,0.00,63.77,0,"{""fit_notes"": ""standard"", ""customization"": null}"
129,61,9,1,31.53,0.00,31.53,0,"{""fit_notes"": ""standard"", ""customization"": null}"
130,61,12,2,150.73,0.00,301.46,0,"{""fit_notes"": ""standard"", ""customization"": null}"
131,62,8,1,50.71,6.11,44.60,0,"{""fit_notes"": ""standard"", ""customization"": null}"
132,63,7,1,67.09,8.03,59.06,0,"{""fit_notes"": ""standard"", ""customization"": null}"
133,63,6,1,63.77,0.00,63.77,0,"{""fit_notes"": ""standard"", ""customization"": null}"
134,63,14,1,72.63,0.00,72.63,0,"{""fit_notes"": ""standard"", ""customization"": null}"
135,63,9,2,31.53,0.00,63.06,0,"{""fit_notes"": ""standard"", ""customization"": null}"
136,64,7,1,67.09,0.00,67.09,0,"{""fit_notes"": ""standard"", ""customization"": null}"
137,64,3,1,97.42,0.00,97.42,0,"{""fit_notes"": ""standard"", ""customization"": null}"
138,64,6,1,63.77,0.00,63.77,0,"{""fit_notes"": ""standard"", ""customization"": null}"
139,65,1,1,95.01,0.00,95.01,0,"{""fit_notes"": ""standard"", ""customization"": null}"
140,65,13,2,626.18,0.00,1252.36,0,"{""fit_notes"": ""standard"", ""customization"": null}"
141,65,15,3,341.13,0.00,1023.39,0,"{""fit_notes"": ""standard"", ""customization"": null}"
142,66,7,1,67.09,0.00,67.09,0,"{""fit_notes"": ""standard"", ""customization"": null}"
143,67,8,1,50.71,4.05,46.66,0,"{""fit_notes"": ""standard"", ""customization"": null}"
144,67,10,1,286.41,42.25,244.16,0,"{""fit_notes"": ""standard"", ""customization"": null}"
145,67,4,2,141.22,0.00,282.44,0,"{""fit_notes"": ""standard"", ""customization"": null}"
146,67,3,1,97.42,0.00,97.42,0,"{""fit_notes"": ""standard"", ""customization"": null}"
147,68,10,1,286.41,0.00,286.41,0,"{""fit_notes"": ""standard"", ""customization"": null}"
148,68,5,1,44.94,0.00,44.94,0,"{""fit_notes"": ""standard"", ""customization"": null}"
149,68,13,1,626.18,0.00,626.18,0,"{""fit_notes"": ""standard"", ""customization"": null}"
150,69,6,1,63.77,0.00,63.77,0,"{""fit_notes"": ""standard"", ""customization"": null}"
151,69,13,1,626.18,0.00,626.18,0,"{""fit_notes"": ""standard"", ""customization"": null}"
152,70,15,1,341.13,0.00,341.13,0,"{""fit_notes"": ""standard"", ""customization"": null}"
153,70,13,1,626.18,77.96,548.22,0,"{""fit_notes"": ""standard"", ""customization"": null}"
154,71,10,1,286.41,0.00,286.41,0,"{""fit_notes"": ""standard"", ""customization"": null}"
155,72,2,2,210.24,13.36,393.76,0,"{""fit_notes"": ""standard"", ""customization"": null}"
156,72,13,1,626.18,0.00,626.18,0,"{""fit_notes"": ""standard"", ""customization"": null}"
157,72,12,1,150.73,0.00,150.73,0,"{""fit_notes"": ""standard"", ""customization"": null}"
158,73,1,3,95.01,0.00,285.03,0,"{""fit_notes"": ""standard"", ""customization"": null}"
159,74,6,1,63.77,6.76,57.01,0,"{""fit_notes"": ""standard"", ""customization"": null}"
160,74,2,1,210.24,0.00,210.24,0,"{""fit_notes"": ""standard"", ""customization"": null}"
161,74,9,1,31.53,0.00,31.53,0,"{""fit_notes"": ""standard"", ""customization"": null}"
162,74,5,1,44.94,4.35,40.59,0,"{""fit_notes"": ""standard"", ""customization"": null}"
163,74,15,1,341.13,64.41,276.72,0,"{""fit_notes"": ""standard"", ""customization"": null}"
164,75,6,1,63.77,0.00,63.77,0,"{""fit_notes"": ""standard"", ""customization"": null}"
165,75,2,1,210.24,0.00,210.24,0,"{""fit_notes"": ""standard"", ""customization"": null}"
166,75,15,2,341.13,0.00,682.26,0,"{""fit_notes"": ""standard"", ""customization"": null}"
167,75,4,1,141.22,21.18,120.04,0,"{""fit_notes"": ""standard"", ""customization"": null}"
168,76,13,1,626.18,0.00,626.18,0,"{""fit_notes"": ""standard"", ""customization"": null}"
169,76,2,1,210.24,25.37,184.87,0,"{""fit_notes"": ""standard"", ""customization"": null}"
170,76,10,3,286.41,0.00,859.23,0,"{""fit_notes"": ""standard"", ""customization"": null}"
171,77,2,1,210.24,0.00,210.24,0,"{""fit_notes"": ""standard"", ""customization"": null}"
172,78,5,1,44.94,4.63,40.31,0,"{""fit_notes"": ""standard"", ""customization"": null}"
173,79,2,1,210.24,18.03,192.21,0,"{""fit_notes"": ""standard"", ""customization"": null}"
174,79,4,1,141.22,0.00,141.22,0,"{""fit_notes"": ""standard"", ""customization"": null}"
175,79,9,1,31.53,5.32,26.21,0,"{""fit_notes"": ""standard"", ""customization"": null}"
176,79,3,1,97.42,0.00,97.42,0,"{""fit_notes"": ""standard"", ""customization"": null}"
177,80,5,2,44.94,0.00,89.88,0,"{""fit_notes"": ""standard"", ""customization"": null}"
178,81,6,2,63.77,0.00,127.54,0,"{""fit_notes"": ""standard"", ""customization"": null}"
179,82,7,1,67.09,0.00,67.09,0,"{""fit_notes"": ""standard"", ""customization"": null}"
180,83,10,1,286.41,0.00,286.41,0,"{""fit_notes"": ""standard"", ""customization"": null}"
181,83,2,1,210.24,24.20,186.04,0,"{""fit_notes"": ""standard"", ""customization"": null}"
182,84,14,1,72.63,0.00,72.63,0,"{""fit_notes"": ""standard"", ""customization"": null}"
183,84,10,1,286.41,0.00,286.41,0,"{""fit_notes"": ""standard"", ""customization"": null}"
184,84,13,1,626.18,0.00,626.18,0,"{""fit_notes"": ""standard"", ""customization"": null}"
185,85,1,2,95.01,0.00,190.02,0,"{""fit_notes"": ""standard"", ""customization"": null}"
186,86,4,1,141.22,28.16,113.06,0,"{""fit_notes"": ""standard"", ""customization"": null}"
187,87,4,2,141.22,0.00,282.44,0,"{""fit_notes"": ""standard"", ""customization"": null}"
188,87,7,1,67.09,0.00,67.09,0,"{""fit_notes"": ""standard"", ""customization"": null}"
189,87,12,1,150.73,21.27,129.46,0,"{""fit_notes"": ""standard"", ""customization"": null}"
190,88,3,2,97.42,0.00,194.84,0,"{""fit_notes"": ""standard"", ""customization"": null}"
191,88,11,1,160.51,0.00,160.51,0,"{""fit_notes"": ""standard"", ""customization"": null}"
192,89,11,1,160.51,0.00,160.51,0,"{""fit_notes"": ""standard"", ""customization"": null}"
193,89,7,1,67.09,0.00,67.09,0,"{""fit_notes"": ""standard"", ""customization"": null}"
194,89,8,1,50.71,5.03,45.68,0,"{""fit_notes"": ""standard"", ""customization"": null}"
195,89,3,1,97.42,0.00,97.42,0,"{""fit_notes"": ""standard"", ""customization"": null}"
196,90,10,1,286.41,0.00,286.41,0,"{""fit_notes"": ""standard"", ""customization"": null}"
197,90,6,1,63.77,0.00,63.77,0,"{""fit_notes"": ""standard"", ""customization"": null}"
198,91,14,1,72.63,6.55,66.08,0,"{""fit_notes"": ""standard"", ""customization"": null}"
199,92,8,1,50.71,0.00,50.71,0,"{""fit_notes"": ""standard"", ""customization"": null}"
200,92,7,1,67.09,0.00,67.09,0,"{""fit_notes"": ""standard"", ""customization"": null}"
201,93,3,1,97.42,11.71,85.71,0,"{""fit_notes"": ""standard"", ""customization"": null}"
202,94,15,1,341.13,0.00,341.13,0,"{""fit_notes"": ""standard"", ""customization"": null}"
203,95,12,2,150.73,27.82,245.82,0,"{""fit_notes"": ""standard"", ""customization"": null}"
204,95,5,1,44.94,0.00,44.94,0,"{""fit_notes"": ""standard"", ""customization"": null}"
205,96,11,1,160.51,23.28,137.23,0,"{""fit_notes"": ""standard"", ""customization"": null}"
206,96,7,1,67.09,0.00,67.09,0,"{""fit_notes"": ""standard"", ""customization"": null}"
207,97,3,1,97.42,17.17,80.25,0,"{""fit_notes"": ""standard"", ""customization"": null}"
208,98,15,1,341.13,0.00,341.13,0,"{""fit_notes"": ""standard"", ""customization"": null}"
209,98,12,2,150.73,0.00,301.46,0,"{""fit_notes"": ""standard"", ""customization"": null}"
210,98,4,1,141.22,0.00,141.22,0,"{""fit_notes"": ""standard"", ""customization"": null}"
211,99,4,1,141.22,0.00,141.22,0,"{""fit_notes"": ""standard"", ""customization"": null}"
212,100,15,1,341.13,46.34,294.79,0,"{""fit_notes"": ""standard"", ""customization"": null}"
213,101,3,1,97.42,14.61,82.81,0,"{""fit_notes"": ""standard"", ""customization"": null}"
214,101,5,1,44.94,0.00,44.94,0,"{""fit_notes"": ""standard"", ""customization"": null}"
215,102,6,2,63.77,0.00,127.54,0,"{""fit_notes"": ""standard"", ""customization"": null}"
216,103,13,1,626.18,0.00,626.18,0,"{""fit_notes"": ""standard"", ""customization"": null}"
217,103,12,1,150.73,0.00,150.73,0,"{""fit_notes"": ""standard"", ""customization"": null}"
218,103,15,1,341.13,0.00,341.13,0,"{""fit_notes"": ""standard"", ""customization"": null}"
219,104,2,1,210.24,27.12,183.12,0,"{""fit_notes"": ""standard"", ""customization"": null}"
220,104,6,1,63.77,0.00,63.77,0,"{""fit_notes"": ""standard"", ""customization"": null}"
221,104,1,1,95.01,13.76,81.25,0,"{""fit_notes"": ""standard"", ""customization"": null}"
222,105,8,2,50.71,0.00,101.42,0,"{""fit_notes"": ""standard"", ""customization"": null}"
223,106,14,1,72.63,0.00,72.63,0,"{""fit_notes"": ""standard"", ""customization"": null}"
224,106,1,1,95.01,0.00,95.01,0,"{""fit_notes"": ""standard"", ""customization"": null}"
225,106,4,1,141.22,0.00,141.22,0,"{""fit_notes"": ""standard"", ""customization"": null}"
226,106,9,2,31.53,0.00,63.06,0,"{""fit_notes"": ""standard"", ""customization"": null}"
227,106,6,1,63.77,0.00,63.77,0,"{""fit_notes"": ""standard"", ""customization"": null}"
228,107,5,1,44.94,0.00,44.94,0,"{""fit_notes"": ""standard"", ""customization"": null}"
229,107,15,1,341.13,0.00,341.13,0,"{""fit_notes"": ""standard"", ""customization"": null}"
230,107,3,1,97.42,7.56,89.86,0,"{""fit_notes"": ""standard"", ""customization"": null}"
231,107,8,2,50.71,0.00,101.42,0,"{""fit_notes"": ""standard"", ""customization"": null}"
232,108,1,2,95.01,17.68,154.66,0,"{""fit_notes"": ""standard"", ""customization"": null}"
233,108,4,1,141.22,0.00,141.22,0,"{""fit_notes"": ""standard"", ""customization"": null}"
234,108,3,1,97.42,0.00,97.42,0,"{""fit_notes"": ""standard"", ""customization"": null}"
235,109,1,1,95.01,0.00,95.01,0,"{""fit_notes"": ""standard"", ""customization"": null}"
236,109,15,2,341.13,0.00,682.26,0,"{""fit_notes"": ""standard"", ""customization"": null}"
237,109,5,1,44.94,0.00,44.94,0,"{""fit_notes"": ""standard"", ""customization"": null}"
238,110,2,2,210.24,22.41,375.65,0,"{""fit_notes"": ""standard"", ""customization"": null}"
239,110,8,1,50.71,0.00,50.71,0,"{""fit_notes"": ""standard"", ""customization"": null}"
240,110,6,1,63.77,0.00,63.77,0,"{""fit_notes"": ""standard"", ""customization"": null}"
241,111,9,1,31.53,0.00,31.53,0,"{""fit_notes"": ""standard"", ""customization"": null}"
242,111,6,1,63.77,0.00,63.77,0,"{""fit_notes"": ""standard"", ""customization"": null}"
243,111,7,1,67.09,0.00,67.09,0,"{""fit_notes"": ""standard"", ""customization"": null}"
244,112,2,1,210.24,0.00,210.24,0,"{""fit_notes"": ""standard"", ""customization"": null}"
245,112,15,1,341.13,0.00,341.13,0,"{""fit_notes"": ""standard"", ""customization"": null}"
246,112,8,1,50.71,0.00,50.71,0,"{""fit_notes"": ""standard"", ""customization"": null}"
247,112,3,1,97.42,0.00,97.42,0,"{""fit_notes"": ""standard"", ""customization"": null}"
248,113,12,2,150.73,0.00,301.46,0,"{""fit_notes"": ""standard"", ""customization"": null}"
249,114,4,2,141.22,0.00,282.44,0,"{""fit_notes"": ""standard"", ""customization"": null}"
250,115,2,1,210.24,0.00,210.24,0,"{""fit_notes"": ""standard"", ""customization"": null}"
251,116,5,1,44.94,4.66,40.28,0,"{""fit_notes"": ""standard"", ""customization"": null}"
252,117,3,1,97.42,16.52,80.90,0,"{""fit_notes"": ""standard"", ""customization"": null}"
253,118,5,1,44.94,0.00,44.94,0,"{""fit_notes"": ""standard"", ""customization"": null}"
254,118,8,2,50.71,0.00,101.42,0,"{""fit_notes"": ""standard"", ""customization"": null}"
255,118,6,1,63.77,0.00,63.77,0,"{""fit_notes"": ""standard"", ""customization"": null}"
256,118,7,2,67.09,0.00,134.18,0,"{""fit_notes"": ""standard"", ""customization"": null}"
257,119,15,1,341.13,0.00,341.13,0,"{""fit_notes"": ""standard"", ""customization"": null}"
258,119,2,1,210.24,0.00,210.24,0,"{""fit_notes"": ""standard"", ""customization"": null}"
259,119,5,1,44.94,0.00,44.94,0,"{""fit_notes"": ""standard"", ""customization"": null}"
260,119,1,1,95.01,7.43,87.58,0,"{""fit_notes"": ""standard"", ""customization"": null}"
261,120,1,3,95.01,0.00,285.03,0,"{""fit_notes"": ""standard"", ""customization"": null}"
262,120,4,1,141.22,0.00,141.22,0,"{""fit_notes"": ""standard"", ""customization"": null}"
263,121,5,1,44.94,0.00,44.94,0,"{""fit_notes"": ""standard"", ""customization"": null}"
264,121,4,2,141.22,0.00,282.44,0,"{""fit_notes"": ""standard"", ""customization"": null}"
265,121,10,1,286.41,42.96,243.45,0,"{""fit_notes"": ""standard"", ""customization"": null}"
266,122,1,3,95.01,17.32,233.08,0,"{""fit_notes"": ""standard"", ""customization"": null}"
267,122,3,2,97.42,10.51,173.82,0,"{""fit_notes"": ""standard"", ""customization"": null}"
268,123,2,2,210.24,39.32,341.84,0,"{""fit_notes"": ""standard"", ""customization"": null}"
269,123,1,2,95.01,0.00,190.02,0,"{""fit_notes"": ""standard"", ""customization"": null}"
270,123,12,1,150.73,0.00,150.73,0,"{""fit_notes"": ""standard"", ""customization"": null}"
271,124,4,1,141.22,0.00,141.22,0,"{""fit_notes"": ""standard"", ""customization"": null}"
272,124,15,1,341.13,0.00,341.13,0,"{""fit_notes"": ""standard"", ""customization"": null}"
273,124,1,1,95.01,0.00,95.01,0,"{""fit_notes"": ""standard"", ""customization"": null}"
274,125,6,2,63.77,0.00,127.54,0,"{""fit_notes"": ""standard"", ""customization"": null}"
275,126,12,2,150.73,0.00,301.46,0,"{""fit_notes"": ""standard"", ""customization"": null}"
276,126,8,1,50.71,7.38,43.33,0,"{""fit_notes"": ""standard"", ""customization"": null}"
277,127,3,1,97.42,0.00,97.42,0,"{""fit_notes"": ""standard"", ""customization"": null}"
278,127,14,3,72.63,0.00,217.89,0,"{""fit_notes"": ""standard"", ""customization"": null}"
279,127,12,1,150.73,18.43,132.30,0,"{""fit_notes"": ""standard"", ""customization"": null}"
280,128,14,3,72.63,0.00,217.89,0,"{""fit_notes"": ""standard"", ""customization"": null}"
281,128,8,1,50.71,0.00,50.71,0,"{""fit_notes"": ""standard"", ""customization"": null}"
282,128,1,1,95.01,0.00,95.01,0,"{""fit_notes"": ""standard"", ""customization"": null}"
283,128,7,1,67.09,0.00,67.09,0,"{""fit_notes"": ""standard"", ""customization"": null}"
284,128,13,1,626.18,0.00,626.18,0,"{""fit_notes"": ""standard"", ""customization"": null}"
285,129,11,1,160.51,0.00,160.51,0,"{""fit_notes"": ""standard"", ""customization"": null}"
286,130,5,1,44.94,0.00,44.94,0,"{""fit_notes"": ""standard"", ""customization"": null}"
287,131,5,1,44.94,0.00,44.94,0,"{""fit_notes"": ""standard"", ""customization"": null}"
288,132,14,1,72.63,0.00,72.63,0,"{""fit_notes"": ""standard"", ""customization"": null}"
289,132,5,1,44.94,0.00,44.94,0,"{""fit_notes"": ""standard"", ""customization"": null}"
