CustomerId,Segment,SatisfactionScore,DataAllocationGb,DataUsedGb,TotalAmount,PaymentStatus,DownloadSpeed,UploadSpeed,Latency,ServiceInteractionCount,FeedbackRating,ChurnRisk,ChurnRiskFactors,Churn
"69","Family","8","50","32.16","44.65","Paid","32.98","6.6","12","0","0","0.22","None","0"
"70","Business","8","10","14.88","52.79","Late","82.01","16.4","87","4","4.7","0.69","Payment issues,High data usage,Frequent service interactions","1"
"71","Premium","5","100","89.58","76.64","Overdue","103.43","20.69","165","0","0","0.76","Payment issues,Poor network performance","0"
"72","Family","10","10","7.19","23.45","Paid","78","15.6","178","2","5.3","0.41","Poor network performance","0"
"73","Standard","1","50","43.24","41.68","Overdue","39.4","7.88","116","2","1.6","0.91","Low satisfaction score,Payment issues,Poor network performance,Low feedback ratings","1"
"74","Premium","4","20","29.35","43.16","Overdue","93.96","18.79","29","2","2.7","0.86","Low satisfaction score,Payment issues,High data usage,Low feedback ratings","1"
"75","Student","6","20","10.28","30.22","Paid","63.62","12.72","159","3","2.2","0.53","Poor network performance,Low feedback ratings","1"
"76","Student","4","5","5.74","23.11","Paid","65.41","13.08","39","1","1.6","0.52","Low satisfaction score,High data usage,Low feedback ratings","1"
"77","Family","7","20","17.42","32.7","Paid","58.62","11.72","160","0","0","0.36","Poor network performance,Competitor offers","1"
"78","Standard","10","20","28.78","28.68","Paid","29.55","5.91","123","0","0","0.42","High data usage,Poor network performance","0"
"79","Student","6","20","15.52","32.81","Overdue","61.24","12.25","64","5","3.9","0.85","Payment issues,Frequent service interactions","1"
"80","Student","4","50","35.36","42.44","Overdue","29.45","5.89","162","2","3","0.99","Low satisfaction score,Payment issues,Poor network performance,Competitor offers","1"
"81","Business","3","2","1.72","53.94","Paid","12.33","2.47","42","0","0","0.59","Low satisfaction score,Poor network performance","1"
"82","Premium","10","2","1.9","34","Paid","96.02","19.2","178","4","5.3","0.5","Poor network performance,Frequent service interactions","1"
"83","Standard","2","20","24.25","29.66","Overdue","38.99","7.8","47","3","1.2","0.99","Low satisfaction score,Payment issues,High data usage,Low feedback ratings","1"
"84","Student","8","20","20.11","29.58","Pending","18.19","3.64","151","0","0","0.83","High data usage,Poor network performance","1"
"85","Premium","9","20","24.59","43.31","Paid","42.36","8.47","185","0","0","0.47","High data usage,Poor network performance,Competitor offers","1"
"86","Business","6","5","5.28","53.41","Paid","41.12","8.22","100","0","0","0.41","High data usage","0"
"87","Business","5","50","40.62","69.05","Paid","27.39","5.48","37","5","1.7","0.51","Frequent service interactions,Low feedback ratings","0"
"88","Student","8","100","114.27","63.37","Overdue","66.05","13.21","56","3","4.8","0.82","Payment issues,High data usage,Competitor offers","1"
"89","Standard","2","5","6.2","24.62","Paid","57.74","11.55","106","3","0.3","0.71","Low satisfaction score,High data usage,Poor network performance,Low feedback ratings","1"
"90","Student","2","5","3.29","23.03","Paid","30.99","6.2","134","4","0.5","0.65","Low satisfaction score,Poor network performance,Frequent service interactions,Low feedback ratings","0"
"91","Premium","10","50","58.36","54.55","Paid","64.09","12.82","87","0","0","0.33","High data usage","0"
"92","Business","1","20","24.94","56.11","Paid","84.34","16.87","181","0","0","0.7","Low satisfaction score,High data usage,Poor network performance,Competitor offers","1"
"93","Business","8","2","2.72","51.77","Paid","83.11","16.62","39","3","3.3","0.47","High data usage","0"
"94","Premium","3","2","1.49","36.64","Paid","49.87","9.97","96","2","0.2","0.39","Low satisfaction score,Low feedback ratings,Competitor offers","0"
"95","Premium","8","100","131.5","80.52","Paid","32.77","6.55","177","4","3.9","0.56","High data usage,Poor network performance,Frequent service interactions","0"
"96","Student","9","100","81.61","69.16","Paid","62.74","12.55","161","5","3.1","0.53","Poor network performance,Frequent service interactions","1"
"97","Premium","4","2","2.23","36.05","Paid","74.11","14.82","20","5","2.3","0.55","Low satisfaction score,High data usage,Frequent service interactions,Low feedback ratings,Competitor offers","1"
"98","Business","8","2","2.62","54.44","Late","21","4.2","20","4","5","0.73","Payment issues,High data usage,Frequent service interactions","1"
"99","Premium","8","10","11.79","36.42","Paid","44.09","8.82","152","3","3.5","0.6","High data usage,Poor network performance","0"
"100","Family","6","2","2.17","19.49","Paid","97.09","19.42","188","2","3.2","0.52","High data usage,Poor network performance","0"
"101","Premium","5","100","132.9","89.06","Paid","68.5","13.7","118","1","1.7","0.45","High data usage,Poor network performance,Low feedback ratings","1"
"102","Standard","4","5","7.5","20.95","Paid","80.93","16.19","139","0","0","0.7","Low satisfaction score,High data usage,Poor network performance,Competitor offers","0"
"103","Premium","10","50","43.84","55.95","Pending","98.67","19.73","52","0","0","0.25","None","1"
"104","Standard","10","10","12.52","26.42","Paid","31.53","6.31","130","0","0","0.54","High data usage,Poor network performance","1"
"105","Standard","8","10","12.78","25.01","Paid","24.59","4.92","61","0","0","0.39","High data usage","1"
"106","Premium","9","100","134.59","90.97","Paid","85.12","17.02","141","4","3.2","0.58","High data usage,Poor network performance,Frequent service interactions","0"
"107","Business","7","2","1.79","49.71","Paid","18.51","3.7","91","0","0","0.49","Poor network performance","0"
"108","Family","1","10","14.17","24.86","Pending","78.3","15.66","130","1","1.8","0.67","Low satisfaction score,High data usage,Poor network performance,Low feedback ratings,Competitor offers","1"
"109","Student","8","2","2.55","19.9","Paid","28.05","5.61","169","1","4.7","0.63","High data usage,Poor network performance","1"
"110","Student","2","5","3.96","20.26","Paid","46.4","9.28","181","3","0.1","0.7","Low satisfaction score,Poor network performance,Low feedback ratings","1"
"111","Student","1","20","10.87","29.32","Paid","62.36","12.47","27","1","1.5","0.53","Low satisfaction score,Low feedback ratings,Competitor offers","0"
"112","Student","4","5","6.65","23.33","Late","40.05","8.01","44","4","1.1","0.95","Low satisfaction score,Payment issues,High data usage,Frequent service interactions,Low feedback ratings","1"
"113","Premium","7","20","29.78","45.39","Paid","82.26","16.45","101","0","0","0.47","High data usage,Poor network performance","1"
"114","Premium","8","100","93.97","92.76","Paid","32.38","6.48","104","0","0","0.38","Poor network performance","0"
"115","Business","7","50","74.75","70.21","Paid","21.13","4.23","85","5","3.4","0.55","High data usage,Frequent service interactions","1"
"116","Premium","10","10","11.39","42.33","Paid","78.99","15.8","141","0","0","0.47","High data usage,Poor network performance,Competitor offers","0"
"117","Student","8","5","2.84","23.75","Paid","38.69","7.74","164","4","4.9","0.66","Poor network performance,Frequent service interactions","1"
"118","Student","5","10","11.5","23.75","Paid","64.76","12.95","109","0","0","0.7","High data usage,Poor network performance","1"
"119","Family","10","10","11.94","27.49","Paid","22.22","4.44","28","4","6","0.53","High data usage,Frequent service interactions","0"
"120","Premium","4","50","39.52","57.6","Paid","89.38","17.88","54","0","0","0.22","Low satisfaction score","0"
"121","Family","4","20","10.53","30.32","Paid","82.33","16.47","151","1","1.1","0.51","Low satisfaction score,Poor network performance,Low feedback ratings","1"
"122","Standard","7","50","28.69","49.25","Paid","50.5","10.1","184","2","3.8","0.55","Poor network performance,Competitor offers","0"
"123","Family","7","50","70.54","41","Paid","23.77","4.75","52","2","2.7","0.52","High data usage,Low feedback ratings","0"
"124","Premium","6","50","38.72","61.5","Paid","21.95","4.39","161","0","0","0.39","Poor network performance","1"
"125","Student","4","2","2.65","19.02","Paid","59.13","11.83","176","5","1.8","0.82","Low satisfaction score,High data usage,Poor network performance,Frequent service interactions,Low feedback ratings","1"
"126","Premium","6","5","6.52","38.89","Paid","16.87","3.37","122","4","2.4","0.69","High data usage,Poor network performance,Frequent service interactions,Low feedback ratings","1"
"127","Premium","7","10","10.15","36.85","Paid","23.86","4.77","46","3","3.9","0.41","High data usage","0"
"128","Family","6","50","61.06","42.21","Paid","99.64","19.93","129","3","3","0.57","High data usage,Poor network performance","1"
"129","Family","4","50","42.64","40.95","Paid","89.41","17.88","177","3","2.1","0.52","Low satisfaction score,Poor network performance,Low feedback ratings","0"
"130","Premium","8","2","1.8","36.51","Paid","61.11","12.22","139","5","3.6","0.51","Poor network performance,Frequent service interactions,Competitor offers","0"
"131","Business","7","10","12.95","53.23","Overdue","82.6","16.52","140","1","2.1","0.81","Payment issues,High data usage,Poor network performance,Low feedback ratings","1"
"132","Standard","3","50","69.66","41.76","Overdue","38.67","7.73","110","0","0","0.9","Low satisfaction score,Payment issues,High data usage,Poor network performance","1"
"133","Student","8","100","106.29","69.65","Paid","29.18","5.84","116","1","4.2","0.65","High data usage,Poor network performance","1"
"134","Student","10","100","55.14","69.73","Paid","69.84","13.97","107","2","4.1","0.43","Poor network performance,Competitor offers","0"
"135","Premium","7","20","23.81","44.19","Pending","117.16","23.43","198","0","0","0.54","High data usage,Poor network performance","0"
"136","Standard","9","20","16.28","28.04","Overdue","40.81","8.16","100","3","4.2","0.66","Payment issues","1"
"137","Family","5","10","12.05","25.95","Paid","53.18","10.64","153","0","0","0.47","High data usage,Poor network performance,Competitor offers","0"
"138","Student","6","10","14.55","26.52","Paid","32.81","6.56","98","0","0","0.58","High data usage","0"
"139","Student","3","100","77.16","64.53","Pending","22.56","4.51","145","2","0.1","0.79","Low satisfaction score,Poor network performance,Low feedback ratings,Competitor offers","1"
"140","Family","1","50","73.9","41.92","Paid","89.26","17.85","131","2","1.5","0.62","Low satisfaction score,High data usage,Poor network performance,Low feedback ratings,Competitor offers","1"
"141","Business","10","5","5.18","54.84","Overdue","97.03","19.41","55","0","0","0.72","Payment issues,High data usage","1"
"142","Family","5","2","1.02","21.29","Paid","98.47","19.69","82","5","2","0.4","Frequent service interactions,Low feedback ratings","0"
"143","Premium","4","10","6.62","39.67","Paid","32.67","6.53","85","2","1.4","0.44","Low satisfaction score,Low feedback ratings","0"
"144","Student","6","20","23.39","28.11","Paid","30.3","6.06","76","4","3.5","0.61","High data usage,Frequent service interactions","0"
"145","Business","5","100","85.96","94.73","Paid","54.37","10.87","185","3","2.4","0.63","Poor network performance,Low feedback ratings","0"
"146","Family","4","5","4.89","22.3","Late","43.63","8.73","189","4","2.5","0.83","Low satisfaction score,Payment issues,Poor network performance,Frequent service interactions,Low feedback ratings","0"
"147","Student","1","20","20.56","29.17","Overdue","19.07","3.81","139","5","0.3","0.95","Low satisfaction score,Payment issues,High data usage,Poor network performance,Frequent service interactions,Low feedback ratings,Competitor offers","1"
"148","Family","10","20","11.82","30.06","Pending","50.81","10.16","141","5","4.1","0.63","Poor network performance,Frequent service interactions","1"
"149","Standard","5","2","2.49","21.33","Paid","41.01","8.2","26","1","2.9","0.62","High data usage,Low feedback ratings,Competitor offers","1"
"150","Standard","3","5","6.33","24.65","Paid","47.83","9.57","107","4","0.8","0.79","Low satisfaction score,High data usage,Poor network performance,Frequent service interactions,Low feedback ratings","1"
"151","Premium","2","50","44.65","55.53","Late","104.45","20.89","86","5","0.8","0.64","Low satisfaction score,Payment issues,Frequent service interactions,Low feedback ratings","1"
"152","Family","5","5","7.19","23.51","Paid","82.85","16.57","117","1","1.5","0.57","High data usage,Poor network performance,Low feedback ratings","1"
"153","Business","4","100","54.42","98.78","Paid","96.03","19.21","45","3","1.5","0.48","Low satisfaction score,Low feedback ratings","0"
"154","Premium","5","5","7.43","37.66","Paid","40.57","8.11","161","0","0","0.51","High data usage,Poor network performance","0"
"155","Standard","1","10","14.42","25.86","Pending","38.69","7.74","116","3","0.8","0.86","Low satisfaction score,High data usage,Poor network performance,Low feedback ratings","1"
"156","Premium","4","2","2.12","39.37","Paid","23.68","4.74","62","1","2.8","0.35","Low satisfaction score,High data usage,Low feedback ratings","0"
"157","Family","1","10","8.77","25.52","Paid","16.55","3.31","160","0","0","0.65","Low satisfaction score,Poor network performance","1"
"158","Premium","5","5","7.19","40.97","Paid","114.32","22.86","72","2","1.8","0.4","High data usage,Low feedback ratings","1"
"159","Standard","9","100","85.93","66.66","Paid","54.75","10.95","35","0","0","0.37","None","0"
"160","Family","6","10","9.14","25.31","Paid","23.13","4.63","76","5","3.2","0.38","Frequent service interactions","1"
"161","Standard","10","5","5","23.2","Paid","33.16","6.63","135","0","0","0.4","Poor network performance,Competitor offers","0"
"162","Premium","3","100","104.65","79.63","Overdue","127.6","25.52","144","1","1.9","0.9","Low satisfaction score,Payment issues,High data usage,Poor network performance,Low feedback ratings","1"
"163","Family","2","100","65.1","66.06","Paid","15.44","3.09","173","5","1.8","0.68","Low satisfaction score,Poor network performance,Frequent service interactions,Low feedback ratings","1"
"164","Standard","1","2","2.06","20.05","Late","11.54","2.31","188","2","0.2","0.88","Low satisfaction score,Payment issues,High data usage,Poor network performance,Low feedback ratings,Competitor offers","1"
"165","Student","4","10","12.95","22.9","Late","39.66","7.93","188","1","2.3","0.95","Low satisfaction score,Payment issues,High data usage,Poor network performance,Low feedback ratings,Competitor offers","1"
"166","Standard","7","50","48.8","46.23","Pending","17.44","3.49","121","3","3.1","0.72","Poor network performance","0"
"167","Business","4","5","7.01","54.52","Paid","43.94","8.79","185","0","0","0.58","Low satisfaction score,High data usage,Poor network performance,Competitor offers","0"
"168","Premium","1","50","32.21","63.85","Pending","102","20.4","154","4","1.4","0.66","Low satisfaction score,Poor network performance,Frequent service interactions,Low feedback ratings","1"
"169","Business","9","100","147.43","91.07","Paid","94.21","18.84","167","0","0","0.52","High data usage,Poor network performance,Competitor offers","1"
"170","Premium","9","5","4.28","40.81","Paid","85.28","17.06","31","0","0","0.15","Competitor offers","0"
"171","Premium","4","100","128.39","79.12","Paid","43.63","8.73","88","3","1.2","0.48","Low satisfaction score,High data usage,Low feedback ratings","1"
"172","Student","7","2","1.18","21.23","Paid","77.3","15.46","13","4","3.6","0.54","Frequent service interactions","0"
"173","Family","10","50","33.48","43.93","Paid","37.1","7.42","136","2","4.9","0.38","Poor network performance,Competitor offers","0"
"174","Premium","6","100","99.58","86.98","Paid","22.24","4.45","111","5","2.8","0.5","Poor network performance,Frequent service interactions,Low feedback ratings","0"
"175","Student","2","10","11.03","25.98","Paid","21.3","4.26","91","4","1.9","0.7","Low satisfaction score,High data usage,Frequent service interactions,Low feedback ratings","0"
"176","Standard","6","2","2.86","19.74","Late","26.19","5.24","150","4","3.9","0.96","Payment issues,High data usage,Poor network performance,Frequent service interactions","1"
"177","Business","7","100","99.93","102.67","Paid","84.15","16.83","106","5","3","0.56","Poor network performance,Frequent service interactions","1"
"178","Standard","9","2","2.58","20.41","Overdue","58.32","11.66","173","0","0","0.77","Payment issues,High data usage,Poor network performance","1"
"179","Family","10","2","2.13","21.61","Paid","97.01","19.4","94","0","0","0.22","High data usage","0"
"180","Student","7","50","59.38","42.49","Paid","46.71","9.34","186","3","4","0.66","High data usage,Poor network performance","1"
"181","Business","2","100","64.17","96.24","Paid","32.76","6.55","131","4","0.6","0.69","Low satisfaction score,Poor network performance,Frequent service interactions,Low feedback ratings,Competitor offers","1"
"182","Premium","4","5","7.15","39.3","Paid","65.6","13.12","119","0","0","0.48","Low satisfaction score,High data usage,Poor network performance,Competitor offers","1"
"183","Standard","7","2","2.47","22.61","Paid","48.66","9.73","11","0","0","0.51","High data usage","1"
"184","Business","10","2","2.6","51.38","Paid","28.68","5.74","181","0","0","0.48","High data usage,Poor network performance","0"
"185","Student","5","2","1.7","22.45","Paid","75.89","15.18","86","0","0","0.48","None","0"
"186","Family","5","2","1.37","21.81","Paid","47.64","9.53","45","4","1.4","0.48","Frequent service interactions,Low feedback ratings","0"
"187","Family","9","5","4.95","20.88","Paid","50.59","10.12","23","0","0","0.24","Competitor offers","0"
"188","Standard","9","50","57.65","44.18","Paid","73.91","14.78","123","1","4.1","0.49","High data usage,Poor network performance,Competitor offers","0"
"189","Family","9","10","6.68","24.79","Pending","78.93","15.79","150","5","3.2","0.65","Poor network performance,Frequent service interactions","0"
"190","Business","8","50","35.93","73.88","Pending","73.94","14.79","18","3","4.7","0.55","Competitor offers","1"
"191","Family","4","100","108.79","67.91","Pending","66.95","13.39","52","2","2.6","0.61","Low satisfaction score,High data usage,Low feedback ratings","0"
"192","Student","9","10","14.79","23.96","Paid","81.77","16.35","183","0","0","0.62","High data usage,Poor network performance","1"
"193","Business","5","100","62.69","107.32","Paid","92.42","18.48","183","2","2.2","0.49","Poor network performance,Low feedback ratings","1"
"194","Business","7","50","62.49","77.92","Overdue","58.38","11.68","158","1","3.5","0.87","Payment issues,High data usage,Poor network performance","1"
"195","Business","9","20","14.36","59.16","Paid","42.66","8.53","96","2","4.1","0.3","None","0"
"196","Business","1","2","2.25","54.43","Paid","98.09","19.62","126","4","0.4","0.68","Low satisfaction score,High data usage,Poor network performance,Frequent service interactions,Low feedback ratings","1"
"197","Family","5","2","2.31","19.95","Paid","91.34","18.27","52","3","2.5","0.5","High data usage,Low feedback ratings,Competitor offers","0"
"198","Business","1","5","4.88","48.64","Paid","71.4","14.28","188","1","2","0.49","Low satisfaction score,Poor network performance,Low feedback ratings,Competitor offers","1"
"199","Standard","2","100","130.6","64.44","Paid","36.93","7.39","107","0","0","0.59","Low satisfaction score,High data usage,Poor network performance","0"
"200","Family","2","50","53.16","45.99","Paid","41.61","8.32","64","2","1.8","0.53","Low satisfaction score,High data usage,Low feedback ratings","0"
"201","Business","3","2","2.18","49.82","Late","39.91","7.98","80","2","1.1","0.77","Low satisfaction score,Payment issues,High data usage,Low feedback ratings","1"
"202","Business","5","5","5.09","52.6","Pending","37.2","7.44","71","1","1.5","0.49","High data usage,Low feedback ratings","0"
"203","Business","6","10","6.32","58.97","Paid","51.67","10.33","130","0","0","0.33","Poor network performance,Competitor offers","0"
"204","Premium","4","2","2.9","35.27","Paid","91.2","18.24","118","0","0","0.51","Low satisfaction score,High data usage,Poor network performance","1"
"205","Premium","3","2","2.02","33.86","Pending","65.11","13.02","172","0","0","0.65","Low satisfaction score,High data usage,Poor network performance","0"
"206","Standard","4","2","1.49","22.78","Paid","65.11","13.02","24","2","1.2","0.52","Low satisfaction score,Low feedback ratings,Competitor offers","0"
"207","Premium","10","100","75.92","82.82","Pending","108.1","21.62","40","0","0","0.34","None","1"
"208","Business","5","100","147.51","102.55","Paid","56.9","11.38","155","2","1.5","0.62","High data usage,Poor network performance,Low feedback ratings","1"
"209","Family","9","2","1.09","22.52","Paid","52.46","10.49","108","0","0","0.43","Poor network performance,Competitor offers","1"
"210","Standard","4","10","7.48","27.08","Paid","84.34","16.87","156","5","2.3","0.61","Low satisfaction score,Poor network performance,Frequent service interactions,Low feedback ratings","1"
"211","Business","7","2","2.75","54.73","Pending","38.95","7.79","126","2","2.6","0.72","High data usage,Poor network performance,Low feedback ratings","0"
"212","Premium","10","5","6.16","37.85","Pending","30.14","6.03","16","3","5.3","0.37","High data usage","0"
"213","Standard","5","2","1.41","23.03","Paid","96.51","19.3","46","0","0","0.48","None","1"
"214","Student","5","10","9.58","26.24","Paid","49.45","9.89","110","5","1.1","0.63","Poor network performance,Frequent service interactions,Low feedback ratings","1"
"215","Premium","9","100","82.63","84.2","Paid","98.8","19.76","159","1","3.3","0.31","Poor network performance","0"
"216","Family","8","10","9.63","26.76","Paid","82.68","16.54","87","0","0","0.17","None","0"
