File Name,Kind,Name,Description
"./customer/metadata-project-mutations/DeleteCustomersByCustomerId.hml","ObjectType","V2DeleteCustomersByCustomerIdResponse","Responses from the 'v2_delete_customers_by_customer_id' procedure"
"./customer/metadata-project-mutations/UpdateCustomerLinkByCustomerId.hml","ObjectType","V2UpdateCustomerLinkByCustomerIdResponse","Responses from the 'v2_update_customer_link_by_customer_id' procedure"
"./customer/metadata-project-mutations/DeleteCustomerPlansByCustomerPlanId.hml","ObjectType","V2DeleteCustomerPlansByCustomerPlanIdResponse","Responses from the 'v2_delete_customer_plans_by_customer_plan_id' procedure"
"./customer/metadata-project-mutations/DeleteDevicesByDeviceId.hml","ObjectType","V2DeleteDevicesByDeviceIdResponse","Responses from the 'v2_delete_devices_by_device_id' procedure"
"./customer/metadata-project-mutations/UpdateNetworkByNodeId.hml","ObjectType","V2UpdateNetworkByNodeIdResponse","Responses from the 'v2_update_network_by_node_id' procedure"
"./customer/metadata-project-mutations/InsertNetwork.hml","ObjectType","V2InsertNetworkResponse","Responses from the 'v2_insert_network' procedure"
"./customer/metadata-project-mutations/DeleteCustomerNetworkByCustomerIdAndNodeId.hml","ObjectType","V2DeleteCustomerNetworkByCustomerIdAndNodeIdResponse","Responses from the 'v2_delete_customer_network_by_customer_id_and_node_id' procedure"
"./customer/metadata-project-mutations/UpdateCustomerPlansByCustomerPlanId.hml","ObjectType","V2UpdateCustomerPlansByCustomerPlanIdResponse","Responses from the 'v2_update_customer_plans_by_customer_plan_id' procedure"
"./customer/metadata-project-mutations/DeleteCustomerLinkByCustomerId.hml","ObjectType","V2DeleteCustomerLinkByCustomerIdResponse","Responses from the 'v2_delete_customer_link_by_customer_id' procedure"
"./customer/metadata-project-mutations/UpdateBillingByBillingId.hml","ObjectType","V2UpdateBillingByBillingIdResponse","Responses from the 'v2_update_billing_by_billing_id' procedure"
"./customer/metadata-project-mutations/InsertBilling.hml","ObjectType","V2InsertBillingResponse","Responses from the 'v2_insert_billing' procedure"
"./customer/metadata-project-mutations/DeleteCreditCardsByCreditCardId.hml","ObjectType","V2DeleteCreditCardsByCreditCardIdResponse","Responses from the 'v2_delete_credit_cards_by_credit_card_id' procedure"
"./customer/metadata-project-mutations/UpdateCreditCardsByCreditCardId.hml","ObjectType","V2UpdateCreditCardsByCreditCardIdResponse","Responses from the 'v2_update_credit_cards_by_credit_card_id' procedure"
"./customer/metadata-project-mutations/UpdateDevicesByDeviceId.hml","ObjectType","V2UpdateDevicesByDeviceIdResponse","Responses from the 'v2_update_devices_by_device_id' procedure"
"./customer/metadata-project-mutations/InsertCustomerPlans.hml","ObjectType","V2InsertCustomerPlansResponse","Responses from the 'v2_insert_customer_plans' procedure"
"./customer/metadata-project-mutations/DeletePlansByPlanName.hml","ObjectType","V2DeletePlansByPlanNameResponse","Responses from the 'v2_delete_plans_by_plan_name' procedure"
"./customer/metadata-project-mutations/DeleteDealsByDealId.hml","ObjectType","V2DeleteDealsByDealIdResponse","Responses from the 'v2_delete_deals_by_deal_id' procedure"
"./customer/metadata-project-mutations/InsertCustomers.hml","ObjectType","V2InsertCustomersResponse","Responses from the 'v2_insert_customers' procedure"
"./customer/metadata-project-mutations/UpdatePlansByPlanId.hml","ObjectType","V2UpdatePlansByPlanIdResponse","Responses from the 'v2_update_plans_by_plan_id' procedure"
"./customer/metadata-domain/CustomerPreferences.hml","ObjectType","CustomerPreferences","Object type for collection customerPreferences"
